Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Ocelot.AcceptanceTests,AggregateTests,4,13,0,0,9,627,13,0,0,0,11,0,Ocelot.Configuration.File.AggregateRouteConfig' Ocelot.Configuration.File.FileAggregateRoute' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.FakeDepdendency' Ocelot.AcceptanceTests.FakeDefinedAggregator' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,FakeDepdendency,0,0,0,0,0,3,0,0,0,-1,0,2,,Ocelot.AcceptanceTests.AggregateTests' Ocelot.AcceptanceTests.FakeDefinedAggregator
Ocelot.AcceptanceTests,FakeDefinedAggregator,1,2,0,0,2,20,2,0,1,1,3,1,Ocelot.Middleware.DownstreamResponse' Ocelot.Multiplexer.IDefinedAggregator' Ocelot.AcceptanceTests.FakeDepdendency,Ocelot.AcceptanceTests.AggregateTests
Ocelot.AcceptanceTests,AuthenticationTests,9,9,0,0,7,364,9,0,0,0,7,0,Ocelot.Configuration.File.FileAuthenticationOptions' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,AuthorizationTests,5,10,0,0,7,464,10,0,0,0,7,0,Ocelot.Configuration.File.FileAuthenticationOptions' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,BearerToken,0,0,3,0,0,9,0,0,0,-1,0,1,,Ocelot.AcceptanceTests.Steps
Ocelot.AcceptanceTests,ButterflyTracingTests,8,7,0,0,4,230,7,0,0,0,7,0,Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileHttpHandlerOptions' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.Wait' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,CachingTests,2,9,0,0,6,208,9,0,0,0,22,7,0,Ocelot.Configuration.File.FileCacheOptions' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,CannotStartOcelotTests,1,7,0,0,7,197,7,0,0,0,7,0,Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileQoSOptions' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,CaseSensitiveRoutingTests,2,9,0,0,8,220,9,0,0,0,6,0,Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,ClaimsToDownstreamPathTests,6,6,0,0,3,197,6,0,0,0,6,0,Ocelot.Configuration.File.FileAuthenticationOptions' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,ClaimsToHeadersForwardingTests,5,5,0,0,3,188,5,0,0,0,7,0,Ocelot.Configuration.File.FileAuthenticationOptions' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,ClaimsToQueryStringForwardingTests,6,7,0,0,4,281,7,0,0,0,6,0,Ocelot.Configuration.File.FileAuthenticationOptions' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,ClientRateLimitTests,3,6,0,0,5,197,6,0,0,0,9,0,Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRateLimitOptions' Ocelot.Configuration.File.FileRateLimitRule' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,ConfigurationInConsulTests,5,5,0,0,3,149,5,0,0,0,8,0,Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.AcceptanceTests.FakeConsulGetResponse' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,FakeConsulGetResponse,0,2,14,0,2,27,2,0,0,-1,0,2,,Ocelot.AcceptanceTests.ConfigurationInConsulTests' Ocelot.AcceptanceTests.ConsulConfigurationInConsulTests
Ocelot.AcceptanceTests,ConfigurationReloadTests,4,6,0,0,6,81,6,0,0,0,4,0,Ocelot.Configuration.ChangeTracking.OcelotConfigurationChangeToken' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,ConsulConfigurationInConsulTests,5,11,0,0,6,425,12,0,0,0,13,0,Ocelot.Cache.IOcelotCache' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileDynamicRoute' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRateLimitOptions' Ocelot.Configuration.File.FileRateLimitRule' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.AcceptanceTests.FakeConsulGetResponse' Ocelot.AcceptanceTests.Wait' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,FakeCache,0,4,0,0,4,19,4,0,1,-1,0,0,,
Ocelot.AcceptanceTests,ConsulWebSocketTests,5,13,0,0,3,287,16,0,0,0,15,8,0,Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileLoadBalancerOptions' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps,
Ocelot.AcceptanceTests,ContentTests,5,10,0,0,5,153,10,0,0,0,6,0,Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps,
