Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AggregateTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs' [240' 290])' AggregateTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs' [311' 361])' AggregateTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs' [381' 431])' AggregateTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs' [451' 501])' AggregateTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs' [521' 571])
Duplicate Abstraction,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AggregateTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs' [311' 365])' AggregateTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs' [381' 435])' AggregateTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs' [451' 505])' AggregateTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs' [521' 575])
Feature Envy,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: should_fix_issue_597 which is more interested in members of the type: Steps
Feature Envy,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: should_return_response_200_with_advanced_aggregate_configs which is more interested in members of the type: Steps
Feature Envy,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: should_return_response_200_with_simple_url_user_defined_aggregate which is more interested in members of the type: Steps
Feature Envy,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: should_return_response_200_with_simple_url which is more interested in members of the type: Steps
Feature Envy,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: should_return_response_200_with_simple_url_one_service_404 which is more interested in members of the type: Steps
Feature Envy,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: should_return_response_200_with_simple_url_both_service_404 which is more interested in members of the type: Steps
Feature Envy,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: should_be_thread_safe which is more interested in members of the type: Steps
Unnecessary Abstraction,Ocelot.AcceptanceTests,FakeDepdendency,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
