Implementation smell,Namespace,Class,File,Method,Description
Long Method,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,should_fix_issue_597,The method has 108 lines of code.
Long Method,Ocelot.AcceptanceTests,AuthenticationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AuthenticationTests.cs,GivenThereIsAnIdentityServerOn,The method has 106 lines of code.
Long Parameter List,Ocelot.AcceptanceTests,ButterflyTracingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ButterflyTracingTests.cs,GivenServiceOneIsRunning,The method has 5 parameters. Parameters: baseUrl' basePath' statusCode' responseBody' butterflyUrl
Long Parameter List,Ocelot.AcceptanceTests,ButterflyTracingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ButterflyTracingTests.cs,GivenServiceTwoIsRunning,The method has 5 parameters. Parameters: baseUrl' basePath' statusCode' responseBody' butterflyUrl
Long Parameter List,Ocelot.AcceptanceTests,CachingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\CachingTests.cs,GivenThereIsAServiceRunningOn,The method has 5 parameters. Parameters: url' statusCode' responseBody' key' value
Long Parameter List,Ocelot.AcceptanceTests,FakeEurekaService,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\EurekaServiceDiscoveryTests.cs,FakeEurekaService,The method has 6 parameters. Parameters: serviceId' host' port' isSecure' uri' metadata
Long Parameter List,Ocelot.AcceptanceTests,GzipTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\GzipTests.cs,GivenThereIsAServiceRunningOn,The method has 5 parameters. Parameters: baseUrl' basePath' statusCode' responseBody' expected
Long Parameter List,Ocelot.AcceptanceTests,HeaderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\HeaderTests.cs,GivenThereIsAServiceRunningOn,The method has 5 parameters. Parameters: baseUrl' basePath' statusCode' headerKey' headerValue
Long Parameter List,Ocelot.AcceptanceTests,OpenTracingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\OpenTracingTests.cs,GivenServiceOneIsRunning,The method has 5 parameters. Parameters: baseUrl' basePath' statusCode' responseBody' butterflyUrl
Long Parameter List,Ocelot.AcceptanceTests,OpenTracingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\OpenTracingTests.cs,GivenServiceTwoIsRunning,The method has 5 parameters. Parameters: baseUrl' basePath' statusCode' responseBody' butterflyUrl
Long Parameter List,Ocelot.AcceptanceTests,RoutingWithQueryStringTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\RoutingWithQueryStringTests.cs,GivenThereIsAServiceRunningOn,The method has 5 parameters. Parameters: baseUrl' basePath' queryString' statusCode' responseBody
Long Parameter List,Ocelot.AcceptanceTests,ServiceFabricTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ServiceFabricTests.cs,GivenThereIsAServiceRunningOn,The method has 5 parameters. Parameters: baseUrl' basePath' statusCode' responseBody' expectedQueryString
Long Parameter List,Ocelot.AcceptanceTests,ServiceHandler,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ServiceHandler.cs,GivenThereIsAServiceRunningOn,The method has 5 parameters. Parameters: baseUrl' basePath' del' port' protocols
Long Parameter List,Ocelot.AcceptanceTests,ServiceHandler,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ServiceHandler.cs,GivenThereIsAServiceRunningOn,The method has 6 parameters. Parameters: baseUrl' basePath' fileName' password' port' del
Long Parameter List,Ocelot.AcceptanceTests,SslTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\SslTests.cs,GivenThereIsAServiceRunningOn,The method has 5 parameters. Parameters: baseUrl' basePath' statusCode' responseBody' port
Long Identifier,Ocelot.AcceptanceTests,ConfigurationReloadTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ConfigurationReloadTests.cs,,The length of the parameter MillisecondsToWaitForChangeToken is 32.
Long Statement,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,should_return_response_200_with_advanced_aggregate_configs,The length of the statement  "            var commentsResponseContent = @"[{""id"":1'""writerId"":1'""postId"":2'""text"":""text1""}'{""id"":2'""writerId"":1'""postId"":2'""text"":""text2""}]";" is 151.
Long Statement,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,should_return_response_200_with_advanced_aggregate_configs,The length of the statement  "            var expected = "{\"Comments\":" + commentsResponseContent + "'\"UserDetails\":" + userDetailsResponseContent + "'\"PostDetails\":" + postDetailsResponseContent + "}";" is 166.
Long Statement,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,GivenServiceOneIsRunning,The length of the statement  "                _downstreamPathOne = !string.IsNullOrEmpty(context.Request.PathBase.Value) ? context.Request.PathBase.Value : context.Request.Path.Value;" is 137.
Long Statement,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,GivenServiceTwoIsRunning,The length of the statement  "                _downstreamPathTwo = !string.IsNullOrEmpty(context.Request.PathBase.Value) ? context.Request.PathBase.Value : context.Request.Path.Value;" is 137.
Long Statement,Ocelot.AcceptanceTests,ButterflyTracingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ButterflyTracingTests.cs,GivenServiceOneIsRunning,The length of the statement  "                        _downstreamPathOne = !string.IsNullOrEmpty(context.Request.PathBase.Value) ? context.Request.PathBase.Value : context.Request.Path.Value; " is 137.
Long Statement,Ocelot.AcceptanceTests,ButterflyTracingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ButterflyTracingTests.cs,GivenServiceTwoIsRunning,The length of the statement  "                        _downstreamPathTwo = !string.IsNullOrEmpty(context.Request.PathBase.Value) ? context.Request.PathBase.Value : context.Request.Path.Value; " is 137.
Long Statement,Ocelot.AcceptanceTests,CannotStartOcelotTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\CannotStartOcelotTests.cs,should_throw_exception_if_cannot_start_because_service_discovery_provider_specified_in_config_but_no_service_discovery_provider_registered_with_dynamic_re_routes,The length of the statement  "            exception.Message.ShouldBe("One or more errors occurred. (Unable to start Ocelot' errors are: Unable to start Ocelot' errors are: Unable to start Ocelot because either a Route or GlobalConfiguration are using ServiceDiscoveryOptions but no ServiceDiscoveryFinderDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Consul and services.AddConsul() or Ocelot.Provider.Eureka and services.AddEureka()?)"); " is 460.
Long Statement,Ocelot.AcceptanceTests,CannotStartOcelotTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\CannotStartOcelotTests.cs,should_throw_exception_if_cannot_start_because_service_discovery_provider_specified_in_config_but_no_service_discovery_provider_registered,The length of the statement  "            exception.Message.ShouldBe("One or more errors occurred. (Unable to start Ocelot' errors are: Unable to start Ocelot' errors are: Unable to start Ocelot because either a Route or GlobalConfiguration are using ServiceDiscoveryOptions but no ServiceDiscoveryFinderDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Consul and services.AddConsul() or Ocelot.Provider.Eureka and services.AddEureka()?'Unable to start Ocelot' errors are: Unable to start Ocelot because either a Route or GlobalConfiguration are using ServiceDiscoveryOptions but no ServiceDiscoveryFinderDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Consul and services.AddConsul() or Ocelot.Provider.Eureka and services.AddEureka()?)"); " is 823.
Long Statement,Ocelot.AcceptanceTests,CannotStartOcelotTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\CannotStartOcelotTests.cs,should_throw_exception_if_cannot_start_because_no_qos_delegate_registered_globally,The length of the statement  "            exception.Message.ShouldBe("One or more errors occurred. (Unable to start Ocelot' errors are: Unable to start Ocelot because either a Route or GlobalConfiguration are using QoSOptions but no QosDelegatingHandlerDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Polly and services.AddPolly()?)"); " is 356.
Long Statement,Ocelot.AcceptanceTests,CannotStartOcelotTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\CannotStartOcelotTests.cs,should_throw_exception_if_cannot_start_because_no_qos_delegate_registered_for_re_route,The length of the statement  "            exception.Message.ShouldBe("One or more errors occurred. (Unable to start Ocelot' errors are: Unable to start Ocelot because either a Route or GlobalConfiguration are using QoSOptions but no QosDelegatingHandlerDelegate has been registered in dependency injection container. Are you missing a package like Ocelot.Provider.Polly and services.AddPolly()?)"); " is 356.
Long Statement,Ocelot.AcceptanceTests,CannotStartOcelotTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\CannotStartOcelotTests.cs,should_throw_exception_if_cannot_start,The length of the statement  "            exception.Message.ShouldBe("One or more errors occurred. (Unable to start Ocelot' errors are: Downstream Path Template test doesnt start with forward slash'Upstream Path Template api doesnt start with forward slash'When not using service discovery DownstreamHostAndPorts must be set and not empty or Ocelot cannot find your service!)"); " is 336.
Long Statement,Ocelot.AcceptanceTests,ConsulWebSocketTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ConsulWebSocketTests.cs,Echo,The length of the statement  "                    await webSocket.SendAsync(new ArraySegment<byte>(buffer' 0' result.Count)' result.MessageType' result.EndOfMessage' CancellationToken.None); " is 140.
Long Statement,Ocelot.AcceptanceTests,ConsulWebSocketTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ConsulWebSocketTests.cs,Message,The length of the statement  "                    await webSocket.SendAsync(new ArraySegment<byte>(bytes)' result.MessageType' result.EndOfMessage' CancellationToken.None); " is 122.
Long Statement,Ocelot.AcceptanceTests,GzipTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\GzipTests.cs,should_return_response_200_with_simple_url,The length of the statement  "            this.Given(x => x.GivenThereIsAServiceRunningOn($"http://localhost:{port}"' "/"' 200' "Hello from Laura"' "\"people\"")) " is 120.
Long Statement,Ocelot.AcceptanceTests,HeaderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\HeaderTests.cs,should_transform_downstream_header,The length of the statement  "            this.Given(x => x.GivenThereIsAServiceRunningOn($"http://localhost:{port}"' "/"' 200' "Location"' "http://www.bbc.co.uk/")) " is 123.
Long Statement,Ocelot.AcceptanceTests,HeaderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\HeaderTests.cs,should_fix_issue_190,The length of the statement  "            this.Given(x => x.GivenThereIsAServiceRunningOn($"http://localhost:{port}"' "/"' 302' "Location"' $"http://localhost:{port}/pay/Receive")) " is 138.
Long Statement,Ocelot.AcceptanceTests,HeaderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\HeaderTests.cs,should_fix_issue_205,The length of the statement  "            this.Given(x => x.GivenThereIsAServiceRunningOn($"http://localhost:{port}"' "/"' 302' "Location"' $"http://localhost:{port}/pay/Receive")) " is 138.
Long Statement,Ocelot.AcceptanceTests,HeaderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\HeaderTests.cs,should_fix_issue_417,The length of the statement  "            this.Given(x => x.GivenThereIsAServiceRunningOn($"http://localhost:{port}"' "/"' 302' "Location"' $"http://localhost:{port}/pay/Receive")) " is 138.
