Namespace,Type,Method,LOC,CC,PC
Ocelot.AcceptanceTests,AggregateTests,AggregateTests,4,1,0
Ocelot.AcceptanceTests,AggregateTests,should_fix_issue_597,108,1,0
Ocelot.AcceptanceTests,AggregateTests,should_return_response_200_with_advanced_aggregate_configs,94,1,0
Ocelot.AcceptanceTests,AggregateTests,should_return_response_200_with_simple_url_user_defined_aggregate,68,1,0
Ocelot.AcceptanceTests,AggregateTests,should_return_response_200_with_simple_url,67,1,0
Ocelot.AcceptanceTests,AggregateTests,should_return_response_200_with_simple_url_one_service_404,67,1,0
Ocelot.AcceptanceTests,AggregateTests,should_return_response_200_with_simple_url_both_service_404,67,1,0
Ocelot.AcceptanceTests,AggregateTests,should_be_thread_safe,63,1,0
Ocelot.AcceptanceTests,AggregateTests,GivenServiceIsRunning,7,1,3
Ocelot.AcceptanceTests,AggregateTests,GivenServiceOneIsRunning,17,1,4
Ocelot.AcceptanceTests,AggregateTests,GivenServiceTwoIsRunning,17,1,4
Ocelot.AcceptanceTests,AggregateTests,ThenTheDownstreamUrlPathShouldBe,4,1,2
Ocelot.AcceptanceTests,AggregateTests,Dispose,4,1,0
Ocelot.AcceptanceTests,FakeDefinedAggregator,FakeDefinedAggregator,3,1,1
Ocelot.AcceptanceTests,FakeDefinedAggregator,Aggregate,9,1,1
Ocelot.AcceptanceTests,AuthenticationTests,AuthenticationTests,14,1,0
Ocelot.AcceptanceTests,AuthenticationTests,should_return_401_using_identity_server_access_token,38,1,0
Ocelot.AcceptanceTests,AuthenticationTests,should_return_response_200_using_identity_server,40,1,0
Ocelot.AcceptanceTests,AuthenticationTests,should_return_response_401_using_identity_server_with_token_requested_for_other_api,39,1,0
Ocelot.AcceptanceTests,AuthenticationTests,should_return_201_using_identity_server_access_token,40,1,0
Ocelot.AcceptanceTests,AuthenticationTests,should_return_201_using_identity_server_reference_token,40,1,0
Ocelot.AcceptanceTests,AuthenticationTests,GivenThereIsAServiceRunningOn,7,1,3
Ocelot.AcceptanceTests,AuthenticationTests,GivenThereIsAnIdentityServerOn,106,1,4
Ocelot.AcceptanceTests,AuthenticationTests,Dispose,5,1,0
