Testability smell,Namespace,Class,File,Cause
Hard-wired Dependency,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,AggregateTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AggregateTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.AggregateRouteConfig' Ocelot.Configuration.File.FileAggregateRoute' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.FakeDepdendency' Ocelot.AcceptanceTests.FakeDefinedAggregator' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,AuthenticationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AuthenticationTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,AuthorizationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\AuthorizationTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ButterflyTracingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ButterflyTracingTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,CachingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\CachingTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,CannotStartOcelotTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\CannotStartOcelotTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,CaseSensitiveRoutingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\CaseSensitiveRoutingTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ClaimsToDownstreamPathTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ClaimsToDownstreamPathTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ClaimsToHeadersForwardingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ClaimsToHeadersForwardingTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ClaimsToQueryStringForwardingTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ClaimsToQueryStringForwardingTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ClientRateLimitTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ClientRateLimitTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,ClientRateLimitTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ClientRateLimitTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRateLimitOptions' Ocelot.Configuration.File.FileRateLimitRule' Ocelot.Configuration.File.FileRoute' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.ServiceHandler' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ConfigurationInConsulTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ConfigurationInConsulTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.Steps
Excessive Dependency,Ocelot.AcceptanceTests,ConfigurationInConsulTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ConfigurationInConsulTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.AcceptanceTests.FakeConsulGetResponse' Ocelot.AcceptanceTests.RandomPortFinder' Ocelot.AcceptanceTests.Steps
Hard-wired Dependency,Ocelot.AcceptanceTests,ConfigurationReloadTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.AcceptanceTests\ConfigurationReloadTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.AcceptanceTests.Steps
