Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AdministrationTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs' [133' 152])' AdministrationTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs' [425' 444])
Duplicate Abstraction,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AdministrationTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs' [191' 212])' AdministrationTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs' [420' 441])
Duplicate Abstraction,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AdministrationTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs' [717' 737])' AdministrationTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs' [786' 806])
Unnecessary Abstraction,Ocelot.IntegrationTests,BearerToken,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\BearerToken.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: AccessToken' ExpiresIn' TokenType
Unutilized Abstraction,Ocelot.IntegrationTests,CacheManagerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\CacheManagerTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Ocelot.IntegrationTests,CacheManagerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\CacheManagerTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  CacheManagerTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\CacheManagerTests.cs' [167' 200])' HeaderTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\HeaderTests.cs' [130' 163])' ThreadSafeHeadersTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\ThreadSafeHeadersTests.cs' [118' 151])
Unutilized Abstraction,Ocelot.IntegrationTests,HeaderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\HeaderTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Ocelot.IntegrationTests,HeaderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\HeaderTests.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  HeaderTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\HeaderTests.cs' [101' 148])' ThreadSafeHeadersTests (C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\ThreadSafeHeadersTests.cs' [89' 136])
Unutilized Abstraction,Ocelot.IntegrationTests,ThreadSafeHeadersTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\ThreadSafeHeadersTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Insufficient Modularization,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
