Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,ThenTheResponseShouldBe,The length of the statement  "            response.GlobalConfiguration.ServiceDiscoveryProvider.Scheme.ShouldBe(expecteds.GlobalConfiguration.ServiceDiscoveryProvider.Scheme);" is 133.
Long Statement,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,ThenTheResponseShouldBe,The length of the statement  "            response.GlobalConfiguration.ServiceDiscoveryProvider.Host.ShouldBe(expecteds.GlobalConfiguration.ServiceDiscoveryProvider.Host);" is 129.
Long Statement,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,ThenTheResponseShouldBe,The length of the statement  "            response.GlobalConfiguration.ServiceDiscoveryProvider.Port.ShouldBe(expecteds.GlobalConfiguration.ServiceDiscoveryProvider.Port);" is 129.
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_return_file_configuration,The following statement contains a magic number: var configuration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                     RequestIdKey = "RequestId"'                     ServiceDiscoveryProvider = new FileServiceDiscoveryProvider                     {                         Scheme = "https"'                         Host = "127.0.0.1"'                     }'                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                             Region = "Geoff"'                         }'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                             Region = "Dave"'                         }'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_return_file_configuration,The following statement contains a magic number: var configuration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                     RequestIdKey = "RequestId"'                     ServiceDiscoveryProvider = new FileServiceDiscoveryProvider                     {                         Scheme = "https"'                         Host = "127.0.0.1"'                     }'                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                             Region = "Geoff"'                         }'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                             Region = "Dave"'                         }'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_return_file_configuration,The following statement contains a magic number: var configuration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                     RequestIdKey = "RequestId"'                     ServiceDiscoveryProvider = new FileServiceDiscoveryProvider                     {                         Scheme = "https"'                         Host = "127.0.0.1"'                     }'                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                             Region = "Geoff"'                         }'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                             Region = "Dave"'                         }'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_return_file_configuration,The following statement contains a magic number: var configuration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                     RequestIdKey = "RequestId"'                     ServiceDiscoveryProvider = new FileServiceDiscoveryProvider                     {                         Scheme = "https"'                         Host = "127.0.0.1"'                     }'                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                             Region = "Geoff"'                         }'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                         FileCacheOptions = new FileCacheOptions                         {                             TtlSeconds = 10'                             Region = "Dave"'                         }'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_get_file_configuration_edit_and_post_updated_version,The following statement contains a magic number: var initialConfiguration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_get_file_configuration_edit_and_post_updated_version,The following statement contains a magic number: var initialConfiguration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/test"'                     }'                 }'             };
Magic Number,Ocelot.IntegrationTests,AdministrationTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.IntegrationTests\AdministrationTests.cs,should_get_file_configuration_edit_and_post_updated_version,The following statement contains a magic number: var updatedConfiguration = new FileConfiguration             {                 GlobalConfiguration = new FileGlobalConfiguration                 {                 }'                 Routes = new List<FileRoute>()                 {                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "localhost"'                                 Port = 80'                             }'                         }'                         DownstreamScheme = "http"'                         DownstreamPathTemplate = "/geoffrey"'                         UpstreamHttpMethod = new List<string> { "get" }'                         UpstreamPathTemplate = "/"'                     }'                     new FileRoute()                     {                         DownstreamHostAndPorts = new List<FileHostAndPort>                         {                             new FileHostAndPort                             {                                 Host = "123.123.123"'                                 Port = 443'                             }'                         }'                         DownstreamScheme = "https"'                         DownstreamPathTemplate = "/blooper/{productId}"'                         UpstreamHttpMethod = new List<string> { "post" }'                         UpstreamPathTemplate = "/test"'                     }'                 }'             };
