Namespace,Type,Method,LOC,CC,PC
Ocelot.IntegrationTests,AdministrationTests,AdministrationTests,6,1,0
Ocelot.IntegrationTests,AdministrationTests,should_return_response_401_with_call_re_routes_controller,9,1,0
Ocelot.IntegrationTests,AdministrationTests,should_return_response_200_with_call_re_routes_controller,11,1,0
Ocelot.IntegrationTests,AdministrationTests,should_return_response_200_with_call_re_routes_controller_using_base_url_added_in_file_config,21,1,0
Ocelot.IntegrationTests,AdministrationTests,should_be_able_to_use_token_from_ocelot_a_on_ocelot_b,12,1,0
Ocelot.IntegrationTests,AdministrationTests,should_return_file_configuration,66,1,0
Ocelot.IntegrationTests,AdministrationTests,should_get_file_configuration_edit_and_post_updated_version,94,1,0
Ocelot.IntegrationTests,AdministrationTests,should_activate_change_token_when_configuration_is_updated,37,1,0
Ocelot.IntegrationTests,AdministrationTests,TheChangeTokenShouldBeActive,3,1,0
Ocelot.IntegrationTests,AdministrationTests,ThenTheConfigurationIsSavedCorrectly,11,1,1
Ocelot.IntegrationTests,AdministrationTests,should_get_file_configuration_edit_and_post_updated_version_redirecting_route,71,1,0
Ocelot.IntegrationTests,AdministrationTests,should_clear_region,59,1,0
Ocelot.IntegrationTests,AdministrationTests,should_return_response_200_with_call_re_routes_controller_when_using_own_identity_server_to_secure_admin_area,24,1,0
Ocelot.IntegrationTests,AdministrationTests,GivenIHaveAToken,20,1,1
Ocelot.IntegrationTests,AdministrationTests,GivenThereIsAnIdentityServerOn,64,1,2
Ocelot.IntegrationTests,AdministrationTests,GivenAnotherOcelotIsRunning,34,1,1
Ocelot.IntegrationTests,AdministrationTests,GivenIdentityServerSigningEnvironmentalVariablesAreSet,4,1,0
Ocelot.IntegrationTests,AdministrationTests,WhenIGetUrlOnTheSecondOcelot,4,1,1
Ocelot.IntegrationTests,AdministrationTests,WhenIPostOnTheApiGateway,6,1,2
Ocelot.IntegrationTests,AdministrationTests,ThenTheResponseShouldBe,5,1,1
Ocelot.IntegrationTests,AdministrationTests,ThenTheResponseBodyShouldBe,4,1,1
Ocelot.IntegrationTests,AdministrationTests,ThenTheResponseShouldBe,24,3,1
Ocelot.IntegrationTests,AdministrationTests,GivenIHaveAddedATokenToMyRequest,3,1,0
Ocelot.IntegrationTests,AdministrationTests,GivenIHaveAnOcelotToken,19,1,1
Ocelot.IntegrationTests,AdministrationTests,GivenOcelotIsRunningWithIdentityServerSettings,33,1,1
Ocelot.IntegrationTests,AdministrationTests,GivenOcelotIsRunning,32,1,0
Ocelot.IntegrationTests,AdministrationTests,GivenOcelotIsRunningWithNoWebHostBuilder,33,1,1
Ocelot.IntegrationTests,AdministrationTests,GivenThereIsAConfiguration,25,3,1
Ocelot.IntegrationTests,AdministrationTests,WhenIGetUrlOnTheApiGateway,3,1,1
Ocelot.IntegrationTests,AdministrationTests,WhenIDeleteOnTheApiGateway,3,1,1
Ocelot.IntegrationTests,AdministrationTests,ThenTheStatusCodeShouldBe,3,1,1
Ocelot.IntegrationTests,AdministrationTests,Dispose,7,1,0
Ocelot.IntegrationTests,AdministrationTests,GivenThereIsAFooServiceRunningOn,21,1,1
Ocelot.IntegrationTests,AdministrationTests,GivenThereIsABarServiceRunningOn,21,1,1
Ocelot.IntegrationTests,CacheManagerTests,CacheManagerTests,6,1,0
Ocelot.IntegrationTests,CacheManagerTests,should_clear_region,57,1,0
Ocelot.IntegrationTests,CacheManagerTests,GivenIHaveAddedATokenToMyRequest,3,1,0
Ocelot.IntegrationTests,CacheManagerTests,GivenIHaveAnOcelotToken,18,1,1
Ocelot.IntegrationTests,CacheManagerTests,GivenOcelotIsRunning,39,1,0
Ocelot.IntegrationTests,CacheManagerTests,GivenThereIsAConfiguration,17,3,1
Ocelot.IntegrationTests,CacheManagerTests,WhenIDeleteOnTheApiGateway,3,1,1
Ocelot.IntegrationTests,CacheManagerTests,ThenTheStatusCodeShouldBe,3,1,1
Ocelot.IntegrationTests,CacheManagerTests,Dispose,7,1,0
Ocelot.IntegrationTests,HeaderTests,HeaderTests,5,1,0
Ocelot.IntegrationTests,HeaderTests,should_pass_remote_ip_address_if_as_x_forwarded_for_header,38,1,0
Ocelot.IntegrationTests,HeaderTests,GivenThereIsAServiceRunningOn,22,1,3
Ocelot.IntegrationTests,HeaderTests,GivenOcelotIsRunning,25,1,0
Ocelot.IntegrationTests,HeaderTests,GivenThereIsAConfiguration,17,3,1
Ocelot.IntegrationTests,HeaderTests,WhenIGetUrlOnTheApiGateway,4,1,1
Ocelot.IntegrationTests,HeaderTests,ThenTheStatusCodeShouldBe,3,1,1
Ocelot.IntegrationTests,HeaderTests,ThenXForwardedForIsSet,11,2,0
Ocelot.IntegrationTests,HeaderTests,Dispose,5,1,0
Ocelot.IntegrationTests,ThreadSafeHeadersTests,ThreadSafeHeadersTests,7,1,0
Ocelot.IntegrationTests,ThreadSafeHeadersTests,should_return_same_response_for_each_different_header_under_load_to_downsteam_service,29,1,0
Ocelot.IntegrationTests,ThreadSafeHeadersTests,GivenThereIsAServiceRunningOn,19,1,1
Ocelot.IntegrationTests,ThreadSafeHeadersTests,GivenOcelotIsRunning,25,1,0
Ocelot.IntegrationTests,ThreadSafeHeadersTests,GivenThereIsAConfiguration,17,3,1
Ocelot.IntegrationTests,ThreadSafeHeadersTests,WhenIGetUrlOnTheApiGatewayMultipleTimesWithDifferentHeaderValues,10,2,2
Ocelot.IntegrationTests,ThreadSafeHeadersTests,GetForThreadSafeHeadersTest,9,1,2
Ocelot.IntegrationTests,ThreadSafeHeadersTests,ThenTheSameHeaderValuesAreReturnedByTheDownstreamService,6,2,0
Ocelot.IntegrationTests,ThreadSafeHeadersTests,Dispose,5,1,0
Ocelot.IntegrationTests,ThreadSafeHeadersTestResult,ThreadSafeHeadersTestResult,4,1,2
