Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Ocelot.Provider.Consul,Consul,4,5,0,0,2,71,9,0,1,0,8,7,3,Ocelot.Provider.Consul.ConsulRegistryConfiguration' Ocelot.Provider.Consul.IConsulClientFactory' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.ServiceDiscovery.Providers.IServiceDiscoveryProvider' Ocelot.Values.Service' Ocelot.Values.ServiceHostAndPort,Ocelot.UnitTests.Consul.ConsulServiceDiscoveryProviderTests' Ocelot.UnitTests.Consul.ProviderFactoryTests' Ocelot.Provider.Consul.ConsulProviderFactory
Ocelot.Provider.Consul,ConsulClientFactory,0,1,0,0,1,15,1,0,1,-1,2,2,Ocelot.Provider.Consul.ConsulRegistryConfiguration' Ocelot.Provider.Consul.IConsulClientFactory,Ocelot.Provider.Consul.OcelotBuilderExtensions' Ocelot.UnitTests.Consul.ConsulServiceDiscoveryProviderTests
Ocelot.Provider.Consul,ConsulFileConfigurationRepository,4,3,0,0,3,74,6,0,1,0,13,3,Ocelot.Provider.Consul.ConsulRegistryConfiguration' Ocelot.Provider.Consul.IConsulClientFactory' Ocelot.Provider.Consul.UnableToSetConfigInConsulError' Ocelot.Cache.IOcelotCache' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.Repository.IFileConfigurationRepository' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.ErrorResponse' Ocelot.Responses.OkResponse' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response' Ocelot.Responses.Response<T>,Ocelot.Provider.Consul.ConsulMiddlewareConfigurationProvider' Ocelot.Provider.Consul.OcelotBuilderExtensions' Ocelot.UnitTests.Consul.ConsulFileConfigurationRepositoryTests
Ocelot.Provider.Consul,ConsulMiddlewareConfigurationProvider,1,5,0,1,0,78,10,0,0,0,6,7,1,Ocelot.Provider.Consul.ConsulFileConfigurationRepository' Ocelot.Configuration.Creator.IInternalConfigurationCreator' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.Repository.IFileConfigurationRepository' Ocelot.Configuration.Repository.IInternalConfigurationRepository' Ocelot.Responses.Response' Ocelot.Responses.Response<T>,Ocelot.Provider.Consul.OcelotBuilderExtensions
Ocelot.Provider.Consul,ConsulProviderFactory,1,0,0,1,0,15,0,0,0,-1,5,2,Ocelot.Provider.Consul.Consul' Ocelot.Provider.Consul.ConsulRegistryConfiguration' Ocelot.Provider.Consul.IConsulClientFactory' Ocelot.Provider.Consul.PollConsul' Ocelot.Logging.IOcelotLoggerFactory,Ocelot.Provider.Consul.OcelotBuilderExtensions' Ocelot.UnitTests.Consul.ProviderFactoryTests
Ocelot.Provider.Consul,ConsulRegistryConfiguration,0,1,5,0,1,17,1,0,0,-1,0,7,,Ocelot.Provider.Consul.ConsulClientFactory' Ocelot.Provider.Consul.Consul' Ocelot.Provider.Consul.IConsulClientFactory' Ocelot.UnitTests.Consul.ConsulFileConfigurationRepositoryTests' Ocelot.Provider.Consul.ConsulFileConfigurationRepository' Ocelot.Provider.Consul.ConsulProviderFactory' Ocelot.UnitTests.Consul.ConsulServiceDiscoveryProviderTests
Ocelot.Provider.Consul,IConsulClientFactory,0,1,0,0,0,4,1,1,0,-1,1,8,Ocelot.Provider.Consul.ConsulRegistryConfiguration,Ocelot.Provider.Consul.ConsulClientFactory' Ocelot.Provider.Consul.ConsulFileConfigurationRepository' Ocelot.Provider.Consul.Consul' Ocelot.Provider.Consul.OcelotBuilderExtensions' Ocelot.Provider.Consul.ConsulProviderFactory' Ocelot.UnitTests.Consul.ConsulServiceDiscoveryProviderTests' Ocelot.UnitTests.Consul.ConsulFileConfigurationRepositoryTests' Ocelot.UnitTests.Consul.ProviderFactoryTests
Ocelot.Provider.Consul,OcelotBuilderExtensions,0,2,0,0,2,19,2,0,0,-1,10,0,Ocelot.Provider.Consul.ConsulClientFactory' Ocelot.Provider.Consul.ConsulFileConfigurationRepository' Ocelot.Provider.Consul.ConsulMiddlewareConfigurationProvider' Ocelot.Provider.Consul.ConsulProviderFactory' Ocelot.Provider.Consul.IConsulClientFactory' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.FileConfigurationPoller' Ocelot.Configuration.Repository.IFileConfigurationPollerOptions' Ocelot.Configuration.Repository.IFileConfigurationRepository' Ocelot.DependencyInjection.IOcelotBuilder,
Ocelot.Provider.Consul,PollConsul,5,4,0,0,3,43,4,0,1,0,4,4,Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.ServiceDiscovery.Providers.IServiceDiscoveryProvider' Ocelot.Values.Service,Ocelot.UnitTests.Consul.ConsulServiceDiscoveryProviderTests' Ocelot.UnitTests.Consul.ProviderFactoryTests' Ocelot.UnitTests.Consul.PollingConsulServiceDiscoveryProviderTests' Ocelot.Provider.Consul.ConsulProviderFactory
Ocelot.Provider.Consul,UnableToSetConfigInConsulError,0,1,0,0,1,7,1,0,1,-1,2,1,Ocelot.Errors.Error' Ocelot.Errors.OcelotErrorCode,Ocelot.Provider.Consul.ConsulFileConfigurationRepository
