Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Ocelot.Provider.Consul,ConsulMiddlewareConfigurationProvider,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\ConsulMiddlewareConfigurationProvider.cs,SetFileConfigInConsul,The method has 5 parameters. Parameters: builder' fileConfigRepo' fileConfig' internalConfigCreator' internalConfigRepo
Long Parameter List,Ocelot.Provider.Consul,ConsulRegistryConfiguration,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\ConsulRegistryConfiguration.cs,ConsulRegistryConfiguration,The method has 5 parameters. Parameters: scheme' host' port' keyOfServiceInConsul' token
Long Identifier,Ocelot.Provider.Consul,PollConsul,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\PollingConsulServiceDiscoveryProvider.cs,PollConsul,The length of the parameter consulServiceDiscoveryProvider is 30.
Long Identifier,Ocelot.Provider.Consul,PollConsul,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\PollingConsulServiceDiscoveryProvider.cs,,The length of the parameter _consulServiceDiscoveryProvider is 31.
Long Statement,Ocelot.Provider.Consul,Consul,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\Consul.cs,Get,The length of the statement  "                    _logger.LogWarning($"Unable to use service Address: {serviceEntry.Service.Address} and Port: {serviceEntry.Service.Port} as it is invalid. Address must contain host only e.g. localhost and port must be greater than 0");" is 219.
Long Statement,Ocelot.Provider.Consul,Consul,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\Consul.cs,BuildService,The length of the statement  "                new ServiceHostAndPort(serviceNode == null ? serviceEntry.Service.Address : serviceNode.Name' serviceEntry.Service.Port)'" is 121.
Long Statement,Ocelot.Provider.Consul,Consul,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\Consul.cs,IsValid,The length of the statement  "            if (string.IsNullOrEmpty(serviceEntry.Service.Address) || serviceEntry.Service.Address.Contains("http://") || serviceEntry.Service.Address.Contains("https://") || serviceEntry.Service.Port <= 0)" is 194.
Long Statement,Ocelot.Provider.Consul,ConsulFileConfigurationRepository,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\ConsulFileConfigurationRepository.cs,Set,The length of the statement  "            return new ErrorResponse(new UnableToSetConfigInConsulError($"Unable to set FileConfiguration in consul' response status code from consul was {result.StatusCode}"));" is 165.
Long Statement,Ocelot.Provider.Consul,ConsulMiddlewareConfigurationProvider,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\ConsulMiddlewareConfigurationProvider.cs,ThrowToStopOcelotStarting,The length of the statement  "            throw new Exception($"Unable to start Ocelot' errors are: {string.Join("'"' config.Errors.Select(x => x.ToString()))}");" is 120.
Complex Conditional,Ocelot.Provider.Consul,Consul,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\Consul.cs,IsValid,The conditional expression  "string.IsNullOrEmpty(serviceEntry.Service.Address) || serviceEntry.Service.Address.Contains("http://") || serviceEntry.Service.Address.Contains("https://") || serviceEntry.Service.Port <= 0"  is complex.
Magic Number,Ocelot.Provider.Consul,ConsulFileConfigurationRepository,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\ConsulFileConfigurationRepository.cs,Set,The following statement contains a magic number: _cache.AddAndDelete(_configurationKey' ocelotConfiguration' TimeSpan.FromSeconds(3)' _configurationKey);
Magic Number,Ocelot.Provider.Consul,ConsulRegistryConfiguration,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot.Provider.Consul\ConsulRegistryConfiguration.cs,ConsulRegistryConfiguration,The following statement contains a magic number: Port = port > 0 ? port : 8500;
