Namespace,Type,Method,LOC,CC,PC
Ocelot.Provider.Consul,Consul,Consul,5,1,3
Ocelot.Provider.Consul,Consul,Get,28,4,0
Ocelot.Provider.Consul,Consul,BuildService,8,1,2
Ocelot.Provider.Consul,Consul,IsValid,8,2,1
Ocelot.Provider.Consul,Consul,GetVersionFromStrings,5,1,1
Ocelot.Provider.Consul,ConsulClientFactory,Get,11,1,1
Ocelot.Provider.Consul,ConsulFileConfigurationRepository,ConsulFileConfigurationRepository,13,1,4
Ocelot.Provider.Consul,ConsulFileConfigurationRepository,Get,23,3,0
Ocelot.Provider.Consul,ConsulFileConfigurationRepository,Set,21,2,1
Ocelot.Provider.Consul,ConsulMiddlewareConfigurationProvider,UsingConsul,3,1,1
Ocelot.Provider.Consul,ConsulMiddlewareConfigurationProvider,SetFileConfigInConsul,39,6,5
Ocelot.Provider.Consul,ConsulMiddlewareConfigurationProvider,ThrowToStopOcelotStarting,3,1,1
Ocelot.Provider.Consul,ConsulMiddlewareConfigurationProvider,IsError,3,1,1
Ocelot.Provider.Consul,ConsulMiddlewareConfigurationProvider,ConfigNotStoredInConsul,3,1,1
Ocelot.Provider.Consul,ConsulRegistryConfiguration,ConsulRegistryConfiguration,7,1,5
Ocelot.Provider.Consul,IConsulClientFactory,Get,0,1,1
Ocelot.Provider.Consul,OcelotBuilderExtensions,AddConsul,7,1,1
Ocelot.Provider.Consul,OcelotBuilderExtensions,AddConfigStoredInConsul,6,1,1
Ocelot.Provider.Consul,PollConsul,PollConsul,17,1,3
Ocelot.Provider.Consul,PollConsul,Dispose,4,1,0
Ocelot.Provider.Consul,PollConsul,Get,3,1,0
Ocelot.Provider.Consul,PollConsul,Poll,3,1,0
Ocelot.Provider.Consul,UnableToSetConfigInConsulError,UnableToSetConfigInConsulError,2,1,1
