Namespace,Type,Method,LOC,CC,PC
Ocelot.Provider.Kubernetes.KubeApiClientExtensions,EndPointClientV1,EndPointClientV1,2,1,1
Ocelot.Provider.Kubernetes.KubeApiClientExtensions,EndPointClientV1,Get,17,3,3
Ocelot.Provider.Kubernetes,KubernetesServiceDiscoveryProvider,KubernetesServiceDiscoveryProvider,5,1,3
Ocelot.Provider.Kubernetes,KubernetesServiceDiscoveryProvider,Get,16,2,0
Ocelot.Provider.Kubernetes,KubernetesServiceDiscoveryProvider,BuildServices,11,2,1
Ocelot.Provider.Kubernetes,KubernetesProviderFactory,GetKubeProvider,14,2,4
Ocelot.Provider.Kubernetes,OcelotBuilderExtensions,AddKubernetes,5,1,2
Ocelot.Provider.Kubernetes,PollKubernetes,PollKubernetes,17,1,3
Ocelot.Provider.Kubernetes,PollKubernetes,Get,3,1,0
Ocelot.Provider.Kubernetes,PollKubernetes,Poll,3,1,0
