Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Unstable Dependency,Ocelot.UnitTests,Ocelot.UnitTests.Responder,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Ocelot.DownstreamRouteFinder.Finder' Ocelot.Responder.Middleware,Ocelot.UnitTests.Responder.UnableToFindDownstreamRouteError' Ocelot.UnitTests.Responder.ResponderMiddleware,Ocelot.UnitTests.Responder.UnableToFindDownstreamRouteError' Ocelot.UnitTests.Responder.ResponderMiddleware
Feature Concentration,Ocelot.UnitTests,Ocelot.UnitTests.Configuration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AggregatesCreatorTests]' [AuthenticationOptionsCreatorTests]' [ClaimsToThingCreatorTests]' [ClaimToThingConfigurationParserTests]' [ConfigurationCreatorTests]' [DiskFileConfigurationRepositoryTests]' [DownstreamAddressesCreatorTests]' [DynamicsCreatorTests]' [FileConfigurationPollerTests]' [FileConfigurationSetterTests]' [FileInternalConfigurationCreatorTests]' [HashCreationTests]' [HeaderFindAndReplaceCreatorTests]' [HttpHandlerOptionsCreatorTests' FakeTracer]' [InMemoryConfigurationRepositoryTests' FakeConfig]' [LoadBalancerOptionsCreatorTests]' [QoSOptionsCreatorTests]' [RateLimitOptionsCreatorTests]' [RequestIdKeyCreatorTests]' [RouteKeyCreatorTests]' [RouteOptionsCreatorTests]' [RoutesCreatorTests]' [SecurityOptionsCreatorTests]' [ServiceProviderCreatorTests]' [UpstreamTemplatePatternCreatorTests]' [VersionCreatorTests]. LCC (Lack of Component Cohesion) = 0'93,Ocelot.UnitTests.Configuration.InMemoryConfigurationRepositoryTests' Ocelot.UnitTests.Configuration.FakeConfig' Ocelot.UnitTests.Configuration.AggregatesCreatorTests' Ocelot.UnitTests.Configuration.AuthenticationOptionsCreatorTests' Ocelot.UnitTests.Configuration.ClaimsToThingCreatorTests' Ocelot.UnitTests.Configuration.ClaimToThingConfigurationParserTests' Ocelot.UnitTests.Configuration.ConfigurationCreatorTests' Ocelot.UnitTests.Configuration.DiskFileConfigurationRepositoryTests' Ocelot.UnitTests.Configuration.DownstreamAddressesCreatorTests' Ocelot.UnitTests.Configuration.DynamicsCreatorTests' Ocelot.UnitTests.Configuration.FileConfigurationPollerTests' Ocelot.UnitTests.Configuration.FileConfigurationSetterTests' Ocelot.UnitTests.Configuration.FileInternalConfigurationCreatorTests' Ocelot.UnitTests.Configuration.HashCreationTests' Ocelot.UnitTests.Configuration.HeaderFindAndReplaceCreatorTests' Ocelot.UnitTests.Configuration.LoadBalancerOptionsCreatorTests' Ocelot.UnitTests.Configuration.QoSOptionsCreatorTests' Ocelot.UnitTests.Configuration.RateLimitOptionsCreatorTests' Ocelot.UnitTests.Configuration.RequestIdKeyCreatorTests' Ocelot.UnitTests.Configuration.RouteKeyCreatorTests' Ocelot.UnitTests.Configuration.RouteOptionsCreatorTests' Ocelot.UnitTests.Configuration.RoutesCreatorTests' Ocelot.UnitTests.Configuration.SecurityOptionsCreatorTests' Ocelot.UnitTests.Configuration.ServiceProviderCreatorTests' Ocelot.UnitTests.Configuration.UpstreamTemplatePatternCreatorTests' Ocelot.UnitTests.Configuration.VersionCreatorTests,Ocelot.UnitTests.Configuration.AggregatesCreatorTests' Ocelot.UnitTests.Configuration.AuthenticationOptionsCreatorTests' Ocelot.UnitTests.Configuration.ClaimsToThingCreatorTests' Ocelot.UnitTests.Configuration.ClaimToThingConfigurationParserTests' Ocelot.UnitTests.Configuration.ConfigurationCreatorTests' Ocelot.UnitTests.Configuration.DiskFileConfigurationRepositoryTests' Ocelot.UnitTests.Configuration.DownstreamAddressesCreatorTests' Ocelot.UnitTests.Configuration.DynamicsCreatorTests' Ocelot.UnitTests.Configuration.FileConfigurationPollerTests' Ocelot.UnitTests.Configuration.FileConfigurationSetterTests' Ocelot.UnitTests.Configuration.FileInternalConfigurationCreatorTests' Ocelot.UnitTests.Configuration.HashCreationTests' Ocelot.UnitTests.Configuration.HeaderFindAndReplaceCreatorTests' Ocelot.UnitTests.Configuration.HttpHandlerOptionsCreatorTests' Ocelot.UnitTests.Configuration.FakeTracer' Ocelot.UnitTests.Configuration.InMemoryConfigurationRepositoryTests' Ocelot.UnitTests.Configuration.FakeConfig' Ocelot.UnitTests.Configuration.LoadBalancerOptionsCreatorTests' Ocelot.UnitTests.Configuration.QoSOptionsCreatorTests' Ocelot.UnitTests.Configuration.RateLimitOptionsCreatorTests' Ocelot.UnitTests.Configuration.RequestIdKeyCreatorTests' Ocelot.UnitTests.Configuration.RouteKeyCreatorTests' Ocelot.UnitTests.Configuration.RouteOptionsCreatorTests' Ocelot.UnitTests.Configuration.RoutesCreatorTests' Ocelot.UnitTests.Configuration.SecurityOptionsCreatorTests' Ocelot.UnitTests.Configuration.ServiceProviderCreatorTests' Ocelot.UnitTests.Configuration.UpstreamTemplatePatternCreatorTests' Ocelot.UnitTests.Configuration.VersionCreatorTests
Feature Concentration,Ocelot.UnitTests,Ocelot.UnitTests.Configuration.Validation,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FileConfigurationFluentValidatorTests' FakeServiceDiscoveryProvider' TestOptions' TestHandler]' [FileQoSOptionsFluentValidatorTests]' [HostAndPortValidatorTests]' [RouteFluentValidatorTests' FakeAutheHandler]. LCC (Lack of Component Cohesion) = 0'5,Ocelot.UnitTests.Configuration.Validation.RouteFluentValidatorTests' Ocelot.UnitTests.Configuration.Validation.FakeAutheHandler' Ocelot.UnitTests.Configuration.Validation.FileQoSOptionsFluentValidatorTests' Ocelot.UnitTests.Configuration.Validation.HostAndPortValidatorTests,Ocelot.UnitTests.Configuration.Validation.FileConfigurationFluentValidatorTests' Ocelot.UnitTests.Configuration.Validation.FakeServiceDiscoveryProvider' Ocelot.UnitTests.Configuration.Validation.TestOptions' Ocelot.UnitTests.Configuration.Validation.TestHandler' Ocelot.UnitTests.Configuration.Validation.FileQoSOptionsFluentValidatorTests' Ocelot.UnitTests.Configuration.Validation.HostAndPortValidatorTests' Ocelot.UnitTests.Configuration.Validation.RouteFluentValidatorTests' Ocelot.UnitTests.Configuration.Validation.FakeAutheHandler
Feature Concentration,Ocelot.UnitTests,Ocelot.UnitTests.Headers,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddHeadersToRequestClaimToThingTests' AnyError]' [AddHeadersToRequestPlainTests]' [AddHeadersToResponseTests]' [ClaimsToHeadersMiddlewareTests]' [HttpContextRequestHeaderReplacerTests]' [HttpHeadersTransformationMiddlewareTests]' [HttpResponseHeaderReplacerTests]' [RemoveHeadersTests]. LCC (Lack of Component Cohesion) = 0'89,Ocelot.UnitTests.Headers.AddHeadersToRequestPlainTests' Ocelot.UnitTests.Headers.AddHeadersToResponseTests' Ocelot.UnitTests.Headers.ClaimsToHeadersMiddlewareTests' Ocelot.UnitTests.Headers.HttpContextRequestHeaderReplacerTests' Ocelot.UnitTests.Headers.HttpHeadersTransformationMiddlewareTests' Ocelot.UnitTests.Headers.HttpResponseHeaderReplacerTests' Ocelot.UnitTests.Headers.RemoveHeadersTests,Ocelot.UnitTests.Headers.AddHeadersToRequestClaimToThingTests' Ocelot.UnitTests.Headers.AnyError' Ocelot.UnitTests.Headers.AddHeadersToRequestPlainTests' Ocelot.UnitTests.Headers.AddHeadersToResponseTests' Ocelot.UnitTests.Headers.ClaimsToHeadersMiddlewareTests' Ocelot.UnitTests.Headers.HttpContextRequestHeaderReplacerTests' Ocelot.UnitTests.Headers.HttpHeadersTransformationMiddlewareTests' Ocelot.UnitTests.Headers.HttpResponseHeaderReplacerTests' Ocelot.UnitTests.Headers.RemoveHeadersTests
Feature Concentration,Ocelot.UnitTests,Ocelot.UnitTests.Infrastructure,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClaimParserTests]' [ConfigAwarePlaceholdersTests' FakeError' ScopesAuthorizerTests]' [HttpDataRepositoryTests]' [InMemoryBusTests]' [PlaceholdersTests]' [StringExtensionsTests]. LCC (Lack of Component Cohesion) = 0'75,Ocelot.UnitTests.Infrastructure.ClaimParserTests' Ocelot.UnitTests.Infrastructure.HttpDataRepositoryTests' Ocelot.UnitTests.Infrastructure.InMemoryBusTests' Ocelot.UnitTests.Infrastructure.PlaceholdersTests' Ocelot.UnitTests.Infrastructure.StringExtensionsTests,Ocelot.UnitTests.Infrastructure.ClaimParserTests' Ocelot.UnitTests.Infrastructure.ConfigAwarePlaceholdersTests' Ocelot.UnitTests.Infrastructure.HttpDataRepositoryTests' Ocelot.UnitTests.Infrastructure.InMemoryBusTests' Ocelot.UnitTests.Infrastructure.PlaceholdersTests' Ocelot.UnitTests.Infrastructure.ScopesAuthorizerTests' Ocelot.UnitTests.Infrastructure.FakeError' Ocelot.UnitTests.Infrastructure.StringExtensionsTests
Feature Concentration,Ocelot.UnitTests,Ocelot.UnitTests.LoadBalancer,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CookieStickySessionsCreatorTests]' [CookieStickySessionsTests' FakeCookies' FakeBus<T>]' [DelegateInvokingLoadBalancerCreatorTests' FakeLoadBalancer' LoadBalancerHouseTests' FakeRoundRobinLoadBalancer]' [LeastConnectionCreatorTests]' [LeastConnectionTests]' [LoadBalancerFactoryTests' FakeLoadBalancerCreator<T>' BrokenLoadBalancerCreator<T>' FakeLoadBalancerOne' FakeLoadBalancerTwo' FakeNoLoadBalancer' BrokenLoadBalancer]' [LoadBalancerMiddlewareTests]' [LoadBalancerOptionsTests]' [NoLoadBalancerCreatorTests]' [NoLoadBalancerTests]' [RoundRobinCreatorTests]' [RoundRobinTests]. LCC (Lack of Component Cohesion) = 0'52,Ocelot.UnitTests.LoadBalancer.CookieStickySessionsTests' Ocelot.UnitTests.LoadBalancer.FakeCookies' Ocelot.UnitTests.LoadBalancer.FakeBus<T>' Ocelot.UnitTests.LoadBalancer.CookieStickySessionsCreatorTests' Ocelot.UnitTests.LoadBalancer.LeastConnectionCreatorTests' Ocelot.UnitTests.LoadBalancer.LeastConnectionTests' Ocelot.UnitTests.LoadBalancer.LoadBalancerMiddlewareTests' Ocelot.UnitTests.LoadBalancer.LoadBalancerOptionsTests' Ocelot.UnitTests.LoadBalancer.NoLoadBalancerCreatorTests' Ocelot.UnitTests.LoadBalancer.NoLoadBalancerTests' Ocelot.UnitTests.LoadBalancer.RoundRobinCreatorTests' Ocelot.UnitTests.LoadBalancer.RoundRobinTests,Ocelot.UnitTests.LoadBalancer.CookieStickySessionsCreatorTests' Ocelot.UnitTests.LoadBalancer.CookieStickySessionsTests' Ocelot.UnitTests.LoadBalancer.FakeCookies' Ocelot.UnitTests.LoadBalancer.FakeBus<T>' Ocelot.UnitTests.LoadBalancer.DelegateInvokingLoadBalancerCreatorTests' Ocelot.UnitTests.LoadBalancer.FakeLoadBalancer' Ocelot.UnitTests.LoadBalancer.LeastConnectionCreatorTests' Ocelot.UnitTests.LoadBalancer.LeastConnectionTests' Ocelot.UnitTests.LoadBalancer.LoadBalancerFactoryTests' Ocelot.UnitTests.LoadBalancer.FakeLoadBalancerCreator<T>' Ocelot.UnitTests.LoadBalancer.BrokenLoadBalancerCreator<T>' Ocelot.UnitTests.LoadBalancer.FakeLoadBalancerOne' Ocelot.UnitTests.LoadBalancer.FakeLoadBalancerTwo' Ocelot.UnitTests.LoadBalancer.FakeNoLoadBalancer' Ocelot.UnitTests.LoadBalancer.BrokenLoadBalancer' Ocelot.UnitTests.LoadBalancer.LoadBalancerHouseTests' Ocelot.UnitTests.LoadBalancer.FakeRoundRobinLoadBalancer' Ocelot.UnitTests.LoadBalancer.LoadBalancerMiddlewareTests' Ocelot.UnitTests.LoadBalancer.LoadBalancerOptionsTests' Ocelot.UnitTests.LoadBalancer.NoLoadBalancerCreatorTests' Ocelot.UnitTests.LoadBalancer.NoLoadBalancerTests' Ocelot.UnitTests.LoadBalancer.RoundRobinCreatorTests' Ocelot.UnitTests.LoadBalancer.RoundRobinTests
Feature Concentration,Ocelot.UnitTests,Ocelot.UnitTests.Multiplexing,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefinedAggregatorProviderTests' TestDefinedAggregator' UserDefinedResponseAggregatorTests]' [MultiplexingMiddlewareTests]' [ResponseAggregatorFactoryTests]' [SimpleJsonResponseAggregatorTests]. LCC (Lack of Component Cohesion) = 0'67,Ocelot.UnitTests.Multiplexing.MultiplexingMiddlewareTests' Ocelot.UnitTests.Multiplexing.ResponseAggregatorFactoryTests' Ocelot.UnitTests.Multiplexing.SimpleJsonResponseAggregatorTests,Ocelot.UnitTests.Multiplexing.DefinedAggregatorProviderTests' Ocelot.UnitTests.Multiplexing.MultiplexingMiddlewareTests' Ocelot.UnitTests.Multiplexing.ResponseAggregatorFactoryTests' Ocelot.UnitTests.Multiplexing.SimpleJsonResponseAggregatorTests' Ocelot.UnitTests.Multiplexing.UserDefinedResponseAggregatorTests' Ocelot.UnitTests.Multiplexing.TestDefinedAggregator
Feature Concentration,Ocelot.UnitTests,Ocelot.UnitTests.Requester,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DelegatingHandlerHandlerProviderFactoryTests' FakeTracingHandler' FakeQoSHandler' FakeDelegatingHandler' FakeDelegatingHandlerThree' FakeDelegatingHandlerFour' FakeDelegatingHandlerTwo' HttpClientBuilderTests' QoSFactoryTests]' [HttpClientHttpRequesterTest' OkDelegatingHandler' TimeoutDelegatingHandler]' [HttpExeptionToErrorMapperTests' SomeException]' [HttpRequesterMiddlewareTests]' [TracingHandlerFactoryTests]. LCC (Lack of Component Cohesion) = 0'31,Ocelot.UnitTests.Requester.HttpExeptionToErrorMapperTests' Ocelot.UnitTests.Requester.SomeException' Ocelot.UnitTests.Requester.HttpRequesterMiddlewareTests' Ocelot.UnitTests.Requester.TracingHandlerFactoryTests,Ocelot.UnitTests.Requester.DelegatingHandlerHandlerProviderFactoryTests' Ocelot.UnitTests.Requester.FakeTracingHandler' Ocelot.UnitTests.Requester.FakeQoSHandler' Ocelot.UnitTests.Requester.FakeDelegatingHandler' Ocelot.UnitTests.Requester.FakeDelegatingHandlerThree' Ocelot.UnitTests.Requester.FakeDelegatingHandlerFour' Ocelot.UnitTests.Requester.FakeDelegatingHandlerTwo' Ocelot.UnitTests.Requester.HttpClientBuilderTests' Ocelot.UnitTests.Requester.HttpClientHttpRequesterTest' Ocelot.UnitTests.Requester.OkDelegatingHandler' Ocelot.UnitTests.Requester.TimeoutDelegatingHandler' Ocelot.UnitTests.Requester.HttpExeptionToErrorMapperTests' Ocelot.UnitTests.Requester.SomeException' Ocelot.UnitTests.Requester.HttpRequesterMiddlewareTests' Ocelot.UnitTests.Requester.QoSFactoryTests' Ocelot.UnitTests.Requester.TracingHandlerFactoryTests
Feature Concentration,Ocelot.UnitTests,Ocelot.UnitTests.ServiceDiscovery,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConfigurationServiceProviderTests]' [ServiceDiscoveryProviderFactoryTests' Fake]' [ServiceFabricServiceDiscoveryProviderTests]' [ServiceRegistryTests' ServiceRegistry' IServiceRepository' ServiceRepository' IServiceRegistry]. LCC (Lack of Component Cohesion) = 0'44,Ocelot.UnitTests.ServiceDiscovery.ServiceDiscoveryProviderFactoryTests' Ocelot.UnitTests.ServiceDiscovery.Fake' Ocelot.UnitTests.ServiceDiscovery.ConfigurationServiceProviderTests' Ocelot.UnitTests.ServiceDiscovery.ServiceFabricServiceDiscoveryProviderTests,Ocelot.UnitTests.ServiceDiscovery.ConfigurationServiceProviderTests' Ocelot.UnitTests.ServiceDiscovery.ServiceDiscoveryProviderFactoryTests' Ocelot.UnitTests.ServiceDiscovery.Fake' Ocelot.UnitTests.ServiceDiscovery.ServiceFabricServiceDiscoveryProviderTests' Ocelot.UnitTests.ServiceDiscovery.ServiceRegistryTests' Ocelot.UnitTests.ServiceDiscovery.IServiceRegistry' Ocelot.UnitTests.ServiceDiscovery.ServiceRegistry' Ocelot.UnitTests.ServiceDiscovery.IServiceRepository' Ocelot.UnitTests.ServiceDiscovery.ServiceRepository
Scattered Functionality,Ocelot.UnitTests,Ocelot.UnitTests.Configuration,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Ocelot.Configuration.Builder' Ocelot.Configuration,Ocelot.Configuration.Builder.ServiceProviderConfigurationBuilder' Ocelot.Configuration.LoadBalancerOptionsBuilder' Ocelot.Configuration.Builder.QoSOptionsBuilder' Ocelot.Configuration.HttpHandlerOptionsBuilder' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder' Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Builder.RateLimitOptionsBuilder,Ocelot.Configuration.Builder.ServiceProviderConfigurationBuilder' Ocelot.Configuration.LoadBalancerOptionsBuilder' Ocelot.Configuration.Builder.QoSOptionsBuilder' Ocelot.Configuration.HttpHandlerOptionsBuilder' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder' Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Builder.RateLimitOptionsBuilder
