Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,5,9,0,0,3,74,9,0,0,0,2,0,Ocelot.DependencyInjection.IAdministrationPath' Ocelot.DependencyInjection.IOcelotBuilder,
Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,6,8,0,0,3,83,8,0,0,0,6,0,Ocelot.Authentication.Middleware.AuthenticationMiddleware' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Infrastructure.RequestData.IRequestScopedDataRepository' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory,
Ocelot.UnitTests.Authentication,StreamExtensions,0,1,0,0,1,11,1,0,0,-1,0,0,,
Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,7,6,0,0,2,68,6,0,0,0,33,11,0,Ocelot.Authorization.IClaimsAuthorizer' Ocelot.Authorization.IScopesAuthorizer' Ocelot.Authorization.Middleware.AuthorizationMiddleware' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>,
Ocelot.UnitTests.Authorization,ClaimsAuthorizerTests,5,12,0,0,6,117,12,0,0,0,5,4,0,Ocelot.Authorization.ClaimsAuthorizer' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Infrastructure.Claims.Parser.ClaimsParser' Ocelot.Responses.Response<T>,
Ocelot.UnitTests.CacheManager,OcelotBuilderExtensionsTests,6,7,0,0,2,89,7,0,0,0,5,0,Ocelot.Cache.CachedResponse' Ocelot.Cache.IOcelotCache' Ocelot.Configuration.IInternalConfiguration' Ocelot.Configuration.File.FileConfiguration' Ocelot.DependencyInjection.IOcelotBuilder,
Ocelot.UnitTests.CacheManager,OcelotCacheManagerCache,7,12,0,0,4,92,12,0,0,0,25,2,0,Ocelot.Cache.CacheManager.OcelotCacheManagerCache<T>' Ocelot.Cache.CacheManager.OcelotCacheManagerCache<T>,
Ocelot.UnitTests.CacheManager,OutputCacheMiddlewareRealCacheTests,7,6,0,0,2,64,6,0,0,0,33,14,0,Ocelot.Cache.CachedResponse' Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.ICacheKeyGenerator' Ocelot.Cache.IOcelotCache' Ocelot.Cache.MD5Helper' Ocelot.Cache.Middleware.OutputCacheMiddleware' Ocelot.Configuration.CacheOptions' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Middleware.DownstreamResponse' Ocelot.Request.Middleware.DownstreamRequest' Ocelot.Cache.CacheManager.OcelotCacheManagerCache<T>' Ocelot.Cache.CacheManager.OcelotCacheManagerCache<T>,
Ocelot.UnitTests.Cache,AspMemoryCacheTests,1,7,0,0,7,83,7,0,0,0,2,0,Ocelot.Cache.AspMemoryCache<T>' Ocelot.UnitTests.Cache.Fake,
Ocelot.UnitTests.Cache,Fake,0,1,1,0,1,9,1,0,0,-1,0,1,,Ocelot.UnitTests.Cache.AspMemoryCacheTests
Ocelot.UnitTests.Cache,CacheKeyGeneratorTests,2,3,0,0,2,26,3,0,0,0,4,0,Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.ICacheKeyGenerator' Ocelot.Cache.MD5Helper' Ocelot.Request.Middleware.DownstreamRequest,
Ocelot.UnitTests.Cache,OutputCacheMiddlewareTests,9,10,0,0,4,121,10,0,0,0,4,15,0,Ocelot.Cache.CachedResponse' Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.ICacheKeyGenerator' Ocelot.Cache.IOcelotCache' Ocelot.Cache.Middleware.OutputCacheMiddleware' Ocelot.Configuration.CacheOptions' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.DownstreamRouteFinder.DownstreamRouteHolder' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Infrastructure.RequestData.IRequestScopedDataRepository' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Middleware.DownstreamResponse' Ocelot.Request.Middleware.DownstreamRequest,
Ocelot.UnitTests.Cache,RegionCreatorTests,2,5,0,0,2,46,5,0,0,0,3,0,Ocelot.Cache.RegionCreator' Ocelot.Configuration.File.FileCacheOptions' Ocelot.Configuration.File.FileRoute,
Ocelot.UnitTests.Claims,AddClaimsToRequestTests,6,10,0,0,4,126,10,0,0,0,4,10,0,Ocelot.Claims.AddClaimsToRequest' Ocelot.Configuration.ClaimToThing' Ocelot.Errors.Error' Ocelot.Errors.OcelotErrorCode' Ocelot.Infrastructure.Claims.Parser.IClaimsParser' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response' Ocelot.Responses.Response<T>' Ocelot.UnitTests.Claims.AnyError,
Ocelot.UnitTests.Claims,AnyError,0,1,0,0,1,7,1,0,1,-1,0,1,,Ocelot.UnitTests.Claims.AddClaimsToRequestTests
