Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Administration\OcelotAdministrationBuilderTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authentication\AuthenticationMiddlewareTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.Authentication,StreamExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authentication\AuthenticationMiddlewareTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authorization\AuthorizationMiddlewareTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.Authorization,ClaimsAuthorizerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authorization\ClaimsAuthorizerTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.CacheManager,OcelotBuilderExtensionsTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\CacheManager\OcelotBuilderExtensionsTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Ocelot.UnitTests.CacheManager,OcelotBuilderExtensionsTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\CacheManager\OcelotBuilderExtensionsTests.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: Ocelot.UnitTests.CacheManager.OcelotBuilderExtensionsTests' Ocelot.UnitTests.Consul.OcelotBuilderExtensionsTests' Ocelot.UnitTests.Kubernetes.OcelotBuilderExtensionsTests' Ocelot.UnitTests.Polly.OcelotBuilderExtensionsTests
Unutilized Abstraction,Ocelot.UnitTests.CacheManager,OcelotCacheManagerCache,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\CacheManager\OcelotCacheManagerCache.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.CacheManager,OutputCacheMiddlewareRealCacheTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\CacheManager\OutputCacheMiddlewareRealCacheTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.Cache,AspMemoryCacheTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\AspMemoryCacheTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,Ocelot.UnitTests.Cache,Fake,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\AspMemoryCacheTests.cs,The tool detected the smell in this class because two or more abstractions have identical names. The abstractions with identical names are: Ocelot.UnitTests.Cache.Fake' Ocelot.UnitTests.ServiceDiscovery.Fake
Unutilized Abstraction,Ocelot.UnitTests.Cache,CacheKeyGeneratorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\CacheKeyGeneratorTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.Cache,OutputCacheMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\OutputCacheMiddlewareTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.Cache,RegionCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\RegionCreatorTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.UnitTests.Claims,AddClaimsToRequestTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Claims\AddClaimsToRequestTests.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
