Implementation smell,Namespace,Class,File,Method,Description
Long Method,Ocelot.UnitTests.DependencyInjection,ConfigurationBuilderExtensionsTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\DependencyInjection\ConfigurationBuilderExtensionsTests.cs,GivenMultipleConfigurationFiles,The method has 160 lines of code.
Long Parameter List,Ocelot.UnitTests.Eureka,EurekaService,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Eureka\EurekaServiceDiscoveryProviderTests.cs,EurekaService,The method has 6 parameters. Parameters: serviceId' host' port' isSecure' uri' metadata
Long Parameter List,Ocelot.UnitTests.Request.Mapper,RequestMapperTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Request\Mapper\RequestMapperTests.cs,Should_map_valid_request_uri,The method has 5 parameters. Parameters: scheme' host' path' queryString' expectedUri
Long Identifier,Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authorization\AuthorizationMiddlewareTests.cs,GivenTheDownStreamRouteIs,The length of the parameter templatePlaceholderNameAndValues is 32.
Long Identifier,Ocelot.UnitTests.Authorization,ClaimsAuthorizerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authorization\ClaimsAuthorizerTests.cs,GivenAPlaceHolderNameAndValueList,The length of the parameter urlPathPlaceholderNameAndValues is 31.
Long Identifier,Ocelot.UnitTests.Authorization,ClaimsAuthorizerTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authorization\ClaimsAuthorizerTests.cs,,The length of the parameter _urlPathPlaceholderNameAndValues is 32.
Long Identifier,Ocelot.UnitTests.Configuration,ClaimToThingConfigurationParserTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\ClaimToThingConfigurationParserTests.cs,,The length of the parameter _claimToThingConfigurationParser is 32.
Long Identifier,Ocelot.UnitTests.Consul,ConsulServiceDiscoveryProviderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Consul\ConsulServiceDiscoveryProviderTests.cs,,The length of the parameter _fakeConsulServiceDiscoveryUrl is 30.
Long Identifier,Ocelot.UnitTests.Consul,PollingConsulServiceDiscoveryProviderTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Consul\PollingConsulServiceDiscoveryProviderTests.cs,,The length of the parameter _consulServiceDiscoveryProvider is 31.
Long Identifier,Ocelot.UnitTests.DownstreamRouteFinder.UrlMatcher,RegExUrlMatcherTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\DownstreamRouteFinder\UrlMatcher\RegExUrlMatcherTests.cs,should_match_path_with_no_query_string,The length of the parameter regExForwardSlashAndOnePlaceHolder is 34.
Long Identifier,Ocelot.UnitTests.DownstreamRouteFinder.UrlMatcher,RegExUrlMatcherTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\DownstreamRouteFinder\UrlMatcher\RegExUrlMatcherTests.cs,should_match_query_string,The length of the parameter regExForwardSlashAndOnePlaceHolder is 34.
Long Identifier,Ocelot.UnitTests.DownstreamRouteFinder.UrlMatcher,RegExUrlMatcherTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\DownstreamRouteFinder\UrlMatcher\RegExUrlMatcherTests.cs,should_match_query_string_with_multiple_params,The length of the parameter regExForwardSlashAndOnePlaceHolder is 34.
Long Identifier,Ocelot.UnitTests.DownstreamRouteFinder.UrlMatcher,RegExUrlMatcherTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\DownstreamRouteFinder\UrlMatcher\RegExUrlMatcherTests.cs,should_not_match_slash_becaue_we_need_to_match_something_after_it,The length of the parameter regExForwardSlashAndOnePlaceHolder is 34.
Long Identifier,Ocelot.UnitTests.DownstreamUrlCreator,DownstreamUrlCreatorMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\DownstreamUrlCreator\DownstreamUrlCreatorMiddlewareTests.cs,,The length of the parameter _downstreamUrlTemplateVariableReplacer is 38.
Long Statement,Ocelot.UnitTests.CacheManager,OutputCacheMiddlewareRealCacheTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\CacheManager\OutputCacheMiddlewareRealCacheTests.cs,should_cache_content_headers,The length of the statement  "            var response = new DownstreamResponse(content' HttpStatusCode.OK' new List<KeyValuePair<string' IEnumerable<string>>>()' "fooreason"); " is 134.
Long Statement,Ocelot.UnitTests.Cache,OutputCacheMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\OutputCacheMiddlewareTests.cs,should_returned_cached_item_when_it_is_in_cache_expires_header,The length of the statement  "            var cachedResponse = new CachedResponse(HttpStatusCode.OK' new Dictionary<string' IEnumerable<string>>()' ""' contentHeaders' "some reason");" is 141.
Long Statement,Ocelot.UnitTests.Cache,OutputCacheMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\OutputCacheMiddlewareTests.cs,GivenTheDownstreamRouteIs,The length of the statement  "            var downstreamRoute = new Ocelot.DownstreamRouteFinder.DownstreamRouteHolder(new List<PlaceholderNameAndValue>()' route);" is 121.
Long Statement,Ocelot.UnitTests.Cache,OutputCacheMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\OutputCacheMiddlewareTests.cs,ThenTheCacheAddIsCalledCorrectly,The length of the statement  "                .Verify(x => x.Add(It.IsAny<string>()' It.IsAny<CachedResponse>()' It.IsAny<TimeSpan>()' It.IsAny<string>())' Times.Once);" is 122.
Long Statement,Ocelot.UnitTests.Configuration,ConfigurationCreatorTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\ConfigurationCreatorTests.cs,WhenICreate,The length of the statement  "            _creator = new ConfigurationCreator(_spcCreator.Object' _qosCreator.Object' _hhoCreator.Object' serviceProvider' _lboCreator.Object' _vCreator.Object); " is 151.
Long Statement,Ocelot.UnitTests.Configuration,DiskFileConfigurationRepositoryTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Configuration\DiskFileConfigurationRepositoryTests.cs,ThenTheConfigurationIsStoredAs,The length of the statement  "            _result.GlobalConfiguration.ServiceDiscoveryProvider.Scheme.ShouldBe(expecteds.GlobalConfiguration.ServiceDiscoveryProvider.Scheme); " is 132.
