Namespace,Type,Method,LOC,CC,PC
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,OcelotAdministrationBuilderTests,6,1,0
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,GetHostingEnvironment,7,1,0
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,should_set_up_administration_with_identity_server_options,8,1,0
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,should_set_up_administration,7,1,0
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,WhenISetUpAdministration,3,1,0
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,WhenISetUpAdministration,3,1,1
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,ThenTheCorrectAdminPathIsRegitered,5,1,0
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,WhenISetUpOcelotServices,10,1,0
Ocelot.UnitTests.Administration,OcelotAdministrationBuilderTests,ThenAnExceptionIsntThrown,3,1,0
Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,AuthenticationMiddlewareTests,7,1,0
Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,should_call_next_middleware_if_route_is_not_authenticated,8,1,0
Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,should_call_next_middleware_if_route_is_using_options_method,11,1,0
Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,WhenICallTheMiddleware,11,1,0
Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,GivenTheTestServerPipelineIsConfigured,9,1,0
Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,GivenTheRequestIsUsingOptionsMethod,3,1,0
Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,ThenTheUserIsAuthenticated,4,1,0
Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,GivenTheDownStreamRouteIs,3,1,1
Ocelot.UnitTests.Authentication,StreamExtensions,AsString,7,1,1
Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,AuthorizationMiddlewareTests,10,1,0
Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,should_call_authorization_service,12,1,0
Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,WhenICallTheMiddleware,3,1,0
Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,GivenTheDownStreamRouteIs,4,1,2
Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,GivenTheAuthServiceReturns,8,1,1
Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,ThenTheAuthServiceIsCalledCorrectly,8,1,0
Ocelot.UnitTests.Authorization,ClaimsAuthorizerTests,ClaimsAuthorizerTests,3,1,0
