Project,Namespace,Ca types,Ce types
Ocelot.UnitTests,Ocelot.UnitTests.Administration,,Ocelot.DependencyInjection.IAdministrationPath' Ocelot.DependencyInjection.IOcelotBuilder
Ocelot.UnitTests,Ocelot.UnitTests.Authentication,,Ocelot.Authentication.Middleware.AuthenticationMiddleware' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Infrastructure.RequestData.IRequestScopedDataRepository' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory
Ocelot.UnitTests,Ocelot.UnitTests.Authorization,,Ocelot.Authorization.IClaimsAuthorizer' Ocelot.Authorization.IScopesAuthorizer' Ocelot.Authorization.Middleware.AuthorizationMiddleware' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>' Ocelot.Authorization.ClaimsAuthorizer' Ocelot.Infrastructure.Claims.Parser.ClaimsParser
Ocelot.UnitTests,Ocelot.UnitTests.CacheManager,,Ocelot.Cache.CachedResponse' Ocelot.Cache.IOcelotCache' Ocelot.Configuration.IInternalConfiguration' Ocelot.Configuration.File.FileConfiguration' Ocelot.DependencyInjection.IOcelotBuilder' Ocelot.Cache.CacheManager.OcelotCacheManagerCache<T>' Ocelot.Cache.CacheManager.OcelotCacheManagerCache<T>' Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.ICacheKeyGenerator' Ocelot.Cache.MD5Helper' Ocelot.Cache.Middleware.OutputCacheMiddleware' Ocelot.Configuration.CacheOptions' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Middleware.DownstreamResponse' Ocelot.Request.Middleware.DownstreamRequest
Ocelot.UnitTests,Ocelot.UnitTests.Cache,,Ocelot.Cache.AspMemoryCache<T>' Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.ICacheKeyGenerator' Ocelot.Cache.MD5Helper' Ocelot.Request.Middleware.DownstreamRequest' Ocelot.Cache.CachedResponse' Ocelot.Cache.IOcelotCache' Ocelot.Cache.Middleware.OutputCacheMiddleware' Ocelot.Configuration.CacheOptions' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.DownstreamRouteFinder.DownstreamRouteHolder' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Infrastructure.RequestData.IRequestScopedDataRepository' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Middleware.DownstreamResponse' Ocelot.Cache.RegionCreator' Ocelot.Configuration.File.FileCacheOptions' Ocelot.Configuration.File.FileRoute
Ocelot.UnitTests,Ocelot.UnitTests.Claims,,Ocelot.Claims.AddClaimsToRequest' Ocelot.Configuration.ClaimToThing' Ocelot.Errors.Error' Ocelot.Errors.OcelotErrorCode' Ocelot.Infrastructure.Claims.Parser.IClaimsParser' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response' Ocelot.Responses.Response<T>' Ocelot.Claims.IAddClaimsToRequest' Ocelot.Claims.Middleware.ClaimsToClaimsMiddleware' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.DownstreamRouteFinder.DownstreamRouteHolder' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.OkResponse
Ocelot.UnitTests,Ocelot.UnitTests.Configuration,,Ocelot.Configuration.Route' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.File.FileAggregateRoute' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.IRoute' Ocelot.Values.UpstreamPathTemplate' Ocelot.Configuration.AuthenticationOptions' Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Creator.AuthenticationOptionsCreator' Ocelot.Configuration.File.FileAuthenticationOptions' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.ClaimToThing' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Parser.IClaimToThingConfigurationParser' Ocelot.Errors.Error' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>' Ocelot.Configuration.Parser.ClaimToThingConfigurationParser' Ocelot.Configuration.Parser.InstructionNotForClaimsError' Ocelot.Configuration.Parser.NoInstructionsError' Ocelot.Configuration.HttpHandlerOptions' Ocelot.Configuration.HttpHandlerOptionsBuilder' Ocelot.Configuration.InternalConfiguration' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.LoadBalancerOptionsBuilder' Ocelot.Configuration.QoSOptions' Ocelot.Configuration.ServiceProviderConfiguration' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.IHttpHandlerOptionsCreator' Ocelot.Configuration.Creator.ILoadBalancerOptionsCreator' Ocelot.Configuration.Creator.IQoSOptionsCreator' Ocelot.Configuration.Creator.IServiceProviderConfigurationCreator' Ocelot.Configuration.Creator.IVersionCreator' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHttpHandlerOptions' Ocelot.Configuration.File.FileLoadBalancerOptions' Ocelot.Configuration.File.FileQoSOptions' Ocelot.DependencyInjection.AdministrationPath' Ocelot.DependencyInjection.IAdministrationPath' Ocelot.Configuration.ChangeTracking.IOcelotConfigurationChangeTokenSource' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.IFileConfigurationRepository' Ocelot.Configuration.DownstreamHostAndPort' Ocelot.Configuration.Creator.DownstreamAddressesCreator' Ocelot.Configuration.RateLimitOptions' Ocelot.Configuration.Builder.RateLimitOptionsBuilder' Ocelot.Configuration.Creator.DynamicsCreator' Ocelot.Configuration.Creator.IRateLimitOptionsCreator' Ocelot.Configuration.File.FileDynamicRoute' Ocelot.Configuration.File.FileRateLimitRule' Ocelot.Configuration.IInternalConfiguration' Ocelot.Configuration.Creator.IInternalConfigurationCreator' Ocelot.Configuration.Repository.FileConfigurationPoller' Ocelot.Configuration.Repository.IFileConfigurationPollerOptions' Ocelot.Configuration.Repository.IInternalConfigurationRepository' Ocelot.UnitTests.Responder.AnyError' Ocelot.Configuration.Builder.QoSOptionsBuilder' Ocelot.Configuration.Builder.ServiceProviderConfigurationBuilder' Ocelot.Configuration.Setter.FileAndInternalConfigurationSetter' Ocelot.Responses.ErrorResponse' Ocelot.Responses.OkResponse' Ocelot.Responses.Response' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.IAggregatesCreator' Ocelot.Configuration.Creator.IConfigurationCreator' Ocelot.Configuration.Creator.IDynamicsCreator' Ocelot.Configuration.Creator.IRoutesCreator' Ocelot.Configuration.Validator.ConfigurationValidationResult' Ocelot.Configuration.Validator.IConfigurationValidator' Ocelot.Configuration.HeaderFindAndReplace' Ocelot.Configuration.Creator.AddHeader' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.HeaderTransformations' Ocelot.Infrastructure.IPlaceholders' Ocelot.Configuration.Creator.HttpHandlerOptionsCreator' Ocelot.Logging.ITracer' Ocelot.Configuration.Repository.InMemoryInternalConfigurationRepository' Ocelot.Configuration.Creator.LoadBalancerOptionsCreator' Ocelot.Configuration.Creator.QoSOptionsCreator' Ocelot.Configuration.RateLimitRule' Ocelot.Configuration.Creator.RateLimitOptionsCreator' Ocelot.Configuration.File.FileRateLimitOptions' Ocelot.Configuration.Creator.RequestIdKeyCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.LoadBalancer.LoadBalancers.CookieStickySessions' Ocelot.Configuration.RouteOptions' Ocelot.Configuration.Builder.RouteOptionsBuilder' Ocelot.Configuration.Creator.RouteOptionsCreator' Ocelot.Configuration.File.FileCacheOptions' Ocelot.Cache.IRegionCreator' Ocelot.Configuration.SecurityOptions' Ocelot.Configuration.Creator.IAuthenticationOptionsCreator' Ocelot.Configuration.Creator.IClaimsToThingCreator' Ocelot.Configuration.Creator.IDownstreamAddressesCreator' Ocelot.Configuration.Creator.IHeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IRequestIdKeyCreator' Ocelot.Configuration.Creator.IRouteKeyCreator' Ocelot.Configuration.Creator.IRouteOptionsCreator' Ocelot.Configuration.Creator.ISecurityOptionsCreator' Ocelot.Configuration.Creator.RoutesCreator' Ocelot.Configuration.Creator.SecurityOptionsCreator' Ocelot.Configuration.File.FileSecurityOptions' Ocelot.Configuration.Creator.ServiceProviderConfigurationCreator' Ocelot.Configuration.Creator.UpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.HttpVersionCreator
Ocelot.UnitTests,Ocelot.UnitTests.Configuration.ChangeTracking,,Ocelot.Configuration.ChangeTracking.IOcelotConfigurationChangeTokenSource' Ocelot.Configuration.ChangeTracking.OcelotConfigurationChangeTokenSource' Ocelot.Configuration.ChangeTracking.OcelotConfigurationChangeToken
Ocelot.UnitTests,Ocelot.UnitTests.Configuration.Validation,,Ocelot.Configuration.File.FileAggregateRoute' Ocelot.Configuration.File.FileAuthenticationOptions' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileQoSOptions' Ocelot.Configuration.File.FileRateLimitRule' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.Configuration.Validator.ConfigurationValidationResult' Ocelot.Configuration.Validator.FileConfigurationFluentValidator' Ocelot.Configuration.Validator.FileGlobalConfigurationFluentValidator' Ocelot.Configuration.Validator.FileQoSOptionsFluentValidator' Ocelot.Configuration.Validator.FileValidationFailedError' Ocelot.Configuration.Validator.HostAndPortValidator' Ocelot.Configuration.Validator.IConfigurationValidator' Ocelot.Configuration.Validator.RouteFluentValidator' Ocelot.Responses.Response<T>' Ocelot.ServiceDiscovery.Providers.IServiceDiscoveryProvider' Ocelot.Values.Service' Ocelot.UnitTests.Requester.FakeDelegatingHandler
Ocelot.UnitTests,Ocelot.UnitTests.Consul,,Ocelot.Cache.IOcelotCache' Ocelot.Configuration.File.FileConfiguration' Ocelot.Configuration.File.FileGlobalConfiguration' Ocelot.Configuration.File.FileHostAndPort' Ocelot.Configuration.File.FileRoute' Ocelot.Configuration.File.FileServiceDiscoveryProvider' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.Response' Ocelot.Responses.Response<T>' Ocelot.Provider.Consul.ConsulFileConfigurationRepository' Ocelot.Provider.Consul.ConsulRegistryConfiguration' Ocelot.Provider.Consul.IConsulClientFactory' Ocelot.Provider.Consul.ConsulFileConfigurationRepository' Ocelot.Provider.Consul.ConsulRegistryConfiguration' Ocelot.Provider.Consul.IConsulClientFactory' Ocelot.Logging.IOcelotLogger' Ocelot.Values.Service' Ocelot.Provider.Consul.Consul' Ocelot.Provider.Consul.ConsulClientFactory' Ocelot.Provider.Consul.PollConsul' Ocelot.Provider.Consul.Consul' Ocelot.Provider.Consul.ConsulClientFactory' Ocelot.Provider.Consul.PollConsul' Ocelot.DependencyInjection.IOcelotBuilder' Ocelot.Infrastructure.Wait' Ocelot.ServiceDiscovery.Providers.IServiceDiscoveryProvider' Ocelot.Values.ServiceHostAndPort' Ocelot.Configuration.ServiceProviderConfiguration' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Provider.Consul.ConsulProviderFactory' Ocelot.Provider.Consul.ConsulProviderFactory
