Testability smell,Namespace,Class,File,Cause
Hard-wired Dependency,Ocelot.UnitTests.Authentication,AuthenticationMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authentication\AuthenticationMiddlewareTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.DownstreamRouteBuilder
Global State,Ocelot.UnitTests.Authentication,StreamExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authentication\AuthenticationMiddlewareTests.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Hard-wired Dependency,Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authorization\AuthorizationMiddlewareTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder
Excessive Dependency,Ocelot.UnitTests.Authorization,AuthorizationMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Authorization\AuthorizationMiddlewareTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Authorization.IClaimsAuthorizer' Ocelot.Authorization.IScopesAuthorizer' Ocelot.Authorization.Middleware.AuthorizationMiddleware' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.UpstreamPathTemplateBuilder' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>
Hard-wired Dependency,Ocelot.UnitTests.CacheManager,OutputCacheMiddlewareRealCacheTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\CacheManager\OutputCacheMiddlewareRealCacheTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.DownstreamRouteBuilder
Excessive Dependency,Ocelot.UnitTests.CacheManager,OutputCacheMiddlewareRealCacheTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\CacheManager\OutputCacheMiddlewareRealCacheTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Cache.CachedResponse' Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.ICacheKeyGenerator' Ocelot.Cache.IOcelotCache' Ocelot.Cache.MD5Helper' Ocelot.Cache.Middleware.OutputCacheMiddleware' Ocelot.Configuration.CacheOptions' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Middleware.DownstreamResponse' Ocelot.Request.Middleware.DownstreamRequest' Ocelot.Cache.CacheManager.OcelotCacheManagerCache<T>' Ocelot.Cache.CacheManager.OcelotCacheManagerCache<T>
Hard-wired Dependency,Ocelot.UnitTests.Cache,OutputCacheMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\OutputCacheMiddlewareTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.Builder.DownstreamRouteBuilder
Excessive Dependency,Ocelot.UnitTests.Cache,OutputCacheMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Cache\OutputCacheMiddlewareTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Cache.CachedResponse' Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.ICacheKeyGenerator' Ocelot.Cache.IOcelotCache' Ocelot.Cache.Middleware.OutputCacheMiddleware' Ocelot.Configuration.CacheOptions' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.DownstreamRouteFinder.DownstreamRouteHolder' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Infrastructure.RequestData.IRequestScopedDataRepository' Ocelot.Logging.IOcelotLogger' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Middleware.DownstreamResponse' Ocelot.Request.Middleware.DownstreamRequest
Excessive Dependency,Ocelot.UnitTests.Claims,AddClaimsToRequestTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Claims\AddClaimsToRequestTests.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Claims.AddClaimsToRequest' Ocelot.Configuration.ClaimToThing' Ocelot.Errors.Error' Ocelot.Errors.OcelotErrorCode' Ocelot.Infrastructure.Claims.Parser.IClaimsParser' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response' Ocelot.Responses.Response<T>' Ocelot.UnitTests.Claims.AnyError
Hard-wired Dependency,Ocelot.UnitTests.Claims,ClaimsToClaimsMiddlewareTests,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\test\Ocelot.UnitTests\Claims\ClaimsToClaimsMiddlewareTests.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.Builder.DownstreamRouteBuilder
