Namespace,Type,Method,LOC,CC,PC
OcelotApplicationApiGateway,OcelotServiceWebService,OcelotServiceWebService,1,1,1
OcelotApplicationApiGateway,OcelotServiceWebService,CreateServiceInstanceListeners,8,1,0
OcelotApplicationApiGateway,Program,Main,28,1,1
OcelotApplicationApiGateway,ServiceEventListener,ServiceEventListener,3,1,1
OcelotApplicationApiGateway,ServiceEventListener,OnEventWritten,15,2,1
OcelotApplicationApiGateway,ServiceEventListener,Write,25,3,4
OcelotApplicationApiGateway,ServiceEventListener,ConvertLevelToString,9,2,1
OcelotApplicationApiGateway,ServiceEventSource,Message,7,2,2
OcelotApplicationApiGateway,ServiceEventSource,Message,6,2,1
OcelotApplicationApiGateway,ServiceEventSource,ServiceTypeRegistered,3,1,2
OcelotApplicationApiGateway,ServiceEventSource,ServiceHostInitializationFailed,3,1,1
OcelotApplicationApiGateway,ServiceEventSource,ServiceHostInitializationFailed,3,1,1
OcelotApplicationApiGateway,ServiceEventSource,ServiceWebHostBuilderFailed,3,1,1
OcelotApplicationApiGateway,ServiceEventSource,ServiceWebHostBuilderFailed,3,1,1
OcelotApplicationApiGateway,WebCommunicationListener,WebCommunicationListener,4,1,2
OcelotApplicationApiGateway,WebCommunicationListener,OpenAsync,54,1,1
OcelotApplicationApiGateway,WebCommunicationListener,CloseAsync,4,1,1
OcelotApplicationApiGateway,WebCommunicationListener,Abort,3,1,0
OcelotApplicationApiGateway,WebCommunicationListener,StopAll,13,2,0
