Namespace,Type,Method,LOC,CC,PC
OcelotApplicationService,ApiGateway,ApiGateway,1,1,1
OcelotApplicationService,ApiGateway,CreateServiceInstanceListeners,27,1,0
OcelotApplicationService,Program,Main,22,1,0
OcelotApplicationService,ServiceEventSource,ServiceEventSource,5,1,0
OcelotApplicationService,ServiceEventSource,ServiceEventSource,1,1,0
OcelotApplicationService,ServiceEventSource,Message,7,2,2
OcelotApplicationService,ServiceEventSource,Message,6,2,1
OcelotApplicationService,ServiceEventSource,ServiceMessage,16,2,3
OcelotApplicationService,ServiceEventSource,ServiceMessage,21,1,8
OcelotApplicationService,ServiceEventSource,ServiceTypeRegistered,3,1,2
OcelotApplicationService,ServiceEventSource,ServiceHostInitializationFailed,3,1,1
OcelotApplicationService,ServiceEventSource,ServiceRequestStart,3,1,1
OcelotApplicationService,ServiceEventSource,ServiceRequestStop,3,1,2
OcelotApplicationService,ServiceEventSource,GetReplicaOrInstanceId,15,3,1
OcelotApplicationService,Startup,Startup,3,1,1
OcelotApplicationService,Startup,ConfigureServices,3,1,1
OcelotApplicationService,Startup,Configure,8,2,2
OcelotApplicationService.Controllers,ValuesController,Get,3,1,0
OcelotApplicationService.Controllers,ValuesController,Get,3,1,1
OcelotApplicationService.Controllers,ValuesController,Post,2,1,1
OcelotApplicationService.Controllers,ValuesController,Put,2,1,2
OcelotApplicationService.Controllers,ValuesController,Delete,2,1,1
