Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,Ocelot,Ocelot.Cache,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Cache' Ocelot.Request.Middleware' Ocelot.Middleware' Ocelot.Configuration.Creator,Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.IRegionCreator' Ocelot.Request.Middleware.DownstreamRequestInitialiserMiddleware' Ocelot.Middleware.ConfigurationMiddleware' Ocelot.Middleware.HttpItemsExtensions' Ocelot.Middleware.OcelotMiddlewareExtensions' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator,Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.IRegionCreator' Ocelot.Request.Middleware.DownstreamRequestInitialiserMiddleware' Ocelot.Middleware.ConfigurationMiddleware' Ocelot.Middleware.HttpItemsExtensions' Ocelot.Middleware.OcelotMiddlewareExtensions' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator
Cyclic Dependency,Ocelot,Ocelot.Cache,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Cache' Ocelot.Request.Middleware' Ocelot.Middleware' Ocelot.Configuration.Repository' Ocelot.Configuration.Creator,Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.IRegionCreator' Ocelot.Request.Middleware.DownstreamRequestInitialiserMiddleware' Ocelot.Middleware.ConfigurationMiddleware' Ocelot.Middleware.HttpItemsExtensions' Ocelot.Middleware.OcelotMiddlewareExtensions' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator,Ocelot.Cache.CacheKeyGenerator' Ocelot.Cache.IRegionCreator' Ocelot.Request.Middleware.DownstreamRequestInitialiserMiddleware' Ocelot.Middleware.ConfigurationMiddleware' Ocelot.Middleware.HttpItemsExtensions' Ocelot.Middleware.OcelotMiddlewareExtensions' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator
Cyclic Dependency,Ocelot,Ocelot.Claims,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Claims' Ocelot.Configuration' Ocelot.Configuration.Creator' Ocelot.DependencyInjection,Ocelot.Claims.AddClaimsToRequest' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator' Ocelot.DependencyInjection.ConfigurationBuilderExtensions' Ocelot.DependencyInjection.IOcelotBuilder' Ocelot.DependencyInjection.OcelotBuilder,Ocelot.Claims.AddClaimsToRequest' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator' Ocelot.DependencyInjection.ConfigurationBuilderExtensions' Ocelot.DependencyInjection.IOcelotBuilder' Ocelot.DependencyInjection.OcelotBuilder
Cyclic Dependency,Ocelot,Ocelot.Claims,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Claims' Ocelot.Configuration' Ocelot.Configuration.Repository' Ocelot.Configuration.Creator' Ocelot.DependencyInjection,Ocelot.Claims.AddClaimsToRequest' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator' Ocelot.DependencyInjection.ConfigurationBuilderExtensions' Ocelot.DependencyInjection.IOcelotBuilder' Ocelot.DependencyInjection.OcelotBuilder,Ocelot.Claims.AddClaimsToRequest' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator' Ocelot.DependencyInjection.ConfigurationBuilderExtensions' Ocelot.DependencyInjection.IOcelotBuilder' Ocelot.DependencyInjection.OcelotBuilder
Cyclic Dependency,Ocelot,Ocelot.Configuration,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Configuration' Ocelot.Configuration.Creator,Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator,Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator
Cyclic Dependency,Ocelot,Ocelot.Configuration,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Configuration' Ocelot.Configuration.Creator' Ocelot.Configuration.Builder,Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator' Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder,Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator' Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder
Cyclic Dependency,Ocelot,Ocelot.Configuration.Builder,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Configuration.Builder' Ocelot.Configuration.Creator,Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator,Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator
Cyclic Dependency,Ocelot,Ocelot.Configuration.Builder,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Configuration.Builder' Ocelot.Configuration' Ocelot.Configuration.Repository' Ocelot.Configuration.Creator,Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator,Ocelot.Configuration.Builder.AuthenticationOptionsBuilder' Ocelot.Configuration.Builder.DownstreamRouteBuilder' Ocelot.Configuration.Builder.RouteBuilder' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller' Ocelot.Configuration.Creator.AggregatesCreator' Ocelot.Configuration.Creator.ClaimsToThingCreator' Ocelot.Configuration.Creator.ConfigurationCreator' Ocelot.Configuration.Creator.FileInternalConfigurationCreator' Ocelot.Configuration.Creator.HeaderFindAndReplaceCreator' Ocelot.Configuration.Creator.IUpstreamTemplatePatternCreator' Ocelot.Configuration.Creator.RouteKeyCreator' Ocelot.Configuration.Creator.RoutesCreator
Cyclic Dependency,Ocelot,Ocelot.Configuration.ChangeTracking,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Configuration.ChangeTracking' Ocelot.Configuration.Repository,Ocelot.Configuration.ChangeTracking.OcelotConfigurationMonitor' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller,Ocelot.Configuration.ChangeTracking.OcelotConfigurationMonitor' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller
Cyclic Dependency,Ocelot,Ocelot.Configuration.ChangeTracking,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Ocelot.Configuration.ChangeTracking' Ocelot.Configuration' Ocelot.Configuration.Repository,Ocelot.Configuration.ChangeTracking.OcelotConfigurationMonitor' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller,Ocelot.Configuration.ChangeTracking.OcelotConfigurationMonitor' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.FileConfigurationController' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.Repository.ConsulFileConfigurationPollerOption' Ocelot.Configuration.Repository.DiskFileConfigurationRepository' Ocelot.Configuration.Repository.FileConfigurationPoller
