Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Ocelot.Authentication.Middleware,AuthenticationMiddleware,1,3,0,0,2,51,5,0,1,0,4,2,Ocelot.Configuration.DownstreamRoute' Ocelot.Logging.IOcelotLoggerFactory' Ocelot.Middleware.OcelotMiddleware' Ocelot.Middleware.UnauthenticatedError,Ocelot.Authentication.Middleware.AuthenticationMiddlewareMiddlewareExtensions' Ocelot.UnitTests.Authentication.AuthenticationMiddlewareTests
Ocelot.Authentication.Middleware,AuthenticationMiddlewareMiddlewareExtensions,0,1,0,0,1,7,1,0,0,-1,1,0,Ocelot.Authentication.Middleware.AuthenticationMiddleware,
Ocelot.Authorization,ClaimsAuthorizer,1,2,0,0,2,79,10,0,1,0,8,2,Ocelot.Authorization.ClaimValueNotAuthorizedError' Ocelot.Authorization.IClaimsAuthorizer' Ocelot.Authorization.UserDoesNotHaveClaimError' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Infrastructure.Claims.Parser.IClaimsParser' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>,Ocelot.UnitTests.Authorization.ClaimsAuthorizerTests' Ocelot.DependencyInjection.OcelotBuilder
Ocelot.Authorization,ClaimValueNotAuthorizedError,0,1,0,0,1,7,1,0,1,-1,2,1,Ocelot.Errors.Error' Ocelot.Errors.OcelotErrorCode,Ocelot.Authorization.ClaimsAuthorizer
Ocelot.Authorization,IClaimsAuthorizer,0,1,0,0,0,8,1,1,0,-1,2,4,Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Responses.Response<T>,Ocelot.Authorization.ClaimsAuthorizer' Ocelot.UnitTests.Authorization.AuthorizationMiddlewareTests' Ocelot.Authorization.Middleware.AuthorizationMiddleware' Ocelot.DependencyInjection.OcelotBuilder
Ocelot.Authorization,IScopesAuthorizer,0,1,0,0,0,4,1,1,0,-1,1,4,Ocelot.Responses.Response<T>,Ocelot.UnitTests.Authorization.AuthorizationMiddlewareTests' Ocelot.Authorization.Middleware.AuthorizationMiddleware' Ocelot.Authorization.ScopesAuthorizer' Ocelot.DependencyInjection.OcelotBuilder
Ocelot.Authorization,ScopeNotAuthorizedError,0,1,0,0,1,7,1,0,1,-1,2,1,Ocelot.Errors.Error' Ocelot.Errors.OcelotErrorCode,Ocelot.Authorization.ScopesAuthorizer
Ocelot.Authorization,ScopesAuthorizer,2,2,0,0,2,29,5,0,1,0,6,2,Ocelot.Authorization.IScopesAuthorizer' Ocelot.Authorization.ScopeNotAuthorizedError' Ocelot.Infrastructure.Claims.Parser.IClaimsParser' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>,Ocelot.UnitTests.Infrastructure.ScopesAuthorizerTests' Ocelot.DependencyInjection.OcelotBuilder
Ocelot.Authorization,UnauthorizedError,0,1,0,0,1,7,1,0,1,-1,2,1,Ocelot.Errors.Error' Ocelot.Errors.OcelotErrorCode,Ocelot.Authorization.Middleware.AuthorizationMiddleware
Ocelot.Authorization,UserDoesNotHaveClaimError,0,1,0,0,1,7,1,0,1,-1,2,1,Ocelot.Errors.Error' Ocelot.Errors.OcelotErrorCode,Ocelot.Authorization.ClaimsAuthorizer
