Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Ocelot.Authentication.Middleware,AuthenticationMiddlewareMiddlewareExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authentication\Middleware\AuthenticationMiddlewareMiddlewareExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.Authorization.Middleware,AuthorizationMiddlewareMiddlewareExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\Middleware\AuthorizationMiddlewareMiddlewareExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.Cache,CacheObject<T>,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Cache\CacheObject.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.Cache.Middleware,OutputCacheMiddlewareExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Cache\Middleware\OutputCacheMiddlewareExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Ocelot.Claims.Middleware,ClaimsBuilderMiddlewareExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Claims\Middleware\ClaimsBuilderMiddlewareExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,Ocelot.Configuration.File,AggregateRouteConfig,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\File\AggregateRouteConfig.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: RouteKey' Parameter' JsonPath
Unnecessary Abstraction,Ocelot.Configuration.File,FileCacheOptions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\File\FileCacheOptions.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TtlSeconds' Region
Unnecessary Abstraction,Ocelot.Configuration.File,FileDynamicRoute,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\File\FileDynamicRoute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ServiceName' RateLimitRule' DownstreamHttpVersion
Unnecessary Abstraction,Ocelot.Configuration.File,FileHostAndPort,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\File\FileHostAndPort.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Host' Port
Unnecessary Abstraction,Ocelot.Configuration.File,FileJwtConfig,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\File\FileJwtConfig.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Authority' Audience
