Implementation smell,Namespace,Class,File,Method,Description
Long Method,Ocelot.DependencyInjection,OcelotBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DependencyInjection\OcelotBuilder.cs,OcelotBuilder,The method has 106 lines of code.
Long Method,Ocelot.Middleware,OcelotPipelineExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Middleware\OcelotPipelineExtensions.cs,BuildOcelotPipeline,The method has 119 lines of code.
Long Method,Ocelot.Multiplexer,MultiplexingMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Multiplexer\MultiplexingMiddleware.cs,Invoke,The method has 134 lines of code.
Complex Method,Ocelot.Authorization,ClaimsAuthorizer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\ClaimsAuthorizer.cs,Authorize,Cyclomatic complexity of the method is 9
Complex Method,Ocelot.Configuration.Creator,UpstreamTemplatePatternCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\UpstreamTemplatePatternCreator.cs,Create,Cyclomatic complexity of the method is 9
Complex Method,Ocelot.DownstreamRouteFinder.UrlMatcher,UrlPathPlaceholderNameAndValueFinder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\DownstreamRouteFinder\UrlMatcher\UrlPathPlaceholderNameAndValueFinder.cs,Find,Cyclomatic complexity of the method is 8
Complex Method,Ocelot.LoadBalancer.LoadBalancers,LeastConnection,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\LoadBalancer\LoadBalancers\LeastConnection.cs,UpdateServices,Cyclomatic complexity of the method is 8
Complex Method,Ocelot.Multiplexer,MultiplexingMiddleware,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Multiplexer\MultiplexingMiddleware.cs,Invoke,Cyclomatic complexity of the method is 11
Complex Method,Ocelot.Multiplexer,SimpleJsonResponseAggregator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Multiplexer\SimpleJsonResponseAggregator.cs,MapAggregateContent,Cyclomatic complexity of the method is 9
Complex Method,Ocelot.Requester,DelegatingHandlerHandlerFactory,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Requester\DelegatingHandlerHandlerFactory.cs,Get,Cyclomatic complexity of the method is 8
Complex Method,Ocelot.Responder,ErrorsToHttpStatusCodeMapper,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Responder\ErrorsToHttpStatusCodeMapper.cs,Map,Cyclomatic complexity of the method is 9
Long Parameter List,Ocelot.Cache,CachedResponse,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Cache\CachedResponse.cs,CachedResponse,The method has 5 parameters. Parameters: statusCode' headers' body' contentHeaders' reasonPhrase
Long Parameter List,Ocelot.Configuration,DownstreamRoute,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\DownstreamRoute.cs,DownstreamRoute,The method has 34 parameters. Parameters: key' upstreamPathTemplate' upstreamHeadersFindAndReplace' downstreamHeadersFindAndReplace' downstreamAddresses' serviceName' serviceNamespace' httpHandlerOptions' useServiceDiscovery' enableEndpointEndpointRateLimiting' qosOptions' downstreamScheme' requestIdKey' isCached' cacheOptions' loadBalancerOptions' rateLimitOptions' routeClaimsRequirement' claimsToQueries' claimsToHeaders' claimsToClaims' claimsToPath' isAuthenticated' isAuthorized' authenticationOptions' downstreamPathTemplate' loadBalancerKey' delegatingHandlers' addHeadersToDownstream' addHeadersToUpstream' dangerousAcceptAnyServerCertificateValidator' securityOptions' downstreamHttpMethod' downstreamHttpVersion
Long Parameter List,Ocelot.Configuration,HttpHandlerOptions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\HttpHandlerOptions.cs,HttpHandlerOptions,The method has 5 parameters. Parameters: allowAutoRedirect' useCookieContainer' useTracing' useProxy' maxConnectionsPerServer
Long Parameter List,Ocelot.Configuration,InternalConfiguration,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\InternalConfiguration.cs,InternalConfiguration,The method has 9 parameters. Parameters: routes' administrationPath' serviceProviderConfiguration' requestId' loadBalancerOptions' downstreamScheme' qoSOptions' httpHandlerOptions' downstreamHttpVersion
Long Parameter List,Ocelot.Configuration,QoSOptions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\QoSOptions.cs,QoSOptions,The method has 5 parameters. Parameters: exceptionsAllowedBeforeBreaking' durationofBreak' timeoutValue' key' timeoutStrategy
Long Parameter List,Ocelot.Configuration,RateLimitOptions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\RateLimitOptions.cs,RateLimitOptions,The method has 8 parameters. Parameters: enableRateLimiting' clientIdHeader' getClientWhitelist' disableRateLimitHeaders' quotaExceededMessage' rateLimitCounterPrefix' rateLimitRule' httpStatusCode
