Namespace,Type,Method,LOC,CC,PC
Ocelot.Authentication.Middleware,AuthenticationMiddleware,AuthenticationMiddleware,3,1,2
Ocelot.Authentication.Middleware,AuthenticationMiddleware,Invoke,33,3,1
Ocelot.Authentication.Middleware,AuthenticationMiddleware,IsAuthenticatedRoute,3,1,1
Ocelot.Authentication.Middleware,AuthenticationMiddlewareMiddlewareExtensions,UseAuthenticationMiddleware,3,1,1
Ocelot.Authorization,ClaimsAuthorizer,ClaimsAuthorizer,3,1,1
Ocelot.Authorization,ClaimsAuthorizer,Authorize,64,9,3
Ocelot.Authorization,ClaimValueNotAuthorizedError,ClaimValueNotAuthorizedError,2,1,1
Ocelot.Authorization,IClaimsAuthorizer,Authorize,0,1,3
Ocelot.Authorization,IScopesAuthorizer,Authorize,0,1,2
Ocelot.Authorization,ScopeNotAuthorizedError,ScopeNotAuthorizedError,2,1,1
Ocelot.Authorization,ScopesAuthorizer,ScopesAuthorizer,3,1,1
Ocelot.Authorization,ScopesAuthorizer,Authorize,19,4,2
Ocelot.Authorization,UnauthorizedError,UnauthorizedError,2,1,1
Ocelot.Authorization,UserDoesNotHaveClaimError,UserDoesNotHaveClaimError,2,1,1
Ocelot.Authorization.Middleware,AuthorizationMiddleware,AuthorizationMiddleware,5,1,4
Ocelot.Authorization.Middleware,AuthorizationMiddleware,Invoke,62,7,1
Ocelot.Authorization.Middleware,AuthorizationMiddleware,IsAuthorized,3,1,1
Ocelot.Authorization.Middleware,AuthorizationMiddleware,IsAuthenticatedRoute,3,1,1
Ocelot.Authorization.Middleware,AuthorizationMiddleware,IsAuthorizedRoute,3,1,1
Ocelot.Authorization.Middleware,AuthorizationMiddleware,IsOptionsHttpMethod,3,1,1
Ocelot.Authorization.Middleware,AuthorizationMiddlewareMiddlewareExtensions,UseAuthorizationMiddleware,3,1,1
Ocelot.Cache,AspMemoryCache<T>,AspMemoryCache,4,1,1
Ocelot.Cache,AspMemoryCache<T>,Add,10,2,4
Ocelot.Cache,AspMemoryCache<T>,Get,8,2,2
Ocelot.Cache,AspMemoryCache<T>,ClearRegion,10,3,1
Ocelot.Cache,AspMemoryCache<T>,AddAndDelete,8,2,4
Ocelot.Cache,AspMemoryCache<T>,SetRegion,14,3,2
Ocelot.Cache,CachedResponse,CachedResponse,7,1,5
Ocelot.Cache,CacheKeyGenerator,GenerateRequestCacheKey,12,2,1
Ocelot.Cache,CacheObject<T>,CacheObject,4,1,2
Ocelot.Cache,ICacheKeyGenerator,GenerateRequestCacheKey,0,1,1
Ocelot.Cache,IOcelotCache,Add,0,1,4
Ocelot.Cache,IOcelotCache,Get,0,1,2
Ocelot.Cache,IOcelotCache,ClearRegion,0,1,1
Ocelot.Cache,IOcelotCache,AddAndDelete,0,1,4
Ocelot.Cache,IRegionCreator,Create,0,1,1
Ocelot.Cache,MD5Helper,GenerateMd5,11,2,1
Ocelot.Cache,MD5Helper,GenerateMd5,4,1,1
Ocelot.Cache,OutputCacheController,OutputCacheController,3,1,1
Ocelot.Cache,OutputCacheController,Delete,4,1,1
Ocelot.Cache,RegionCreator,Create,9,2,1
Ocelot.Cache,Regions,Regions,3,1,1
Ocelot.Cache.Middleware,OutputCacheMiddleware,OutputCacheMiddleware,5,1,4
Ocelot.Cache.Middleware,OutputCacheMiddleware,Invoke,49,4,1
Ocelot.Cache.Middleware,OutputCacheMiddleware,SetHttpResponseMessageThisRequest,3,1,2
Ocelot.Cache.Middleware,OutputCacheMiddleware,CreateHttpResponseMessage,17,3,1
Ocelot.Cache.Middleware,OutputCacheMiddleware,CreateCachedResponse,21,3,1
Ocelot.Cache.Middleware,OutputCacheMiddlewareExtensions,UseOutputCacheMiddleware,3,1,1
Ocelot.Claims,AddClaimsToRequest,AddClaimsToRequest,3,1,1
Ocelot.Claims,AddClaimsToRequest,SetClaimsOnContext,24,4,2
Ocelot.Claims,IAddClaimsToRequest,SetClaimsOnContext,0,1,2
Ocelot.Claims.Middleware,ClaimsBuilderMiddlewareExtensions,UseClaimsToClaimsMiddleware,3,1,1
Ocelot.Claims.Middleware,ClaimsToClaimsMiddleware,ClaimsToClaimsMiddleware,4,1,3
Ocelot.Claims.Middleware,ClaimsToClaimsMiddleware,Invoke,15,3,1
Ocelot.Configuration,AuthenticationOptions,AuthenticationOptions,4,1,2
Ocelot.Configuration,CacheOptions,CacheOptions,4,1,2
Ocelot.Configuration,ClaimToThing,ClaimToThing,6,1,4
Ocelot.Configuration,DownstreamHostAndPort,DownstreamHostAndPort,4,1,2
Ocelot.Configuration,DownstreamRoute,DownstreamRoute,36,1,34
Ocelot.Configuration,FileConfigurationController,FileConfigurationController,5,1,3
Ocelot.Configuration,FileConfigurationController,Get,10,2,0
Ocelot.Configuration,FileConfigurationController,Post,17,2,1
Ocelot.Configuration,HeaderFindAndReplace,HeaderFindAndReplace,6,1,4
Ocelot.Configuration,HttpHandlerOptions,HttpHandlerOptions,7,1,5
Ocelot.Configuration,HttpHandlerOptionsBuilder,WithAllowAutoRedirect,4,1,1
Ocelot.Configuration,HttpHandlerOptionsBuilder,WithUseCookieContainer,4,1,1
Ocelot.Configuration,HttpHandlerOptionsBuilder,WithUseTracing,4,1,1
Ocelot.Configuration,HttpHandlerOptionsBuilder,WithUseProxy,4,1,1
Ocelot.Configuration,HttpHandlerOptionsBuilder,WithUseMaxConnectionPerServer,4,1,1
Ocelot.Configuration,HttpHandlerOptionsBuilder,Build,3,1,0
Ocelot.Configuration,InternalConfiguration,InternalConfiguration,11,1,9
Ocelot.Configuration,LoadBalancerOptions,LoadBalancerOptions,5,1,3
Ocelot.Configuration,LoadBalancerOptionsBuilder,WithType,4,1,1
Ocelot.Configuration,LoadBalancerOptionsBuilder,WithKey,4,1,1
Ocelot.Configuration,LoadBalancerOptionsBuilder,WithExpiryInMs,4,1,1
Ocelot.Configuration,LoadBalancerOptionsBuilder,Build,3,1,0
Ocelot.Configuration,QoSOptions,QoSOptions,7,1,5
Ocelot.Configuration,RateLimitOptions,RateLimitOptions,10,1,8
Ocelot.Configuration,RateLimitRule,RateLimitRule,5,1,3
Ocelot.Configuration,Route,Route,8,1,6
Ocelot.Configuration,RouteOptions,RouteOptions,7,1,5
Ocelot.Configuration,SecurityOptions,SecurityOptions,4,1,2
Ocelot.Configuration,ServiceProviderConfiguration,ServiceProviderConfiguration,10,1,8
Ocelot.Configuration.Builder,AuthenticationOptionsBuilder,WithAllowedScopes,4,1,1
Ocelot.Configuration.Builder,AuthenticationOptionsBuilder,WithAuthenticationProviderKey,4,1,1
Ocelot.Configuration.Builder,AuthenticationOptionsBuilder,Build,3,1,0
Ocelot.Configuration.Builder,DownstreamRouteBuilder,DownstreamRouteBuilder,6,1,0
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithDownstreamAddresses,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithDownStreamHttpMethod,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithLoadBalancerOptions,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithDownstreamScheme,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithDownstreamPathTemplate,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithUpstreamPathTemplate,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithUpstreamHttpMethod,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithIsAuthenticated,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithIsAuthorized,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithRequestIdKey,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithClaimsToHeaders,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithClaimsToClaims,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithRouteClaimsRequirement,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithClaimsToQueries,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithClaimsToDownstreamPath,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithIsCached,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithCacheOptions,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithQosOptions,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithLoadBalancerKey,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithAuthenticationOptions,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithEnableRateLimiting,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithRateLimitOptions,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithHttpHandlerOptions,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithUseServiceDiscovery,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithServiceName,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithServiceNamespace,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithUpstreamHeaderFindAndReplace,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithDownstreamHeaderFindAndReplace,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithKey,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithDelegatingHandlers,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithAddHeadersToDownstream,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithAddHeadersToUpstream,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithDangerousAcceptAnyServerCertificateValidator,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithSecurityOptions,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,WithDownstreamHttpVersion,4,1,1
Ocelot.Configuration.Builder,DownstreamRouteBuilder,Build,37,1,0
Ocelot.Configuration.Builder,QoSOptionsBuilder,WithExceptionsAllowedBeforeBreaking,4,1,1
Ocelot.Configuration.Builder,QoSOptionsBuilder,WithDurationOfBreak,4,1,1
Ocelot.Configuration.Builder,QoSOptionsBuilder,WithTimeoutValue,4,1,1
Ocelot.Configuration.Builder,QoSOptionsBuilder,WithKey,4,1,1
Ocelot.Configuration.Builder,QoSOptionsBuilder,Build,3,1,0
Ocelot.Configuration.Builder,RateLimitOptionsBuilder,WithEnableRateLimiting,4,1,1
Ocelot.Configuration.Builder,RateLimitOptionsBuilder,WithClientIdHeader,4,1,1
Ocelot.Configuration.Builder,RateLimitOptionsBuilder,WithClientWhiteList,4,1,1
Ocelot.Configuration.Builder,RateLimitOptionsBuilder,WithDisableRateLimitHeaders,4,1,1
Ocelot.Configuration.Builder,RateLimitOptionsBuilder,WithQuotaExceededMessage,4,1,1
Ocelot.Configuration.Builder,RateLimitOptionsBuilder,WithRateLimitCounterPrefix,4,1,1
Ocelot.Configuration.Builder,RateLimitOptionsBuilder,WithRateLimitRule,4,1,1
Ocelot.Configuration.Builder,RateLimitOptionsBuilder,WithHttpStatusCode,4,1,1
Ocelot.Configuration.Builder,RateLimitOptionsBuilder,Build,5,1,0
Ocelot.Configuration.Builder,RouteBuilder,RouteBuilder,4,1,0
Ocelot.Configuration.Builder,RouteBuilder,WithDownstreamRoute,4,1,1
Ocelot.Configuration.Builder,RouteBuilder,WithDownstreamRoutes,4,1,1
Ocelot.Configuration.Builder,RouteBuilder,WithUpstreamHost,4,1,1
Ocelot.Configuration.Builder,RouteBuilder,WithUpstreamPathTemplate,4,1,1
Ocelot.Configuration.Builder,RouteBuilder,WithUpstreamHttpMethod,4,1,1
Ocelot.Configuration.Builder,RouteBuilder,WithAggregateRouteConfig,4,1,1
Ocelot.Configuration.Builder,RouteBuilder,WithAggregator,4,1,1
Ocelot.Configuration.Builder,RouteBuilder,Build,10,1,0
Ocelot.Configuration.Builder,RouteOptionsBuilder,WithIsCached,4,1,1
Ocelot.Configuration.Builder,RouteOptionsBuilder,WithIsAuthenticated,4,1,1
Ocelot.Configuration.Builder,RouteOptionsBuilder,WithIsAuthorized,4,1,1
Ocelot.Configuration.Builder,RouteOptionsBuilder,WithRateLimiting,4,1,1
Ocelot.Configuration.Builder,RouteOptionsBuilder,WithUseServiceDiscovery,4,1,1
Ocelot.Configuration.Builder,RouteOptionsBuilder,Build,3,1,0
Ocelot.Configuration.Builder,ServiceProviderConfigurationBuilder,WithScheme,4,1,1
Ocelot.Configuration.Builder,ServiceProviderConfigurationBuilder,WithHost,4,1,1
Ocelot.Configuration.Builder,ServiceProviderConfigurationBuilder,WithPort,4,1,1
Ocelot.Configuration.Builder,ServiceProviderConfigurationBuilder,WithType,4,1,1
Ocelot.Configuration.Builder,ServiceProviderConfigurationBuilder,WithToken,4,1,1
