Testability smell,Namespace,Class,File,Cause
Global State,Ocelot.Authentication.Middleware,AuthenticationMiddlewareMiddlewareExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authentication\Middleware\AuthenticationMiddlewareMiddlewareExtensions.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Excessive Dependency,Ocelot.Authorization,ClaimsAuthorizer,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\ClaimsAuthorizer.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Authorization.ClaimValueNotAuthorizedError' Ocelot.Authorization.IClaimsAuthorizer' Ocelot.Authorization.UserDoesNotHaveClaimError' Ocelot.DownstreamRouteFinder.UrlMatcher.PlaceholderNameAndValue' Ocelot.Infrastructure.Claims.Parser.IClaimsParser' Ocelot.Responses.ErrorResponse<T>' Ocelot.Responses.OkResponse<T>' Ocelot.Responses.Response<T>
Global State,Ocelot.Authorization.Middleware,AuthorizationMiddlewareMiddlewareExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Authorization\Middleware\AuthorizationMiddlewareMiddlewareExtensions.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Global State,Ocelot.Cache,MD5Helper,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Cache\MD5Helper.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Global State,Ocelot.Cache.Middleware,OutputCacheMiddlewareExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Cache\Middleware\OutputCacheMiddlewareExtensions.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Global State,Ocelot.Claims.Middleware,ClaimsBuilderMiddlewareExtensions,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Claims\Middleware\ClaimsBuilderMiddlewareExtensions.cs,The tool detected the smell in this class because the class can be accessed as a `global` state.
Excessive Dependency,Ocelot.Configuration,DownstreamRoute,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\DownstreamRoute.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.AuthenticationOptions' Ocelot.Configuration.CacheOptions' Ocelot.Configuration.ClaimToThing' Ocelot.Configuration.DownstreamHostAndPort' Ocelot.Configuration.HeaderFindAndReplace' Ocelot.Configuration.HttpHandlerOptions' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.QoSOptions' Ocelot.Configuration.RateLimitOptions' Ocelot.Configuration.SecurityOptions' Ocelot.Configuration.Creator.AddHeader' Ocelot.Values.DownstreamPathTemplate' Ocelot.Values.UpstreamPathTemplate
Excessive Dependency,Ocelot.Configuration.Builder,DownstreamRouteBuilder,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Builder\DownstreamReRouteBuilder.cs,The tool detected the smell in this class because the class depends on too many dependencies. The dependencies are: Ocelot.Configuration.AuthenticationOptions' Ocelot.Configuration.CacheOptions' Ocelot.Configuration.ClaimToThing' Ocelot.Configuration.DownstreamHostAndPort' Ocelot.Configuration.DownstreamRoute' Ocelot.Configuration.HeaderFindAndReplace' Ocelot.Configuration.HttpHandlerOptions' Ocelot.Configuration.LoadBalancerOptions' Ocelot.Configuration.QoSOptions' Ocelot.Configuration.RateLimitOptions' Ocelot.Configuration.SecurityOptions' Ocelot.Configuration.Creator.AddHeader' Ocelot.Values.DownstreamPathTemplate' Ocelot.Values.UpstreamPathTemplate
Hard-wired Dependency,Ocelot.Configuration.ChangeTracking,OcelotConfigurationChangeTokenSource,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\ChangeTracking\OcelotConfigurationChangeTokenSource.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.ChangeTracking.OcelotConfigurationChangeToken
Hard-wired Dependency,Ocelot.Configuration.Creator,AggregatesCreator,C:\Users\victo\Downloads\Ocelot-develop\Ocelot-develop\src\Ocelot\Configuration\Creator\AggregatesCreator.cs,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: Ocelot.Configuration.Builder.RouteBuilder
