Namespace,Type,Method,LOC,CC,PC
BackgroundMiddleware,BackgroundService,BackgroundService,3,1,1
BackgroundMiddleware,BackgroundService,ExecuteAsync,0,1,1
BackgroundMiddleware,BackgroundService,StartAsync,15,2,1
BackgroundMiddleware,BackgroundService,StopAsync,19,2,1
BackgroundMiddleware,BackgroundService,Dispose,3,1,0
BackgroundMiddleware,RabbitMQPublisher,RabbitMQPublisher,50,1,2
BackgroundMiddleware,RabbitMQPublisher,Command,10,1,1
BackgroundMiddleware,RabbitMQPublisher,Dispose,4,2,0
BackgroundMiddleware,RabbitMQRequestClient<TRequest;TResponse>,RabbitMQRequestClient,76,1,2
BackgroundMiddleware,RabbitMQRequestClient<TRequest;TResponse>,Request,26,1,1
BackgroundMiddleware,RabbitMQRequestClient<TRequest;TResponse>,Dispose,4,2,0
BackgroundMiddleware,RabbitMQRequestWorker,RabbitMQRequestWorker,85,2,4
BackgroundMiddleware,RabbitMQRequestWorker,ExecuteAsync,7,1,1
BackgroundMiddleware,RabbitMQRequestWorker,Dispose,5,2,0
BackgroundMiddleware,RabbitMQSubscriberWorker,RabbitMQSubscriberWorker,90,2,4
BackgroundMiddleware,RabbitMQSubscriberWorker,ExecuteAsync,6,1,1
BackgroundMiddleware,RabbitMQSubscriberWorker,Dispose,5,2,0
