Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
BuildingAspects.Behaviors,Defaults,0,0,3,0,0,24,0,0,0,-1,0,15,,Tracking.Controllers.Mediator.TrackingRequestHandler' Customer.Controllers.Mediator.CustomerPublisherHandler' Customer.Controllers.Mediator.CustomerRequestHandler' Ping.Controllers.Mediator.PingPublisherHandler' Tracking.Startup' WebComponents.Interceptors.CustomAuthorizer' BuildingAspects.Behaviors.Utilities' Vehicle.Controllers.Mediator.VehicleRequestHandler' Vehicle.Controllers.Mediator.VehiclePublisherHandler' EventSourceingSQLDB.DbModels.DbModel' EventSourceingSQLDB.DbModels.DbModelFactory' EventSourceingSQLDB.Functors.Mappers<T>' WebComponents.Interceptors.CustomResponseResult' WebComponents.WebMiddlewares.CustomResponse' WebComponents.Interceptors.CustomeExceptoinHandler
BuildingAspects.Behaviors,Function,3,3,2,0,2,50,3,0,0,0,67,1,15,DomainModels.Types.IOptional,Customer.Controllers.Mediator.CustomerPublisherHandler' Customer.Controllers.Mediator.CustomerRequestHandler' RedisCacheAdapter.CacheManager' Tracking.Controllers.Mediator.TrackingRequestHandler' Tracking.Program' Ping.Program' Customer.Program' Ping.Controllers.Mediator.PingPublisherHandler' Vehicle.Controllers.Mediator.VehicleRequestHandler' Vehicle.Controllers.Mediator.VehiclePublisherHandler' BackgroundMiddleware.RabbitMQPublisher' Vehicle.Program' BackgroundMiddleware.RabbitMQSubscriberWorker' BackgroundMiddleware.RabbitMQRequestClient<TRequest;TResponse>' BackgroundMiddleware.RabbitMQRequestWorker
BuildingAspects.Behaviors,Logging,0,0,0,0,0,3,0,0,0,-1,0,0,,
BuildingAspects.Behaviors,Resilience,0,2,2,0,2,53,2,0,0,-1,2,0,DomainModels.System.Identifiers' DomainModels.Types.IOptional,
BuildingAspects.Behaviors,Utilities,1,8,0,0,8,96,19,0,0,0,38,1,6,BuildingAspects.Behaviors.Defaults,Tracking.Startup' BackgroundMiddleware.RabbitMQPublisher' BackgroundMiddleware.RabbitMQRequestClient<TRequest;TResponse>' EventSourceingSQLDBTests.PingTest' Customer.Startup' Vehicle.Startup
BuildingAspects.Formatters,Fields,0,7,0,0,7,10,7,0,0,-1,0,0,,
BuildingAspects.Functors,Mappers,0,0,0,0,0,4,0,0,0,-1,0,0,,
BuildingAspects.Functors,Validators,1,0,0,1,0,20,0,0,0,-1,1,2,DomainModels.DataStructure.RabbitMQConfiguration,BackgroundMiddleware.RabbitMQPublisher' BackgroundMiddleware.RabbitMQSubscriberWorker
BuildingAspects.Services,IMessageCommand,0,1,0,0,0,4,1,1,0,-1,0,11,,BackgroundMiddleware.RabbitMQPublisher' Customer.Startup' Customer.Controllers.CustomerController' Customer.Controllers.Mediator.CustomerPublisher' Vehicle.Controllers.VehicleController' Ping.Controllers.Mediator.PingPublisher' Ping.Controllers.PingController' Vehicle.Controllers.Mediator.VehiclePublisher' PingTests.UnitTest.PingTest' Ping.Startup' Vehicle.Startup
BuildingAspects.Services,IMessageRequest,0,1,0,0,0,4,1,1,0,-1,0,10,,BackgroundMiddleware.RabbitMQRequestClient<TRequest;TResponse>' Tracking.Startup' Tracking.Controllers.TrackingController' Customer.Startup' Tracking.Controllers.Mediator.TrackingRequest' Vehicle.Controllers.VehicleController' Customer.Controllers.CustomerController' Vehicle.Controllers.Mediator.VehicleRequest' Customer.Controllers.Mediator.CustomerRequest' Vehicle.Startup
BuildingAspects.Services,IOperationalUnit,0,0,3,0,0,7,0,1,0,-1,0,19,,BuildingAspects.Services.OperationalUnit' WebComponents.Interceptors.CustomResponseResult' WebComponents.Interceptors.CustomAuthorizer' WebComponents.Interceptors.CustomeExceptoinHandler' Tracking.Controllers.Mediator.TrackingRequest' Tracking.Startup' PingTests.UnitTest.PingTest' Customer.Startup' Ping.Controllers.PingController' Tracking.Controllers.TrackingController' Ping.Controllers.Mediator.PingPublisher' Customer.Controllers.Mediator.CustomerPublisher' Customer.Controllers.CustomerController' Ping.Startup' Vehicle.Controllers.VehicleController' Customer.Controllers.Mediator.CustomerRequest' Vehicle.Controllers.Mediator.VehiclePublisher' Vehicle.Controllers.Mediator.VehicleRequest' Vehicle.Startup
BuildingAspects.Services,OperationalUnit,3,1,3,0,1,19,1,0,1,0,1,5,BuildingAspects.Services.IOperationalUnit,Tracking.Startup' Customer.Startup' Ping.Startup' PingTests.UnitTest.PingTest' Vehicle.Startup
BuildingAspects.Utilities,Helper,1,0,0,1,0,16,0,0,0,-1,0,4,,BackgroundMiddleware.RabbitMQRequestClient<TRequest;TResponse>' BackgroundMiddleware.RabbitMQSubscriberWorker' BackgroundMiddleware.RabbitMQRequestWorker' BackgroundMiddleware.RabbitMQPublisher
