Namespace,Type,Method,LOC,CC,PC
BuildingAspects.Behaviors,Function,Function,4,1,2
BuildingAspects.Behaviors,Function,defaultPolicy,25,1,2
BuildingAspects.Behaviors,Function,Decorate,3,1,2
BuildingAspects.Behaviors,Resilience,Result,0,1,0
BuildingAspects.Behaviors,Resilience,Fallback,0,1,1
BuildingAspects.Behaviors,Utilities,ToDictionary,22,1,1
BuildingAspects.Behaviors,Utilities,EqualsByValue,13,4,2
BuildingAspects.Behaviors,Utilities,IsAnonymousType,7,2,1
BuildingAspects.Behaviors,Utilities,ToFlattenDictionary,12,3,3
BuildingAspects.Behaviors,Utilities,JsonBinarySerialize,4,2,1
BuildingAspects.Behaviors,Utilities,JsonBinaryDeserialize,4,2,1
BuildingAspects.Behaviors,Utilities,BinarySerialize,11,2,1
BuildingAspects.Behaviors,Utilities,BinaryDeserialize,9,3,1
BuildingAspects.Formatters,Fields,Vehicle,0,1,1
BuildingAspects.Formatters,Fields,Customer,0,1,1
BuildingAspects.Formatters,Fields,TimeStamp,0,1,1
BuildingAspects.Formatters,Fields,Status,0,1,1
BuildingAspects.Formatters,Fields,Message,0,1,1
BuildingAspects.Formatters,Fields,Brand,0,1,1
BuildingAspects.Formatters,Fields,Model,0,1,1
BuildingAspects.Services,IMessageCommand,Command,0,1,1
BuildingAspects.Services,IMessageRequest,Request,0,1,1
BuildingAspects.Services,OperationalUnit,OperationalUnit,5,1,2
