Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Customer.Controllers,CustomerController,8,4,0,0,4,85,5,0,0,0,5,15,0,Customer.Controllers.Mediator.CustomerPublisher' Customer.Controllers.Mediator.CustomerRequest' Customer.Models.CustomerRequest' Customer.Models.CustomerResponse' Customer.Models.Identifiers' BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IMessageRequest' BuildingAspects.Services.IOperationalUnit' DomainModels.Business.CustomerDomain.CustomerFilterModel' DomainModels.Business.CustomerDomain.CustomerFilter' DomainModels.Business.CustomerDomain.Customer' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.MiddlewareConfiguration' WebComponents.Interceptors.CustomHeader,
Customer.Controllers.Mediator,CustomerPublisher,6,1,6,0,1,31,1,0,0,0,4,2,BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IOperationalUnit' DomainModels.Business.CustomerDomain.Customer' DomainModels.System.MiddlewareConfiguration,Customer.Controllers.Mediator.CustomerPublisherHandler' Customer.Controllers.CustomerController
Customer.Controllers.Mediator,CustomerPublisherHandler,1,2,0,0,2,38,2,0,0,0,10,0,Customer.Controllers.Mediator.CustomerPublisher' BuildingAspects.Behaviors.Defaults' BuildingAspects.Behaviors.Function' DomainModels.Business.CustomerDomain.Customer' DomainModels.System.Identifiers' DomainModels.Types.DomainModel<Model>' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint,
Customer.Controllers.Mediator,CustomerRequest,7,1,7,0,1,35,1,0,0,0,8,2,BuildingAspects.Services.IMessageRequest' BuildingAspects.Services.IOperationalUnit' DomainModels.Business.CustomerDomain.CustomerFilterModel' DomainModels.Business.CustomerDomain.CustomerFilter' DomainModels.Business.CustomerDomain.Customer' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.MiddlewareConfiguration,Customer.Controllers.Mediator.CustomerRequestHandler' Customer.Controllers.CustomerController
Customer.Controllers.Mediator,CustomerRequestHandler,1,2,0,0,2,70,2,0,0,0,13,0,Customer.Controllers.Mediator.CustomerRequest' BuildingAspects.Behaviors.Defaults' BuildingAspects.Behaviors.Function' DomainModels.Business.CustomerDomain.CustomerFilterModel' DomainModels.Business.CustomerDomain.Customer' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.VehicleFilter' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.Identifiers' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint,
Customer.Models,CustomerRequest,0,0,5,0,0,12,0,0,0,-1,0,1,,Customer.Controllers.CustomerController
Customer.Models,CustomerResponse,0,1,8,0,1,23,1,0,0,-1,2,1,Customer.Models.VehicleResponse' DomainModels.Business.CustomerDomain.Customer,Customer.Controllers.CustomerController
Customer.Models,Identifiers,3,0,0,0,0,6,0,0,0,-1,0,1,,Customer.Controllers.CustomerController
Customer.Models,VehicleResponse,0,1,7,0,1,21,1,0,0,-1,1,1,DomainModels.Business.VehicleDomain.Vehicle,Customer.Models.CustomerResponse
Customer,Program,0,2,0,0,2,52,2,0,0,-1,3,0,Customer.Startup' BuildingAspects.Behaviors.Function' DomainModels.System.Identifiers,
Customer,Startup,4,3,4,0,3,277,4,0,0,0,67,25,1,BuildingAspects.Behaviors.Utilities' BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IMessageRequest' BuildingAspects.Services.IOperationalUnit' BuildingAspects.Services.OperationalUnit' BackgroundMiddleware.RabbitMQPublisher' BackgroundMiddleware.RabbitMQRequestClient<TRequest;TResponse>' BackgroundMiddleware.RabbitMQRequestWorker' BackgroundMiddleware.RabbitMQSubscriberWorker' DomainModels.Business.CustomerDomain.CustomerFilterModel' DomainModels.Business.CustomerDomain.CustomerModel' DomainModels.Business.CustomerDomain.Customer' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.DataStructure.RabbitMQConfiguration' DomainModels.System.Identifiers' DomainModels.System.MiddlewareConfiguration' DomainModels.System.ServiceConfiguration' WebComponents.Interceptors.CustomAuthorizer' WebComponents.Interceptors.CustomeExceptoinHandler' WebComponents.Interceptors.CustomResponseResult' RedisCacheAdapter.CacheManager' CustomerSQLDB.CustomerManager' CustomerSQLDB.DbModels.Customer' CustomerSQLDB.DbModels.CustomerDbContext,Customer.Program
