Implementation smell,Namespace,Class,File,Method,Description
Long Method,Customer,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Startup.cs,ConfigureServices,The method has 202 lines of code.
Long Parameter List,Customer.Controllers,CustomerController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Controllers\CustomerController.cs,CustomerController,The method has 7 parameters. Parameters: logger' mediator' messagePublisher' messageRequest' vehicleMessageRequest' operationalUnit' middlewareConfiguration
Long Parameter List,Customer.Controllers.Mediator,CustomerPublisher,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Controllers\Mediator\CustomerPublisher.cs,CustomerPublisher,The method has 6 parameters. Parameters: controller' model' publisher' middlewareConfiguration' correlationId' operationalUnit
Long Parameter List,Customer.Controllers.Mediator,CustomerRequest,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Controllers\Mediator\CustomerRequest.cs,CustomerRequest,The method has 7 parameters. Parameters: controller' model' request' vehicleMessageRequest' middlewareConfiguration' correlationId' operationalUnit
Long Statement,Customer.Controllers.Mediator,CustomerPublisherHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Controllers\Mediator\CustomerPublisherHandler.cs,Handle,The length of the statement  "            notification.Controller.HttpContext.Request.Headers.Add(Identifiers.CorrelationId' new StringValues(notification.CorrelationId.ToString()));" is 140.
Long Statement,Customer.Controllers.Mediator,CustomerRequestHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Controllers\Mediator\CustomerRequestHandler.cs,Handle,The length of the statement  "            request.Controller.HttpContext.Request.Headers.Add(DomainModels.Types.Identifiers.CorrelationId' new StringValues(request.CorrelationId.ToString()));" is 149.
Long Statement,Customer.Controllers.Mediator,CustomerRequestHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Controllers\Mediator\CustomerRequestHandler.cs,Handle,The length of the statement  "                    //in case of data related data cached' or lookup joining' you may get and link data from previous data processed and cached." is 124.
Long Statement,Customer.Controllers.Mediator,CustomerRequestHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Controllers\Mediator\CustomerRequestHandler.cs,Handle,The length of the statement  "                    //in case of the other request does not require data from th other (independent calls)' you should call them in separate tasks and wait to consolidate the results." is 163.
Long Statement,Customer,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Startup.cs,ConfigureServices,The length of the statement  "            //add application insights information' could be used to monitor the performance' and more analytics when application moved to the cloud." is 137.
Long Statement,Customer,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Customer\Startup.cs,ConfigureServices,The length of the statement  "                            Logger.LogInformation($"[x] Customer service receiving a message from exchange: {_systemLocalConfiguration.MiddlewareExchange}' route :{_systemLocalConfiguration.MessageSubscriberRoute}");" is 188.
