Namespace,Type,Method,LOC,CC,PC
Customer.Controllers,CustomerController,CustomerController,10,1,7
Customer.Controllers,CustomerController,Get,3,1,2
Customer.Controllers,CustomerController,Post,21,2,2
Customer.Controllers,CustomerController,Get,18,1,1
Customer.Controllers.Mediator,CustomerPublisher,CustomerPublisher,8,1,6
Customer.Controllers.Mediator,CustomerPublisherHandler,CustomerPublisherHandler,3,1,1
Customer.Controllers.Mediator,CustomerPublisherHandler,Handle,28,1,2
Customer.Controllers.Mediator,CustomerRequest,CustomerRequest,9,1,7
Customer.Controllers.Mediator,CustomerRequestHandler,CustomerRequestHandler,3,1,1
Customer.Controllers.Mediator,CustomerRequestHandler,Handle,61,1,2
Customer.Models,CustomerResponse,CustomerResponse,10,1,1
Customer.Models,VehicleResponse,VehicleResponse,9,1,1
Customer,Program,Main,43,1,1
Customer,Program,BuildWebHost,0,1,1
Customer,Startup,Startup,27,1,3
Customer,Startup,ConfigureServices,202,1,1
Customer,Startup,Configure,27,2,3
