Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
DomainModels.Business.CustomerDomain,CustomerFilterModel,0,2,0,0,2,11,2,0,0,-1,2,4,DomainModels.Business.CustomerDomain.CustomerFilter' DomainModels.Types.DomainModel<Model>,Customer.Controllers.CustomerController' Customer.Controllers.Mediator.CustomerRequest' Customer.Startup' Customer.Controllers.Mediator.CustomerRequestHandler
DomainModels.Business.CustomerDomain,CustomerFilter,0,0,1,0,0,5,0,0,0,-1,0,3,,DomainModels.Business.CustomerDomain.CustomerFilterModel' Customer.Controllers.Mediator.CustomerRequest' Customer.Controllers.CustomerController
DomainModels.Business.CustomerDomain,CustomerModel,0,2,0,0,2,11,2,0,0,-1,2,1,DomainModels.Business.CustomerDomain.Customer' DomainModels.Types.DomainModel<Model>,Customer.Startup
DomainModels.Business.CustomerDomain,Customer,0,0,8,0,0,12,0,0,0,-1,1,11,DomainModels.Business.VehicleDomain.Vehicle,CustomerSQLDB.DbModels.Customer' DomainModels.Business.CustomerDomain.CustomerModel' Customer.Models.CustomerResponse' Tracking.Startup' Customer.Controllers.Mediator.CustomerRequestHandler' Customer.Controllers.Mediator.CustomerRequest' Customer.Controllers.CustomerController' Customer.Startup' Customer.Controllers.Mediator.CustomerPublisherHandler' Customer.Controllers.Mediator.CustomerPublisher' Vehicle.Startup
DomainModels.Business.PingDomain,PingModel,0,2,0,0,2,11,2,0,0,-1,2,3,DomainModels.Business.PingDomain.Ping' DomainModels.Types.DomainModel<Model>,Tracking.Startup' EventSourceingSQLDBTests.PingTest' EventSourceingSQLDB.Adapters.PingEventSourcingLedgerAdapter
DomainModels.Business.PingDomain,Ping,0,0,3,0,0,7,0,0,0,-1,1,6,DomainModels.Business.StatusModel,DomainModels.Business.PingDomain.PingModel' EventSourceingSQLDB.Adapters.PingEventSourcingLedgerAdapter' Ping.Controllers.Mediator.PingPublisher' Ping.Controllers.Mediator.PingPublisherHandler' EventSourceingSQLDBTests.PingTest' Ping.Controllers.PingController
DomainModels.Business,StatusModel,0,0,0,0,0,10,0,0,0,-1,0,6,,TrackingSQLDB.DbModels.Tracking' Tracking.Startup' DomainModels.Business.TrackingDomain.Tracking' DomainModels.Business.PingDomain.Ping' Tracking.Models.TrackingResponse' Ping.Helper.Mappers
DomainModels.Business.TrackingDomain,TrackingFilterModel,0,2,0,0,2,11,2,0,0,-1,2,4,DomainModels.Business.TrackingDomain.TrackingFilter' DomainModels.Types.DomainModel<Model>,Tracking.Controllers.TrackingController' Tracking.Controllers.Mediator.TrackingRequest' Tracking.Startup' Tracking.Controllers.Mediator.TrackingRequestHandler
DomainModels.Business.TrackingDomain,TrackingFilter,0,0,4,0,0,8,0,0,1,-1,1,3,DomainModels.System.IFilter,DomainModels.Business.TrackingDomain.TrackingFilterModel' Tracking.Controllers.Mediator.TrackingRequest' Tracking.Controllers.TrackingController
DomainModels.Business.TrackingDomain,TrackingModel,0,2,0,0,2,11,2,0,0,-1,2,2,DomainModels.Business.TrackingDomain.Tracking' DomainModels.Types.DomainModel<Model>,Tracking.Controllers.Mediator.TrackingRequestHandler' EventSourceingSQLDB.Adapters.TrackingEventSourcingLedgerAdapter
