Namespace,Type,Method,LOC,CC,PC
DomainModels.Business.CustomerDomain,CustomerFilterModel,CustomerFilterModel,1,1,0
DomainModels.Business.CustomerDomain,CustomerFilterModel,CustomerFilterModel,5,1,1
DomainModels.Business.CustomerDomain,CustomerModel,CustomerModel,1,1,0
DomainModels.Business.CustomerDomain,CustomerModel,CustomerModel,5,1,1
DomainModels.Business.PingDomain,PingModel,PingModel,1,1,0
DomainModels.Business.PingDomain,PingModel,PingModel,5,1,1
DomainModels.Business.TrackingDomain,TrackingFilterModel,TrackingFilterModel,1,1,0
DomainModels.Business.TrackingDomain,TrackingFilterModel,TrackingFilterModel,5,1,1
DomainModels.Business.TrackingDomain,TrackingModel,TrackingModel,1,1,0
DomainModels.Business.TrackingDomain,TrackingModel,TrackingModel,5,1,1
DomainModels.Business.VehicleDomain,VehicleFilterModel,VehicleFilterModel,1,1,0
DomainModels.Business.VehicleDomain,VehicleFilterModel,VehicleFilterModel,5,1,1
DomainModels.Business.VehicleDomain,VehicleModel,VehicleModel,1,1,0
DomainModels.Business.VehicleDomain,VehicleModel,VehicleModel,5,1,1
DomainModels.System,MiddlewareConfiguration,Create,0,1,1
DomainModels.System,ServiceConfiguration,Create,14,2,1
DomainModels.Types.Exceptions,CustomException,CustomException,3,1,1
DomainModels.Types.Exceptions,CustomException,CustomException,3,1,1
DomainModels.Types.Exceptions,ExceptionCodeAttribute,ExceptionCodeAttribute,5,1,3
DomainModels.Types.Exceptions,ExceptionCodesHelper,Translate,12,1,1
DomainModels.Types.Messages,MessageHeader,MessageHeader,6,1,4
