Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
EventSourceingSQLDB.Adapters,PingEventSourcingLedgerAdapter,2,5,1,0,5,47,5,0,1,0,4,11,1,DomainModels.Business.PingDomain.PingModel' DomainModels.Business.PingDomain.Ping' DomainModels.System.Identifiers' DomainModels.System.IFilter' EventSourceingSQLDB.DbModels.DbModel' EventSourceingSQLDB.DbModels.DbModelFactory' EventSourceingSQLDB.DbModels.EventSourcingDbContext' EventSourceingSQLDB.Repository.EventSourcingLedger' EventSourceingSQLDB.Repository.ICommandEventSourcingLedger' EventSourceingSQLDB.Repository.IQueryEventSourcingLedger' EventSourceingSQLDB.Repository.IServiceFilter,EventSourceingSQLDBTests.PingTest
EventSourceingSQLDB.Adapters,TrackingEventSourcingLedgerAdapter,2,4,1,0,4,40,4,0,1,0,5,9,0,DomainModels.Business.TrackingDomain.TrackingModel' DomainModels.Business.TrackingDomain.Tracking' DomainModels.System.Identifiers' DomainModels.System.IFilter' EventSourceingSQLDB.DbModels.DbModel' EventSourceingSQLDB.DbModels.DbModelFactory' EventSourceingSQLDB.DbModels.EventSourcingDbContext' EventSourceingSQLDB.Repository.EventSourcingLedger' EventSourceingSQLDB.Repository.IQueryEventSourcingLedger,
EventSourceingSQLDB.DbModels,DbModel,0,2,13,0,2,59,2,1,0,-1,2,6,BuildingAspects.Behaviors.Defaults' DomainModels.System.Identifiers,EventSourceingSQLDB.Adapters.PingEventSourcingLedgerAdapter' EventSourceingSQLDB.DbModels.EventSourcing' EventSourceingSQLDB.Functors.Mappers<T>' EventSourceingSQLDB.Adapters.TrackingEventSourcingLedgerAdapter' EventSourceingSQLDB.DbModels.DbModelFactory' EventSourceingSQLDB.Repository.EventSourcingLedger
EventSourceingSQLDB.DbModels,DbModelFactory,0,3,0,0,3,41,3,0,0,-1,5,4,BuildingAspects.Behaviors.Defaults' DomainModels.Types.DomainModel<Model>' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' EventSourceingSQLDB.DbModels.DbModel,EventSourceingSQLDB.Functors.Mappers<T>' EventSourceingSQLDB.Adapters.PingEventSourcingLedgerAdapter' EventSourceingSQLDB.Adapters.TrackingEventSourcingLedgerAdapter' EventSourcingMiddleware.Startup
EventSourceingSQLDB.DbModels,EventSourcing,0,2,0,0,2,5,2,0,1,-1,1,3,EventSourceingSQLDB.DbModels.DbModel,EventSourceingSQLDB.DbModels.EventSourcingDbContext' EventSourceingSQLDBTests.PingTest' EventSourceingSQLDB.Repository.EventSourcingLedger
EventSourceingSQLDB.DbModels,EventSourcingDbContext,0,1,1,0,1,6,1,0,0,-1,1,6,EventSourceingSQLDB.DbModels.EventSourcing,EventSourceingSQLDB.Adapters.PingEventSourcingLedgerAdapter' EventSourceingSQLDB.Adapters.TrackingEventSourcingLedgerAdapter' EventSourceingSQLDB.Repository.EventSourcingLedger' EventSourceingSQLDB.Repository.BaseEventSourcingLedger' EventSourceingSQLDBTests.PingTest' EventSourcingMiddleware.Startup
EventSourceingSQLDB.Functors,Mappers<T>,4,0,0,4,0,48,0,0,0,-1,7,1,BuildingAspects.Behaviors.Defaults' DomainModels.Types.DomainModel<Model>' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' EventSourceingSQLDB.DbModels.DbModel' EventSourceingSQLDB.DbModels.DbModelFactory' EventSourceingSQLDB.Functors.Validators<T>,EventSourceingSQLDBTests.PingTest
EventSourceingSQLDB.Functors,Validators<T>,1,0,0,1,0,8,0,0,0,-1,0,1,,EventSourceingSQLDB.Functors.Mappers<T>
EventSourceingSQLDB.Repository,BaseEventSourcingLedger,2,1,2,0,1,12,1,1,0,0,1,1,EventSourceingSQLDB.DbModels.EventSourcingDbContext,EventSourceingSQLDB.Repository.EventSourcingLedger
EventSourceingSQLDB.Repository,EventSourcingLedger,1,5,0,0,5,79,7,0,1,0,6,8,3,DomainModels.System.Identifiers' DomainModels.System.IFilter' EventSourceingSQLDB.DbModels.DbModel' EventSourceingSQLDB.DbModels.EventSourcing' EventSourceingSQLDB.DbModels.EventSourcingDbContext' EventSourceingSQLDB.Repository.BaseEventSourcingLedger' EventSourceingSQLDB.Repository.ICommandEventSourcingLedger' EventSourceingSQLDB.Repository.IQueryEventSourcingLedger,EventSourceingSQLDB.Adapters.TrackingEventSourcingLedgerAdapter' EventSourceingSQLDB.Adapters.PingEventSourcingLedgerAdapter' EventSourcingMiddleware.Startup
EventSourceingSQLDB.Repository,ICommandEventSourcingLedger,0,1,0,0,0,5,1,2,0,-1,0,3,,EventSourceingSQLDB.Adapters.PingEventSourcingLedgerAdapter' EventSourceingSQLDBTests.PingTest' EventSourceingSQLDB.Repository.EventSourcingLedger
EventSourceingSQLDB.Repository,IQueryEventSourcingLedger,0,3,0,0,0,7,3,3,0,-1,1,4,DomainModels.System.IFilter,EventSourceingSQLDBTests.PingTest' EventSourceingSQLDB.Adapters.TrackingEventSourcingLedgerAdapter' EventSourceingSQLDB.Adapters.PingEventSourcingLedgerAdapter' EventSourceingSQLDB.Repository.EventSourcingLedger
EventSourceingSQLDB.Repository,IServiceFilter,0,0,1,0,0,4,0,1,0,-1,0,1,,EventSourceingSQLDB.Adapters.PingEventSourcingLedgerAdapter
