Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,EventSourceingSQLDB.Functors,Mappers<T>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Functors\Mappers.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' PredicateMapper' FromPingModelToEnity' FromEnityToPingModel' FromEnityToPingDomainModel
Unnecessary Abstraction,EventSourceingSQLDB.Functors,Validators<T>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Functors\Validators.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' EnshureModel
Unnecessary Abstraction,EventSourceingSQLDB.Repository,IServiceFilter,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Repository\IEventSourcingLedger.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Sender
Deficient Encapsulation,EventSourceingSQLDB.Functors,Mappers<T>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Functors\Mappers.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PredicateMapper' FromPingModelToEnity' FromEnityToPingModel' FromEnityToPingDomainModel
Deficient Encapsulation,EventSourceingSQLDB.Functors,Mappers<T>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Functors\Mappers.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: PredicateMapper' FromPingModelToEnity' FromEnityToPingModel' FromEnityToPingDomainModel
Deficient Encapsulation,EventSourceingSQLDB.Functors,Validators<T>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Functors\Validators.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EnshureModel
Deficient Encapsulation,EventSourceingSQLDB.Functors,Validators<T>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Functors\Validators.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: EnshureModel
Rebellious Hierarchy,EventSourceingSQLDB.Adapters,PingEventSourcingLedgerAdapter,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Adapters\PingEventSourcingLedgerAdapter.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: Query
Rebellious Hierarchy,EventSourceingSQLDB.Adapters,TrackingEventSourcingLedgerAdapter,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Adapters\TrackingEventSourcingLedgerAdapter.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: Query
Rebellious Hierarchy,EventSourceingSQLDB.Repository,EventSourcingLedger,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\EventSourcing\EventSourceingSqlDb\Repository\EventSourcingLedger.cs,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: Query
