Namespace,Type,Method,LOC,CC,PC
EventSourceingSQLDB.Adapters,PingEventSourcingLedgerAdapter,PingEventSourcingLedgerAdapter,3,1,2
EventSourceingSQLDB.Adapters,PingEventSourcingLedgerAdapter,Add,5,1,1
EventSourceingSQLDB.Adapters,PingEventSourcingLedgerAdapter,Query,5,1,1
EventSourceingSQLDB.Adapters,PingEventSourcingLedgerAdapter,Query,5,1,2
EventSourceingSQLDB.Adapters,PingEventSourcingLedgerAdapter,Query,3,1,2
EventSourceingSQLDB.Adapters,TrackingEventSourcingLedgerAdapter,TrackingEventSourcingLedgerAdapter,3,1,2
EventSourceingSQLDB.Adapters,TrackingEventSourcingLedgerAdapter,Query,5,1,1
EventSourceingSQLDB.Adapters,TrackingEventSourcingLedgerAdapter,Query,5,1,2
EventSourceingSQLDB.Adapters,TrackingEventSourcingLedgerAdapter,Query,3,1,2
EventSourceingSQLDB.DbModels,DbModel,DbModel,1,1,0
EventSourceingSQLDB.DbModels,DbModel,DbModel,14,1,1
EventSourceingSQLDB.DbModels,DbModelFactory,Create,17,1,3
EventSourceingSQLDB.DbModels,DbModelFactory,Create,3,1,1
EventSourceingSQLDB.DbModels,DbModelFactory,Convert,14,1,1
EventSourceingSQLDB.DbModels,EventSourcing,EventSourcing,1,1,0
EventSourceingSQLDB.DbModels,EventSourcing,EventSourcing,1,1,1
EventSourceingSQLDB.DbModels,EventSourcingDbContext,EventSourcingDbContext,1,1,1
EventSourceingSQLDB.Repository,BaseEventSourcingLedger,BaseEventSourcingLedger,4,1,2
EventSourceingSQLDB.Repository,EventSourcingLedger,EventSourcingLedger,3,1,3
EventSourceingSQLDB.Repository,EventSourcingLedger,Add,4,1,1
EventSourceingSQLDB.Repository,EventSourcingLedger,Query,16,2,1
EventSourceingSQLDB.Repository,EventSourcingLedger,Query,22,2,2
EventSourceingSQLDB.Repository,EventSourcingLedger,Query,3,1,2
EventSourceingSQLDB.Repository,ICommandEventSourcingLedger,Add,0,1,1
EventSourceingSQLDB.Repository,IQueryEventSourcingLedger,Query,0,1,1
EventSourceingSQLDB.Repository,IQueryEventSourcingLedger,Query,0,1,2
EventSourceingSQLDB.Repository,IQueryEventSourcingLedger,Query,0,1,2
