Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Ping.Contracts,IPing,0,1,0,0,0,4,1,1,0,-1,1,2,Ping.Models.PingRequest,PingTests.UnitTest.PingTest' Ping.Controllers.PingController
Ping.Controllers.Mediator,PingPublisher,6,1,6,0,1,30,1,0,0,0,4,2,BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IOperationalUnit' DomainModels.Business.PingDomain.Ping' DomainModels.System.MiddlewareConfiguration,Ping.Controllers.Mediator.PingPublisherHandler' Ping.Controllers.PingController
Ping.Controllers.Mediator,PingPublisherHandler,1,2,0,0,2,39,2,0,0,0,10,0,Ping.Controllers.Mediator.PingPublisher' BuildingAspects.Behaviors.Defaults' BuildingAspects.Behaviors.Function' DomainModels.Business.PingDomain.Ping' DomainModels.System.Identifiers' DomainModels.Types.DomainModel<Model>' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint,
Ping.Controllers,PingController,6,3,0,0,3,53,3,0,1,0,67,10,1,Ping.Contracts.IPing' Ping.Controllers.Mediator.PingPublisher' Ping.Helper.Mappers' Ping.Models.Identifiers' Ping.Models.PingRequest' BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IOperationalUnit' DomainModels.Business.PingDomain.Ping' DomainModels.System.MiddlewareConfiguration' WebComponents.Interceptors.CustomHeader,PingTests.UnitTest.PingTest
Ping.Helper,Mappers,1,0,0,1,0,21,0,0,0,-1,2,1,Ping.Models.VehicleStatus' DomainModels.Business.StatusModel,Ping.Controllers.PingController
Ping.Models,Identifiers,3,0,0,3,0,6,0,0,0,-1,0,1,,Ping.Controllers.PingController
Ping.Models,PingRequest,0,0,2,0,0,6,0,0,0,-1,1,3,Ping.Models.VehicleStatus,Ping.Controllers.PingController' Ping.Contracts.IPing' PingTests.UnitTest.PingTest
Ping.Models,VehicleStatus,0,0,0,0,0,9,0,0,0,-1,0,3,,Ping.Models.PingRequest' PingTests.UnitTest.PingTest' Ping.Helper.Mappers
Ping,Program,0,2,0,0,2,52,2,0,0,-1,3,0,Ping.Startup' BuildingAspects.Behaviors.Function' DomainModels.System.Identifiers,
Ping,Startup,4,3,4,0,3,140,4,0,0,0,67,11,2,BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IOperationalUnit' BuildingAspects.Services.OperationalUnit' BackgroundMiddleware.RabbitMQPublisher' DomainModels.DataStructure.RabbitMQConfiguration' DomainModels.System.Identifiers' DomainModels.System.MiddlewareConfiguration' DomainModels.System.ServiceConfiguration' WebComponents.Interceptors.CustomAuthorizer' WebComponents.Interceptors.CustomeExceptoinHandler' WebComponents.Interceptors.CustomResponseResult,PingTests.IntegrationTest.PingTest' Ping.Program
