Namespace,Type,Method,LOC,CC,PC
Ping.Contracts,IPing,Post,0,1,3
Ping.Controllers.Mediator,PingPublisher,PingPublisher,8,1,6
Ping.Controllers.Mediator,PingPublisherHandler,PingPublisherHandler,3,1,1
Ping.Controllers.Mediator,PingPublisherHandler,Handle,29,1,2
Ping.Controllers,PingController,PingController,8,1,5
Ping.Controllers,PingController,Get,3,1,2
Ping.Controllers,PingController,Post,15,1,3
Ping,Program,Main,43,1,1
Ping,Program,BuildWebHost,0,1,1
Ping,Startup,Startup,26,1,3
Ping,Startup,ConfigureServices,72,1,1
Ping,Startup,Configure,22,2,3
