Namespace,Type,Method,LOC,CC,PC
RedisCacheAdapter,CacheManager,CacheManager,5,1,2
RedisCacheAdapter,CacheManager,CacheDB,0,1,1
RedisCacheAdapter,CacheManager,Subscribe,6,1,2
RedisCacheAdapter,CacheManager,Publish,3,1,2
RedisCacheAdapter,CacheManager,GetBinary,3,1,2
RedisCacheAdapter,CacheManager,SetBinary,3,1,4
RedisCacheAdapter,CacheManager,Get,3,1,2
RedisCacheAdapter,CacheManager,Set,3,1,4
RedisCacheAdapter,CacheManager,GetMembers,3,1,2
RedisCacheAdapter,CacheManager,SetMembers,3,1,3
RedisCacheAdapter,CacheManager,GetHash,3,1,2
RedisCacheAdapter,CacheManager,SetHash,4,1,3
RedisCacheAdapter,CacheManager,Dispose,7,2,0
RedisCacheAdapter,ICacheProvider,Subscribe,0,1,2
RedisCacheAdapter,ICacheProvider,Publish,0,1,2
RedisCacheAdapter,ICacheProvider,GetBinary,0,1,2
RedisCacheAdapter,ICacheProvider,SetBinary,0,1,4
RedisCacheAdapter,ICacheProvider,Get,0,1,2
RedisCacheAdapter,ICacheProvider,Set,0,1,4
RedisCacheAdapter,ICacheProvider,GetMembers,0,1,2
RedisCacheAdapter,ICacheProvider,SetMembers,0,1,3
RedisCacheAdapter,ICacheProvider,GetHash,0,1,2
RedisCacheAdapter,ICacheProvider,SetHash,0,1,3
