Namespace,Type,Method,LOC,CC,PC
TrackingSQLDB.DbModels,Tracking,Tracking,2,1,0
TrackingSQLDB.DbModels,Tracking,Tracking,10,1,1
TrackingSQLDB.DbModels,TrackingDbContext,TrackingDbContext,1,1,1
TrackingSQLDB,ICommandTrackingDB,Add,0,1,1
TrackingSQLDB,IQueryTrackingDB,Query,0,1,1
TrackingSQLDB,IQueryTrackingDB,Query,0,1,2
TrackingSQLDB,TrackingManager,TrackingManager,2,1,0
TrackingSQLDB,TrackingManager,TrackingManager,4,1,2
TrackingSQLDB,TrackingManager,Add,4,1,1
TrackingSQLDB,TrackingManager,Query,8,1,1
TrackingSQLDB,TrackingManager,Query,19,2,2
