Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Vehicle.Controllers.Mediator,VehiclePublisher,6,1,6,0,1,30,1,0,0,0,4,2,BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IOperationalUnit' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.MiddlewareConfiguration,Vehicle.Controllers.Mediator.VehiclePublisherHandler' Vehicle.Controllers.VehicleController
Vehicle.Controllers.Mediator,VehiclePublisherHandler,1,2,0,0,2,39,2,0,0,0,10,0,Vehicle.Controllers.Mediator.VehiclePublisher' BuildingAspects.Behaviors.Defaults' BuildingAspects.Behaviors.Function' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.Identifiers' DomainModels.Types.DomainModel<Model>' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint,
Vehicle.Controllers.Mediator,VehicleRequest,6,1,6,0,1,31,1,0,0,0,6,2,BuildingAspects.Services.IMessageRequest' BuildingAspects.Services.IOperationalUnit' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.VehicleFilter' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.MiddlewareConfiguration,Vehicle.Controllers.Mediator.VehicleRequestHandler' Vehicle.Controllers.VehicleController
Vehicle.Controllers.Mediator,VehicleRequestHandler,1,2,0,0,2,38,2,0,0,0,10,0,Vehicle.Controllers.Mediator.VehicleRequest' BuildingAspects.Behaviors.Defaults' BuildingAspects.Behaviors.Function' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.Identifiers' DomainModels.Types.Identifiers' DomainModels.Types.Messages.MessageFooter' DomainModels.Types.Messages.MessageHeader' DomainModels.Types.Messages.ResponseHint,
Vehicle.Controllers,VehicleController,7,4,0,0,4,85,5,0,0,0,5,13,0,Vehicle.Controllers.Mediator.VehiclePublisher' Vehicle.Controllers.Mediator.VehicleRequest' Vehicle.Models.Identifiers' Vehicle.Models.VehicleRequest' Vehicle.Models.VehicleResponse' BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IMessageRequest' BuildingAspects.Services.IOperationalUnit' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.VehicleFilter' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.System.MiddlewareConfiguration' WebComponents.Interceptors.CustomHeader,
Vehicle.Models,Identifiers,3,0,0,3,0,6,0,0,0,-1,0,1,,Vehicle.Controllers.VehicleController
Vehicle.Models,VehicleRequest,0,0,6,0,0,17,0,0,0,-1,0,1,,Vehicle.Controllers.VehicleController
Vehicle.Models,VehicleResponse,0,1,7,0,1,21,1,0,0,-1,1,1,DomainModels.Business.VehicleDomain.Vehicle,Vehicle.Controllers.VehicleController
Vehicle,Program,0,2,0,0,2,52,2,0,0,-1,3,0,Vehicle.Startup' BuildingAspects.Behaviors.Function' DomainModels.System.Identifiers,
Vehicle,Startup,4,3,4,0,3,261,4,0,0,0,67,24,1,BuildingAspects.Behaviors.Utilities' BuildingAspects.Services.IMessageCommand' BuildingAspects.Services.IMessageRequest' BuildingAspects.Services.IOperationalUnit' BuildingAspects.Services.OperationalUnit' BackgroundMiddleware.RabbitMQPublisher' BackgroundMiddleware.RabbitMQRequestClient<TRequest;TResponse>' BackgroundMiddleware.RabbitMQRequestWorker' BackgroundMiddleware.RabbitMQSubscriberWorker' DomainModels.Business.CustomerDomain.Customer' DomainModels.Business.VehicleDomain.VehicleFilterModel' DomainModels.Business.VehicleDomain.VehicleModel' DomainModels.Business.VehicleDomain.Vehicle' DomainModels.DataStructure.RabbitMQConfiguration' DomainModels.System.Identifiers' DomainModels.System.MiddlewareConfiguration' DomainModels.System.ServiceConfiguration' WebComponents.Interceptors.CustomAuthorizer' WebComponents.Interceptors.CustomeExceptoinHandler' WebComponents.Interceptors.CustomResponseResult' RedisCacheAdapter.CacheManager' VehicleSQLDB.DbModels.Vehicle' VehicleSQLDB.DbModels.VehicleDbContext' VehicleSQLDB.VehicleManager,Vehicle.Program
