Namespace,Type,Method,LOC,CC,PC
Vehicle.Controllers.Mediator,VehiclePublisher,VehiclePublisher,8,1,6
Vehicle.Controllers.Mediator,VehiclePublisherHandler,VehiclePublisherHandler,3,1,1
Vehicle.Controllers.Mediator,VehiclePublisherHandler,Handle,29,1,2
Vehicle.Controllers.Mediator,VehicleRequest,VehicleRequest,8,1,6
Vehicle.Controllers.Mediator,VehicleRequestHandler,VehicleRequestHandler,3,1,1
Vehicle.Controllers.Mediator,VehicleRequestHandler,Handle,29,1,2
Vehicle.Controllers,VehicleController,VehicleController,9,1,6
Vehicle.Controllers,VehicleController,Get,3,1,2
Vehicle.Controllers,VehicleController,Post,24,2,2
Vehicle.Controllers,VehicleController,Get,18,1,1
Vehicle.Models,VehicleResponse,VehicleResponse,9,1,1
Vehicle,Program,Main,43,1,1
Vehicle,Program,BuildWebHost,0,1,1
Vehicle,Startup,Startup,28,1,3
Vehicle,Startup,ConfigureServices,185,1,1
Vehicle,Startup,Configure,27,2,3
