Implementation smell,Namespace,Class,File,Method,Description
Long Statement,WebComponents.Interceptors,CustomAuthonticator,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Interceptors\CustomAuthonticator.cs,AuthenticateAsync,The length of the statement  "            return new Task<AuthenticateResult>(() => AuthenticateResult.Success(new AuthenticationTicket(ClaimsPrincipal.Current' "Bearer")));" is 131.
Long Statement,WebComponents.Interceptors,CustomAuthorizer,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Interceptors\CustomAuthorizer.cs,OnAuthorizationAsync,The length of the statement  "                    Route = JsonConvert.SerializeObject(context.RouteData.Values.ToDictionary(key => key.Key' value => value.Value?.ToString())' Defaults.JsonSerializerSettings)'" is 158.
Long Statement,WebComponents.Interceptors,CustomAuthorizer,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Interceptors\CustomAuthorizer.cs,OnAuthorizationAsync,The length of the statement  "                    Content = JsonConvert.SerializeObject(Enum.GetName(typeof(ResponseHint)' ResponseHint.UnAuthorized)' Defaults.JsonSerializerSettings)" is 133.
Long Statement,WebComponents.Interceptors,CustomeExceptoinHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Interceptors\CustomeExceptoinHandler.cs,OnExceptionAsync,The length of the statement  "            (int code' string message' ResponseHint responseHint) = (exception is CustomException ex) ? ex.CustomMessage : (exception.HResult' exception.Message' ResponseHint.SystemError);" is 176.
Long Statement,WebComponents.Interceptors,CustomeExceptoinHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Interceptors\CustomeExceptoinHandler.cs,OnExceptionAsync,The length of the statement  "                Route = JsonConvert.SerializeObject(context.RouteData.Values.ToDictionary(key => key.Key' value => value.Value?.ToString())' Defaults.JsonSerializerSettings)'" is 158.
Long Statement,WebComponents.Interceptors,CustomeExceptoinHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Interceptors\CustomeExceptoinHandler.cs,OnExceptionAsync,The length of the statement  "                    //TODO: system message only should share user friendly messages for system messages' as well to not break system security." is 122.
Long Statement,WebComponents.Interceptors,CustomResponseResult,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Interceptors\CustomResponseResult.cs,OnResultExecutionAsync,The length of the statement  "            var messageHeader = new MessageHeader(isSucceed: context.HttpContext.Response.StatusCode == 200) { CorrelationId = correlationId };" is 131.
Long Statement,WebComponents.Interceptors,CustomResponseResult,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Interceptors\CustomResponseResult.cs,OnResultExecutionAsync,The length of the statement  "                Route = JsonConvert.SerializeObject(context.RouteData.Values.ToDictionary(key => key.Key' value => value.Value?.ToString())' Defaults.JsonSerializerSettings)'" is 158.
Long Statement,WebComponents.WebMiddlewares,CustomResponse,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Middlewares\CustomResponse.cs,Invoke,The length of the statement  "                Route = JsonConvert.SerializeObject(context.Request.Query.ToDictionary(key => key.Key' vallue => vallue.Value.FirstOrDefault())' Defaults.JsonSerializerSettings)'" is 162.
Magic Number,WebComponents.Interceptors,CustomResponseResult,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\vehicle-tracking-microservices-master\vehicle-tracking-microservices-master\vehicle-tracking-poc\Components\WebComponents\Interceptors\CustomResponseResult.cs,OnResultExecutionAsync,The following statement contains a magic number: var messageHeader = new MessageHeader(isSucceed: context.HttpContext.Response.StatusCode == 200) { CorrelationId = correlationId };
