Namespace,Type,Method,LOC,CC,PC
WebComponents.Interceptors,CustomAuthonticator,CreateInstance,3,1,1
WebComponents.Interceptors,CustomAuthonticator,AuthenticateAsync,3,1,2
WebComponents.Interceptors,CustomAuthonticator,AuthorizeAsync,3,1,4
WebComponents.Interceptors,CustomAuthorizer,CustomAuthorizer,4,1,2
WebComponents.Interceptors,CustomAuthorizer,CreateInstance,3,1,1
WebComponents.Interceptors,CustomAuthorizer,OnAuthorizationAsync,44,3,1
WebComponents.Interceptors,CustomeExceptoinHandler,CustomeExceptoinHandler,6,1,4
WebComponents.Interceptors,CustomeExceptoinHandler,CreateInstance,3,1,1
WebComponents.Interceptors,CustomeExceptoinHandler,OnExceptionAsync,55,2,1
WebComponents.Interceptors,CustomHeader,CustomHeader,4,1,2
WebComponents.Interceptors,CustomHeader,CreateInstance,3,1,1
WebComponents.Interceptors,CustomHeader,OnActionExecutionAsync,7,2,2
WebComponents.Interceptors,CustomResponseResult,CustomResponseResult,4,1,2
WebComponents.Interceptors,CustomResponseResult,CreateInstance,3,1,1
WebComponents.Interceptors,CustomResponseResult,OnResultExecutionAsync,62,2,2
WebComponents.WebMiddlewares,CustomResponse,CustomResponse,3,1,1
WebComponents.WebMiddlewares,CustomResponse,Invoke,29,1,1
WebComponents.WebMiddlewares,RequestCulture,RequestCulture,3,1,1
WebComponents.WebMiddlewares,RequestCulture,Invoke,10,2,1
