Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
WeText.Common,AggregateRoot<TKey>,1,3,2,0,1,38,6,0,1,0,67,4,3,WeText.Common.IAggregateRoot' WeText.Common.IPurgeable' WeText.Common.Events.InlineEventHandlerAttribute' WeText.Common.Events.IDomainEvent,WeText.Domain.User' WeText.Domain.Text' WeText.Domain.Invitation
WeText.Common,DisposableObject,0,2,0,0,1,23,2,6,0,-1,0,6,,WeText.Messaging.RabbitMq.RabbitMqMessagePublisher' WeText.Common.Messaging.CommandConsumer' WeText.Web.Models.WebApiUserStore' WeText.Common.Messaging.EventConsumer' WeText.Common.Services.Service' WeText.Messaging.RabbitMq.RabbitMqMessageSubscriber
WeText.Common,IAggregateRoot,0,1,1,0,0,16,1,2,1,-1,2,5,WeText.Common.IEntity' WeText.Common.Events.IDomainEvent,WeText.Common.AggregateRoot<TKey>' WeText.Common.ISaga' WeText.Common.Repositories.IDomainRepository' WeText.DomainRepositories.MongoDomainRepository' WeText.Common.Repositories.DomainRepository
WeText.Common,IPurgeable,0,1,0,0,0,7,1,1,0,-1,0,2,,WeText.Common.Repositories.DomainRepository' WeText.Common.AggregateRoot<TKey>
WeText.Common,NamedMetadata,0,0,1,0,0,4,0,0,0,-1,0,5,,WeText.Services.Common.MicroserviceApiController<TService>' WeText.Services.Accounts.AccountController' WeText.Services.Texting.TextingController' WeText.Services.Social.SocialController' WeText.Services.Common.MicroserviceRegister<TService>
WeText.Common,ISaga,0,1,0,0,0,6,1,1,2,-1,2,1,WeText.Common.IAggregateRoot' WeText.Common.Events.IDomainEvent,WeText.Domain.Invitation
WeText.Common,IEntity,0,0,1,0,0,11,0,1,0,-1,0,1,,WeText.Common.IAggregateRoot
WeText.Common,IHandler,0,1,0,0,0,9,1,2,0,-1,0,2,,WeText.Common.Events.IDomainEventHandler' WeText.Common.Commands.ICommandHandler
WeText.Common,Utils,0,1,0,0,1,29,3,0,0,-1,0,1,,WeText.Common.Querying.WhereClauseBuilder<TTableObject>
WeText.Common,WeTextException,0,4,0,0,4,12,4,2,0,-1,0,2,,WeText.Services.Common.ServiceRegistrationException' WeText.Common.Config.WeTextConfigurationException
