Design smell,Namespace,Class,File,Cause
Duplicate Abstraction,WeText.Common,AggregateRoot<TKey>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\AggregateRoot.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AggregateRoot<TKey> (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\AggregateRoot.cs' [1' 29])' DisposableObject (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\DisposableObject.cs' [1' 29])' IEntity (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IEntity.cs' [1' 29])' WeTextException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\WeTextException.cs' [1' 29])' IMessageConsumer (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IMessageConsumer.cs' [1' 29])' IMessagePublisher (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IMessagePublisher.cs' [1' 29])' IService (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Services\IService.cs' [1' 29])' IAggregateRoot (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IAggregateRoot.cs' [1' 29])' ICommandConsumer (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\ICommandConsumer.cs' [1' 29])' IEventConsumer (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IEventConsumer.cs' [1' 29])
Duplicate Abstraction,WeText.Common,AggregateRoot<TKey>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\AggregateRoot.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AggregateRoot<TKey> (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\AggregateRoot.cs' [1' 30])' IAggregateRoot (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IAggregateRoot.cs' [1' 30])' DisposableObject (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\DisposableObject.cs' [1' 30])' IMessageConsumer (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IMessageConsumer.cs' [1' 30])' IMessagePublisher (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IMessagePublisher.cs' [1' 30])' IService (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Services\IService.cs' [1' 30])' IEntity (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IEntity.cs' [1' 30])' WeTextException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\WeTextException.cs' [1' 30])
Duplicate Abstraction,WeText.Common,AggregateRoot<TKey>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\AggregateRoot.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  AggregateRoot<TKey> (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\AggregateRoot.cs' [1' 28])' IPurgeable (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IPurgeable.cs' [1' 28])' NamedMetadata (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\NamedMetadata.cs' [1' 28])' IHandler (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IHandler.cs' [1' 28])' Utils (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Utils.cs' [1' 28])' ICommandConsumer (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\ICommandConsumer.cs' [1' 28])' IEventConsumer (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IEventConsumer.cs' [1' 28])' IEventPublisher (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IEventPublisher.cs' [1' 28])' Service (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Services\Service.cs' [1' 28])' DisposableObject (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\DisposableObject.cs' [1' 28])' IAggregateRoot (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IAggregateRoot.cs' [1' 28])' IEntity (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IEntity.cs' [1' 28])' WeTextException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\WeTextException.cs' [1' 28])' IMessageConsumer (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IMessageConsumer.cs' [1' 28])' IMessagePublisher (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IMessagePublisher.cs' [1' 28])' IService (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Services\IService.cs' [1' 28])
Duplicate Abstraction,WeText.Common,DisposableObject,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\DisposableObject.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  DisposableObject (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\DisposableObject.cs' [1' 33])' IEntity (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IEntity.cs' [1' 33])' WeTextException (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\WeTextException.cs' [1' 33])' IMessageConsumer (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IMessageConsumer.cs' [1' 33])' IMessagePublisher (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Messaging\IMessagePublisher.cs' [1' 33])
Duplicate Abstraction,WeText.Common,IPurgeable,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IPurgeable.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  IPurgeable (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IPurgeable.cs' [1' 31])' NamedMetadata (C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\NamedMetadata.cs' [1' 31])
Unnecessary Abstraction,WeText.Common,NamedMetadata,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\NamedMetadata.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name
Unnecessary Abstraction,WeText.Common,IEntity,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\IEntity.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id
Unnecessary Abstraction,WeText.Common.Commands,ICommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Commands\ICommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id
Unnecessary Abstraction,WeText.Common.Commands,ICommandHandler,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Commands\ICommandHandler.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Multifaceted Abstraction,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 1
