Implementation smell,Namespace,Class,File,Method,Description
Complex Method,WeText.Common.Querying,WhereClauseBuilder<TTableObject>,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Querying\WhereClauseBuilder.cs,VisitBinary,Cyclomatic complexity of the method is 18
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter WeTextConfigurationSectionName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter ApplicationSettingPropertyName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter WeTextConfigurationSectionName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter ApplicationSettingPropertyName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter WeTextConfigurationSectionName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter ApplicationSettingPropertyName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter WeTextConfigurationSectionName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter ApplicationSettingPropertyName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter WeTextConfigurationSectionName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter ApplicationSettingPropertyName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter WeTextConfigurationSectionName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter ApplicationSettingPropertyName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter WeTextConfigurationSectionName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter ApplicationSettingPropertyName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter WeTextConfigurationSectionName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter ApplicationSettingPropertyName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter WeTextConfigurationSectionName is 30.
Long Identifier,WeText.Common.Config,WeTextConfiguration,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,,The length of the parameter ApplicationSettingPropertyName is 30.
Long Statement,WeText.Common.Config,ServiceElementCollection,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,GetEnumerator,The length of the statement  "            global::System.Collections.Generic.List<global::WeText.Common.Config.ServiceElement> list = new global::System.Collections.Generic.List<global::WeText.Common.Config.ServiceElement>(base.Count); " is 193.
Long Statement,WeText.Common.Config,ServiceElementCollection,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Common\Config\WeText.Config.csd.cs,GetEnumerator,The length of the statement  "            global::System.Collections.Generic.List<global::WeText.Common.Config.ServiceElement> list = new global::System.Collections.Generic.List<global::WeText.Common.Config.ServiceElement>(base.Count); " is 193.
