Namespace,Type,Method,LOC,CC,PC
WeText.Common,AggregateRoot<TKey>,Replay,7,2,1
WeText.Common,AggregateRoot<TKey>,ApplyEvent,15,2,1
WeText.Common,AggregateRoot<TKey>,Purge,6,2,0
WeText.Common,DisposableObject,Dispose,4,1,0
WeText.Common,DisposableObject,Dispose,1,1,1
WeText.Common,IAggregateRoot,Replay,0,1,1
WeText.Common,IPurgeable,Purge,0,1,0
WeText.Common,ISaga,Transit,0,1,1
WeText.Common,IHandler,HandleAsync,0,1,1
WeText.Common,Utils,GetUniqueIdentifier,25,3,1
WeText.Common,WeTextException,WeTextException,1,1,0
WeText.Common,WeTextException,WeTextException,1,1,1
WeText.Common,WeTextException,WeTextException,1,1,2
WeText.Common,WeTextException,WeTextException,1,1,2
WeText.Common.Commands,Command,Command,3,1,0
WeText.Common.Config,WeTextConfiguration,IsReadOnly,3,1,0
WeText.Common.Config,WeTextConfiguration,IsReadOnly,3,1,0
WeText.Common.Config,WeTextConfiguration,IsReadOnly,3,1,0
WeText.Common.Config,WeTextConfiguration,IsReadOnly,3,1,0
WeText.Common.Config,WeTextConfiguration,IsReadOnly,3,1,0
WeText.Common.Config,WeTextConfiguration,IsReadOnly,3,1,0
WeText.Common.Config,WeTextConfiguration,IsReadOnly,3,1,0
WeText.Common.Config,WeTextConfiguration,IsReadOnly,3,1,0
WeText.Common.Config,WeTextConfiguration,IsReadOnly,3,1,0
WeText.Common.Config,SettingElement,IsReadOnly,3,1,0
WeText.Common.Config,SettingElement,IsReadOnly,3,1,0
WeText.Common.Config,SettingElement,IsReadOnly,3,1,0
WeText.Common.Config,SettingElement,IsReadOnly,3,1,0
WeText.Common.Config,SettingElement,IsReadOnly,3,1,0
WeText.Common.Config,SettingElement,IsReadOnly,3,1,0
WeText.Common.Config,SettingElement,IsReadOnly,3,1,0
WeText.Common.Config,SettingElement,IsReadOnly,3,1,0
WeText.Common.Config,SettingElement,IsReadOnly,3,1,0
WeText.Common.Config,SettingElementCollection,IsElementName,3,1,1
WeText.Common.Config,SettingElementCollection,GetElementKey,3,1,1
WeText.Common.Config,SettingElementCollection,CreateNewElement,3,1,0
WeText.Common.Config,SettingElementCollection,Add,3,1,1
WeText.Common.Config,SettingElementCollection,Remove,3,1,1
WeText.Common.Config,SettingElementCollection,GetItemAt,3,1,1
WeText.Common.Config,SettingElementCollection,GetItemByKey,3,1,1
WeText.Common.Config,SettingElementCollection,IsReadOnly,3,1,0
WeText.Common.Config,SettingElementCollection,IsElementName,3,1,1
WeText.Common.Config,SettingElementCollection,GetElementKey,3,1,1
WeText.Common.Config,SettingElementCollection,CreateNewElement,3,1,0
WeText.Common.Config,SettingElementCollection,Add,3,1,1
WeText.Common.Config,SettingElementCollection,Remove,3,1,1
WeText.Common.Config,SettingElementCollection,GetItemAt,3,1,1
WeText.Common.Config,SettingElementCollection,GetItemByKey,3,1,1
WeText.Common.Config,SettingElementCollection,IsReadOnly,3,1,0
WeText.Common.Config,SettingElementCollection,IsElementName,3,1,1
WeText.Common.Config,SettingElementCollection,GetElementKey,3,1,1
WeText.Common.Config,SettingElementCollection,CreateNewElement,3,1,0
