Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
WeText.Domain.Commands,AcceptInvitationCommand,0,0,2,0,0,5,0,0,2,-1,1,2,WeText.Common.Commands.Command,WeText.Services.Social.SocialCommandHandler' WeText.Services.Social.SocialController
WeText.Domain.Commands,AddFriendCommand,0,0,2,0,0,5,0,0,2,-1,1,2,WeText.Common.Commands.Command,WeText.Services.Social.SocialCommandHandler' WeText.Services.Social.SocialEventHandler
WeText.Domain.Commands,ChangeTextCommand,1,0,2,1,0,6,0,0,2,-1,1,2,WeText.Common.Commands.Command,WeText.Services.Texting.TextingCommandHandler' WeText.Services.Texting.TextingController
WeText.Domain.Commands,CreateTextCommand,0,0,4,0,0,7,0,0,2,-1,1,2,WeText.Common.Commands.Command,WeText.Services.Texting.TextingCommandHandler' WeText.Services.Texting.TextingController
WeText.Domain.Commands,CreateUserCommand,0,0,5,0,0,8,0,0,2,-1,1,2,WeText.Common.Commands.Command,WeText.Services.Accounts.AccountsCommandHandler' WeText.Services.Accounts.AccountController
WeText.Domain.Commands,RejectInvitationCommand,0,0,2,0,0,6,0,0,2,-1,1,2,WeText.Common.Commands.Command,WeText.Services.Social.SocialCommandHandler' WeText.Services.Social.SocialController
WeText.Domain.Commands,SendInvitationCommand,0,0,3,0,0,6,0,0,2,-1,1,2,WeText.Common.Commands.Command,WeText.Services.Social.SocialCommandHandler' WeText.Services.Social.SocialController
WeText.Domain.Commands,UpdateUserCommand,0,0,3,0,0,6,0,0,2,-1,1,2,WeText.Common.Commands.Command,WeText.Services.Accounts.AccountsCommandHandler' WeText.Services.Accounts.AccountController
WeText.Domain.Events,FriendAddedEvent,0,2,1,0,1,10,2,0,2,-1,1,1,WeText.Common.Events.DomainEvent,WeText.Domain.User
WeText.Domain.Events,InvitationApprovedEvent,0,3,3,0,2,16,3,0,2,-1,1,3,WeText.Common.Events.DomainEvent,WeText.Services.Social.SocialEventHandler' WeText.Domain.Invitation' WeText.Domain.User
WeText.Domain.Events,InvitationCompletedEvent,0,2,3,0,1,14,2,0,2,-1,1,2,WeText.Common.Events.DomainEvent,WeText.Services.Social.SocialEventHandler' WeText.Domain.Invitation
WeText.Domain.Events,InvitationCreatedEvent,0,2,0,0,1,5,2,0,2,-1,1,1,WeText.Common.Events.DomainEvent,WeText.Domain.Invitation
WeText.Domain.Events,InvitationRejectedEvent,0,3,3,0,2,16,3,0,2,-1,1,3,WeText.Common.Events.DomainEvent,WeText.Services.Social.SocialEventHandler' WeText.Domain.Invitation' WeText.Domain.User
WeText.Domain.Events,InvitationSentEvent,0,2,5,0,1,18,2,0,2,-1,1,3,WeText.Common.Events.DomainEvent,WeText.Services.Social.SocialEventHandler' WeText.Domain.Invitation' WeText.Domain.User
WeText.Domain.Events,TextChangedEvent,0,2,2,0,1,10,2,0,2,-1,1,2,WeText.Common.Events.DomainEvent,WeText.Services.Texting.TextingEventHandler' WeText.Domain.Text
WeText.Domain.Events,TextCreatedEvent,0,3,3,0,2,15,3,0,2,-1,1,2,WeText.Common.Events.DomainEvent,WeText.Services.Texting.TextingEventHandler' WeText.Domain.Text
WeText.Domain.Events,UserDisplayNameChangedEvent,0,1,1,0,1,9,1,0,2,-1,1,3,WeText.Common.Events.DomainEvent,WeText.Services.Accounts.AccountsEventHandler' WeText.Services.Social.SocialEventHandler' WeText.Domain.User
WeText.Domain.Events,UserCreatedEvent,0,3,4,0,2,16,3,0,2,-1,1,3,WeText.Common.Events.DomainEvent,WeText.Services.Accounts.AccountsEventHandler' WeText.Services.Social.SocialEventHandler' WeText.Domain.User
WeText.Domain.Events,UserEmailChangedEvent,0,1,1,0,1,9,1,0,2,-1,1,2,WeText.Common.Events.DomainEvent,WeText.Services.Accounts.AccountsEventHandler' WeText.Domain.User
WeText.Domain,Invitation,0,11,7,0,6,71,12,0,3,-1,11,3,WeText.Common.AggregateRoot<TKey>' WeText.Common.ISaga' WeText.Common.Events.InlineEventHandlerAttribute' WeText.Domain.Events.InvitationApprovedEvent' WeText.Domain.Events.InvitationCompletedEvent' WeText.Domain.Events.InvitationCreatedEvent' WeText.Domain.Events.InvitationRejectedEvent' WeText.Domain.Events.InvitationSentEvent' WeText.Domain.InvitationSentTransitionEvent' WeText.Domain.InvitationApprovedTransitionEvent' WeText.Domain.InvitationRejectedTransitionEvent,WeText.Domain.User' WeText.Services.Social.SocialCommandHandler' WeText.Services.Social.SocialEventHandler
WeText.Domain,InvitationSentTransitionEvent,0,1,3,0,1,13,1,0,2,-1,1,1,WeText.Common.Events.DomainEvent,WeText.Domain.Invitation
WeText.Domain,InvitationApprovedTransitionEvent,0,0,0,0,0,4,0,0,2,-1,1,1,WeText.Common.Events.DomainEvent,WeText.Domain.Invitation
WeText.Domain,InvitationRejectedTransitionEvent,0,0,0,0,0,3,0,0,2,-1,1,1,WeText.Common.Events.DomainEvent,WeText.Domain.Invitation
WeText.Domain,Text,0,7,4,0,5,48,9,0,0,-1,4,1,WeText.Common.AggregateRoot<TKey>' WeText.Common.Events.InlineEventHandlerAttribute' WeText.Domain.Events.TextChangedEvent' WeText.Domain.Events.TextCreatedEvent,WeText.Services.Texting.TextingCommandHandler
WeText.Domain,User,1,13,5,0,9,78,15,0,0,1,10,2,WeText.Common.AggregateRoot<TKey>' WeText.Common.Events.InlineEventHandlerAttribute' WeText.Domain.Events.FriendAddedEvent' WeText.Domain.Events.InvitationApprovedEvent' WeText.Domain.Events.InvitationRejectedEvent' WeText.Domain.Events.InvitationSentEvent' WeText.Domain.Events.UserDisplayNameChangedEvent' WeText.Domain.Events.UserCreatedEvent' WeText.Domain.Events.UserEmailChangedEvent' WeText.Domain.Invitation,WeText.Services.Accounts.AccountsCommandHandler' WeText.Services.Social.SocialCommandHandler
