Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,WeText.Domain.Commands,AcceptInvitationCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\AcceptInvitationCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: UserId' InvitationId
Unnecessary Abstraction,WeText.Domain.Commands,AddFriendCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\AddFriendCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: OriginatorId' AcceptorId
Unnecessary Abstraction,WeText.Domain.Commands,ChangeTextCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\ChangeTextCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Title' Content' TextId
Unnecessary Abstraction,WeText.Domain.Commands,CreateTextCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\CreateTextCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: TextId' Title' Content' UserId
Unnecessary Abstraction,WeText.Domain.Commands,CreateUserCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\CreateUserCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: UserId' Name' Password' Email' DisplayName
Unnecessary Abstraction,WeText.Domain.Commands,RejectInvitationCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\RejectInvitationCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: UserId' InvitationId
Unnecessary Abstraction,WeText.Domain.Commands,SendInvitationCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\SendInvitationCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: OriginatorId' TargetUserId' InvitationLetter
Unnecessary Abstraction,WeText.Domain.Commands,UpdateUserCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\UpdateUserCommand.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: UserId' DisplayName' Email
Unnecessary Abstraction,WeText.Domain,InvitationApprovedTransitionEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Invitation.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,WeText.Domain,InvitationRejectedTransitionEvent,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Invitation.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Deficient Encapsulation,WeText.Domain.Commands,ChangeTextCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\ChangeTextCommand.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TextId
Broken Modularization,WeText.Domain.Commands,CreateUserCommand,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Domain\Commands\CreateUserCommand.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: UserId' Name' Password' Email' DisplayName
