Namespace,Type,Method,LOC,CC,PC
WeText.Domain.Events,FriendAddedEvent,FriendAddedEvent,1,1,0
WeText.Domain.Events,FriendAddedEvent,FriendAddedEvent,3,1,2
WeText.Domain.Events,InvitationApprovedEvent,InvitationApprovedEvent,1,1,0
WeText.Domain.Events,InvitationApprovedEvent,InvitationApprovedEvent,1,1,1
WeText.Domain.Events,InvitationApprovedEvent,InvitationApprovedEvent,5,1,4
WeText.Domain.Events,InvitationCompletedEvent,InvitationCompletedEvent,1,1,0
WeText.Domain.Events,InvitationCompletedEvent,InvitationCompletedEvent,5,1,4
WeText.Domain.Events,InvitationCreatedEvent,InvitationCreatedEvent,1,1,0
WeText.Domain.Events,InvitationCreatedEvent,InvitationCreatedEvent,1,1,1
WeText.Domain.Events,InvitationRejectedEvent,InvitationRejectedEvent,1,1,0
WeText.Domain.Events,InvitationRejectedEvent,InvitationRejectedEvent,1,1,1
WeText.Domain.Events,InvitationRejectedEvent,InvitationRejectedEvent,5,1,4
WeText.Domain.Events,InvitationSentEvent,InvitationSentEvent,1,1,0
WeText.Domain.Events,InvitationSentEvent,InvitationSentEvent,7,1,6
WeText.Domain.Events,TextChangedEvent,TextChangedEvent,1,1,0
WeText.Domain.Events,TextChangedEvent,TextChangedEvent,2,1,1
WeText.Domain.Events,TextCreatedEvent,TextCreatedEvent,1,1,0
WeText.Domain.Events,TextCreatedEvent,TextCreatedEvent,1,1,1
WeText.Domain.Events,TextCreatedEvent,TextCreatedEvent,5,1,4
WeText.Domain.Events,UserDisplayNameChangedEvent,UserDisplayNameChangedEvent,3,1,2
WeText.Domain.Events,UserCreatedEvent,UserCreatedEvent,1,1,0
WeText.Domain.Events,UserCreatedEvent,UserCreatedEvent,1,1,1
WeText.Domain.Events,UserCreatedEvent,UserCreatedEvent,6,1,5
WeText.Domain.Events,UserEmailChangedEvent,UserEmailChangedEvent,3,1,2
WeText.Domain,Invitation,Invitation,3,1,0
WeText.Domain,Invitation,Invitation,3,1,1
WeText.Domain,Invitation,Transit,3,1,1
WeText.Domain,Invitation,Transit,3,1,1
WeText.Domain,Invitation,Transit,3,1,1
WeText.Domain,Invitation,MarkCompletedIfNeeded,6,2,0
WeText.Domain,Invitation,Handle,3,1,1
WeText.Domain,Invitation,Handle,4,1,1
WeText.Domain,Invitation,Handle,4,1,1
WeText.Domain,Invitation,Handle,7,1,1
WeText.Domain,Invitation,Handle,3,1,1
WeText.Domain,InvitationSentTransitionEvent,InvitationSentTransitionEvent,5,1,4
WeText.Domain,Text,Text,3,1,0
WeText.Domain,Text,Text,3,1,1
WeText.Domain,Text,Text,3,1,4
WeText.Domain,Text,ChangeTitle,3,1,1
WeText.Domain,Text,ChangeContent,3,1,1
WeText.Domain,Text,HandleTextCreatedEvent,7,1,1
WeText.Domain,Text,HandleTextChangedEvent,10,3,1
WeText.Domain,User,User,3,1,0
WeText.Domain,User,User,3,1,1
WeText.Domain,User,User,3,1,5
WeText.Domain,User,ChangeDisplayName,3,1,1
WeText.Domain,User,ChangeEmail,3,1,1
WeText.Domain,User,SendInvitation,3,1,2
WeText.Domain,User,ApproveInvitation,7,2,1
WeText.Domain,User,RejectInvitation,7,2,1
WeText.Domain,User,AddFriend,3,1,1
WeText.Domain,User,HandleUserCreatedEvent,7,1,1
WeText.Domain,User,HandleChangeDisplayNameEvent,3,1,1
WeText.Domain,User,HandleChangeEmailEvent,3,1,1
WeText.Domain,User,HandleAddFriendEvent,3,1,1
