Namespace,Type,Method,LOC,CC,PC
WeText.Services.Accounts,AccountsCommandHandler,AccountsCommandHandler,3,1,1
WeText.Services.Accounts,AccountsCommandHandler,HandleAsync,18,4,1
WeText.Services.Accounts,AccountsCommandHandler,HandleAsync,4,1,1
WeText.Services.Accounts,AccountService,AccountService,2,1,2
WeText.Services.Accounts,AccountServiceRegister,AccountServiceRegister,7,2,1
WeText.Services.Accounts,AccountsEventHandler,AccountsEventHandler,3,1,1
WeText.Services.Accounts,AccountsEventHandler,HandleAsync,6,1,1
WeText.Services.Accounts,AccountsEventHandler,HandleAsync,6,1,1
WeText.Services.Accounts,AccountsEventHandler,HandleAsync,11,1,1
WeText.Services.Accounts,AccountController,AccountController,1,1,3
WeText.Services.Accounts,AccountController,GetSystemInformation,10,1,0
WeText.Services.Accounts,AccountController,CreateUser,14,1,1
WeText.Services.Accounts,AccountController,UpdateUser,12,1,2
WeText.Services.Accounts,AccountController,GetUserByName,4,1,1
WeText.Services.Accounts,AccountController,GetUserById,4,1,1
