Namespace,Type,Method,LOC,CC,PC
WeText.Services.Common,Microservice,Microservice,4,1,2
WeText.Services.Common,Microservice,Start,4,1,1
WeText.Services.Common,Microservice,Dispose,11,3,1
WeText.Services.Common,MicroserviceApiController<TService>,MicroserviceApiController,5,1,3
WeText.Services.Common,MicroserviceRegister<TService>,MicroserviceRegister,3,1,1
WeText.Services.Common,MicroserviceRegister<TService>,ResolveGlobalDomainRepository,0,1,1
WeText.Services.Common,MicroserviceRegister<TService>,ResolveGlobalCommandSender,0,1,1
WeText.Services.Common,MicroserviceRegister<TService>,ResolveGlobalEventPublisher,0,1,1
WeText.Services.Common,MicroserviceRegister<TService>,ResolveTableDataGateway,0,1,1
WeText.Services.Common,MicroserviceRegister<TService>,Load,9,1,1
WeText.Services.Common,MicroserviceRegister<TService>,RegisterTableDataGateway,9,2,2
WeText.Services.Common,MicroserviceRegister<TService>,RegisterCommandHandlers,10,3,2
WeText.Services.Common,MicroserviceRegister<TService>,RegisterEventHandlers,10,3,2
WeText.Services.Common,MicroserviceRegister<TService>,RegisterLocalCommandConsumer,28,2,1
WeText.Services.Common,MicroserviceRegister<TService>,RegisterLocalEventConsumer,28,2,1
WeText.Services.Common,MicroserviceRegister<TService>,RegisterService,9,1,2
WeText.Services.Common,ServiceRegistrationException,ServiceRegistrationException,1,1,0
WeText.Services.Common,ServiceRegistrationException,ServiceRegistrationException,1,1,1
WeText.Services.Common,ServiceRegistrationException,ServiceRegistrationException,1,1,2
WeText.Services.Common,ServiceRegistrationException,ServiceRegistrationException,1,1,2
