Namespace,Type,Method,LOC,CC,PC
WeText.Services.Social,SocialController,SocialController,1,1,3
WeText.Services.Social,SocialController,GetSystemInformation,10,1,0
WeText.Services.Social,SocialController,SendInvitation,13,1,1
WeText.Services.Social,SocialController,AcceptInvitation,11,1,1
WeText.Services.Social,SocialController,RejectInvitation,11,1,1
WeText.Services.Social,SocialController,MySentInvitations,4,1,1
WeText.Services.Social,SocialController,MyReceivedInvitations,4,1,1
WeText.Services.Social,SocialController,GetOtherUsers,4,1,1
WeText.Services.Social,SocialCommandHandler,SocialCommandHandler,3,1,1
WeText.Services.Social,SocialCommandHandler,HandleAsync,6,1,1
WeText.Services.Social,SocialCommandHandler,HandleAsync,8,1,1
WeText.Services.Social,SocialCommandHandler,HandleAsync,6,1,1
WeText.Services.Social,SocialCommandHandler,HandleAsync,6,1,1
WeText.Services.Social,SocialEventHandler,SocialEventHandler,5,1,3
WeText.Services.Social,SocialEventHandler,HandleAsync,5,1,1
WeText.Services.Social,SocialEventHandler,HandleAsync,3,1,1
WeText.Services.Social,SocialEventHandler,HandleAsync,14,1,1
WeText.Services.Social,SocialEventHandler,HandleAsync,16,1,1
WeText.Services.Social,SocialEventHandler,HandleAsync,12,1,1
WeText.Services.Social,SocialEventHandler,HandleAsync,12,1,1
WeText.Services.Social,SocialService,SocialService,2,1,2
WeText.Services.Social,SocialServiceRegister,SocialServiceRegister,7,2,1
