Implementation smell,Namespace,Class,File,Method,Description
Complex Method,WeText.Web.Controllers,MyFriendController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyFriendController.cs,Index,Cyclomatic complexity of the method is 8
Long Statement,WeText.Web,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\App_Start\Startup.Auth.cs,ConfigureAuth,The length of the statement  "            // Enables the application to temporarily store user information when they are verifying the second factor in the two-factor authentication process. " is 148.
Long Statement,WeText.Web,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\App_Start\Startup.Auth.cs,ConfigureAuth,The length of the statement  "            // Once you check this option' your second step of verification during the login process will be remembered on the device where you logged in from. " is 147.
Long Statement,WeText.Web.Controllers,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\AccountController.cs,Login,The length of the statement  "            var result = await SignInManager.PasswordSignInAsync(model.Name' model.Password' model.RememberMe' shouldLockout: true); " is 120.
Long Statement,WeText.Web.Controllers,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\AccountController.cs,VerifyCode,The length of the statement  "            var result = await SignInManager.TwoFactorSignInAsync(model.Provider' model.Code' isPersistent: model.RememberMe' rememberBrowser: model.RememberBrowser); " is 154.
Long Statement,WeText.Web.Controllers,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\AccountController.cs,Register,The length of the statement  "                    // For more information on how to enable account confirmation and password reset please visit http://go.microsoft.com/fwlink/?LinkID=320771 " is 139.
Long Statement,WeText.Web.Controllers,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\AccountController.cs,Register,The length of the statement  "                    // var callbackUrl = Url.Action("ConfirmEmail"' "Account"' new { userId = user.Id' code = code }' protocol: Request.Url.Scheme); " is 128.
Long Statement,WeText.Web.Controllers,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\AccountController.cs,Register,The length of the statement  "                    // await UserManager.SendEmailAsync(user.Id' "Confirm your account"' "Please confirm your account by clicking <a href=\"" + callbackUrl + "\">here</a>"); " is 153.
Long Statement,WeText.Web.Controllers,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\AccountController.cs,ForgotPassword,The length of the statement  "                // For more information on how to enable account confirmation and password reset please visit http://go.microsoft.com/fwlink/?LinkID=320771 " is 139.
Long Statement,WeText.Web.Controllers,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\AccountController.cs,ForgotPassword,The length of the statement  "                // var callbackUrl = Url.Action("ResetPassword"' "Account"' new { userId = user.Id' code = code }' protocol: Request.Url.Scheme);		 " is 129.
Long Statement,WeText.Web.Controllers,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\AccountController.cs,ForgotPassword,The length of the statement  "                // await UserManager.SendEmailAsync(user.Id' "Reset Password"' "Please reset your password by clicking <a href=\"" + callbackUrl + "\">here</a>"); " is 146.
Long Statement,WeText.Web.Controllers,AccountController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\AccountController.cs,SendCode,The length of the statement  "            return RedirectToAction("VerifyCode"' new { Provider = model.SelectedProvider' ReturnUrl = model.ReturnUrl' RememberMe = model.RememberMe }); " is 141.
Long Statement,WeText.Web.Controllers,MyFriendController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyFriendController.cs,Index,The length of the statement  "                dynamic receivedInvitations = JsonConvert.DeserializeObject(await getReceivedInvitationsResult.Content.ReadAsStringAsync()); " is 124.
Long Statement,WeText.Web.Controllers,MyTextController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyTextController.cs,Text,The length of the statement  "                var model = JsonConvert.DeserializeObject<IEnumerable<TextViewModel>>(await result.Content.ReadAsStringAsync()).FirstOrDefault(); " is 129.
Long Statement,WeText.Web.Controllers,MyTextController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyTextController.cs,Edit,The length of the statement  "                var model = JsonConvert.DeserializeObject<IEnumerable<TextViewModel>>(await result.Content.ReadAsStringAsync()).FirstOrDefault(); " is 129.
Long Statement,WeText.Web.Models,ApplicationUserManager,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Models\ApplicationUserManager.cs,Create,The length of the statement  "            //// Register two factor authentication providers. This application uses Phone and Emails as a step of receiving a code for verifying the user " is 142.
Long Statement,WeText.Web.Models,WebApiUserStore,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Models\WebApiUserStore.cs,IncrementAccessFailedCountAsync,The length of the statement  "            //    var result = await proxy.PostAsJsonAsync(string.Format("api/accounts/passwd/failures/increment/{0}"' user.Id)' string.Empty); " is 131.
Magic Number,WeText.Web,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\App_Start\Startup.Auth.cs,ConfigureAuth,The following statement contains a magic number: app.UseCookieAuthentication(new CookieAuthenticationOptions              {                  AuthenticationType = DefaultAuthenticationTypes.ApplicationCookie'                  LoginPath = new PathString("/Account/Login")'                  Provider = new CookieAuthenticationProvider                  {                      // Enables the application to validate the security stamp when the user logs in.                      // This is a security feature which is used when you change a password or add an external login to your account.                        OnValidateIdentity = SecurityStampValidator.OnValidateIdentity<ApplicationUserManager' ApplicationUser>(                          validateInterval: TimeSpan.FromMinutes(30)'                          regenerateIdentity: (manager' user) => user.GenerateUserIdentityAsync(manager))                  }              });
Magic Number,WeText.Web,Startup,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\App_Start\Startup.Auth.cs,ConfigureAuth,The following statement contains a magic number: app.UseTwoFactorSignInCookie(DefaultAuthenticationTypes.TwoFactorCookie' TimeSpan.FromMinutes(5));
Magic Number,WeText.Web.Controllers,MyFriendController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyFriendController.cs,Index,The following statement contains a magic number: switch((int)inv.InvitationEndReason)                      {                          case 1:                              statusName = "Waiting For Approval";                              break;                          case 2:                              statusName = "Accepted";                              isCompleted = true;                              break;                          case 3:                              statusName = "Rejected";                              isCompleted = true;                              break;                      }
Magic Number,WeText.Web.Controllers,MyFriendController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyFriendController.cs,Index,The following statement contains a magic number: switch((int)inv.InvitationEndReason)                      {                          case 1:                              statusName = "Waiting For Approval";                              break;                          case 2:                              statusName = "Accepted";                              isCompleted = true;                              break;                          case 3:                              statusName = "Rejected";                              isCompleted = true;                              break;                      }
Magic Number,WeText.Web.Controllers,MyFriendController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyFriendController.cs,Index,The following statement contains a magic number: switch ((int)inv.InvitationEndReason)                      {                          case 1:                              statusName = "Waiting For Approval";                              break;                          case 2:                              statusName = "Accepted";                              isCompleted = true;                              break;                          case 3:                              statusName = "Rejected";                              isCompleted = true;                              break;                      }
Magic Number,WeText.Web.Controllers,MyFriendController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyFriendController.cs,Index,The following statement contains a magic number: switch ((int)inv.InvitationEndReason)                      {                          case 1:                              statusName = "Waiting For Approval";                              break;                          case 2:                              statusName = "Accepted";                              isCompleted = true;                              break;                          case 3:                              statusName = "Rejected";                              isCompleted = true;                              break;                      }
Magic Number,WeText.Web.Models,ApplicationUserManager,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Models\ApplicationUserManager.cs,Create,The following statement contains a magic number: manager.PasswordValidator = new PasswordValidator              {                  RequiredLength = 3'                  RequireNonLetterOrDigit = false'                  RequireDigit = false'                  RequireLowercase = false'                  RequireUppercase = false'              };
Missing Default,WeText.Web.Controllers,MyFriendController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyFriendController.cs,Index,The following switch statement is missing a default case: switch((int)inv.InvitationEndReason)                      {                          case 1:                              statusName = "Waiting For Approval";                              break;                          case 2:                              statusName = "Accepted";                              isCompleted = true;                              break;                          case 3:                              statusName = "Rejected";                              isCompleted = true;                              break;                      }
Missing Default,WeText.Web.Controllers,MyFriendController,C:\Users\victo\Downloads\PROYECTOS_ACTUALIZADOS\we-text-master\we-text-master\src\WeText.Web\Controllers\MyFriendController.cs,Index,The following switch statement is missing a default case: switch ((int)inv.InvitationEndReason)                      {                          case 1:                              statusName = "Waiting For Approval";                              break;                          case 2:                              statusName = "Accepted";                              isCompleted = true;                              break;                          case 3:                              statusName = "Rejected";                              isCompleted = true;                              break;                      }
