Namespace,Type,Method,LOC,CC,PC
WeText.Web,BundleConfig,RegisterBundles,16,1,1
WeText.Web,FilterConfig,RegisterGlobalFilters,3,1,1
WeText.Web,EmailService,SendAsync,4,1,1
WeText.Web,SmsService,SendAsync,4,1,1
WeText.Web,RouteConfig,RegisterRoutes,8,1,1
WeText.Web,Startup,ConfigureAuth,43,1,1
WeText.Web,Startup,Configuration,3,1,1
WeText.Web,MvcApplication,Application_Start,6,1,0
WeText.Web.Controllers,AccountController,AccountController,2,1,0
WeText.Web.Controllers,AccountController,AccountController,4,1,2
WeText.Web.Controllers,AccountController,Login,4,1,1
WeText.Web.Controllers,AccountController,Login,22,5,2
WeText.Web.Controllers,AccountController,VerifyCode,8,2,3
WeText.Web.Controllers,AccountController,VerifyCode,22,4,1
WeText.Web.Controllers,AccountController,Register,3,1,0
WeText.Web.Controllers,AccountController,Register,26,3,1
WeText.Web.Controllers,AccountController,ConfirmEmail,8,2,2
WeText.Web.Controllers,AccountController,ForgotPassword,3,1,0
WeText.Web.Controllers,AccountController,ForgotPassword,19,3,1
WeText.Web.Controllers,AccountController,ForgotPasswordConfirmation,3,1,0
WeText.Web.Controllers,AccountController,ResetPassword,3,1,1
WeText.Web.Controllers,AccountController,ResetPassword,19,4,1
WeText.Web.Controllers,AccountController,ResetPasswordConfirmation,3,1,0
WeText.Web.Controllers,AccountController,ExternalLogin,4,1,2
WeText.Web.Controllers,AccountController,SendCode,10,2,2
WeText.Web.Controllers,AccountController,SendCode,12,3,1
WeText.Web.Controllers,AccountController,ExternalLoginCallback,24,5,1
WeText.Web.Controllers,AccountController,ExternalLoginConfirmation,29,6,2
WeText.Web.Controllers,AccountController,LogOff,4,1,0
WeText.Web.Controllers,AccountController,ExternalLoginFailure,3,1,0
WeText.Web.Controllers,AccountController,Dispose,16,4,1
WeText.Web.Controllers,AccountController,AddErrors,6,2,1
WeText.Web.Controllers,AccountController,RedirectToLocal,7,2,1
WeText.Web.Controllers,ChallengeResult,ChallengeResult,2,1,2
WeText.Web.Controllers,ChallengeResult,ChallengeResult,5,1,3
WeText.Web.Controllers,ChallengeResult,ExecuteResult,8,2,1
WeText.Web.Controllers,HomeController,Index,3,1,0
WeText.Web.Controllers,HomeController,About,4,1,0
WeText.Web.Controllers,HomeController,Info,9,2,4
WeText.Web.Controllers,ManageController,ManageController,2,1,0
WeText.Web.Controllers,ManageController,ManageController,4,1,2
WeText.Web.Controllers,ManageController,Index,19,1,1
WeText.Web.Controllers,ManageController,UpdateAccount,23,3,1
WeText.Web.Controllers,ManageController,Dispose,8,2,1
WeText.Web.Controllers,ManageController,AddErrors,6,2,1
WeText.Web.Controllers,MyFriendController,Index,80,8,0
WeText.Web.Controllers,MyFriendController,Invite,22,1,1
WeText.Web.Controllers,MyFriendController,Accept,18,1,1
WeText.Web.Controllers,MyTextController,Index,10,1,0
WeText.Web.Controllers,MyTextController,Text,9,1,1
WeText.Web.Controllers,MyTextController,Create,3,1,0
WeText.Web.Controllers,MyTextController,Create,20,1,1
WeText.Web.Controllers,MyTextController,Edit,9,1,1
WeText.Web.Controllers,MyTextController,Edit,18,1,1
WeText.Web.Models,ApplicationPasswordHasher,HashPassword,3,1,1
WeText.Web.Models,ApplicationPasswordHasher,VerifyHashedPassword,5,1,2
WeText.Web.Models,ApplicationSignInManager,ApplicationSignInManager,2,1,2
WeText.Web.Models,ApplicationSignInManager,CreateUserIdentityAsync,3,1,1
WeText.Web.Models,ApplicationSignInManager,SignInAsync,4,1,3
WeText.Web.Models,ApplicationSignInManager,Create,3,1,2
WeText.Web.Models,ApplicationUser,GenerateUserIdentityAsync,6,1,1
WeText.Web.Models,ApplicationUser,ToString,3,1,0
WeText.Web.Models,ApplicationUserManager,ApplicationUserManager,2,1,1
WeText.Web.Models,ApplicationUserManager,CheckPasswordAsync,4,1,2
WeText.Web.Models,ApplicationUserManager,AccessFailedAsync,16,3,1
WeText.Web.Models,ApplicationUserManager,CreateAsync,9,2,1
WeText.Web.Models,ApplicationUserManager,Create,46,1,2
WeText.Web.Models,ConfigReader,ConfigReader,3,1,0
WeText.Web.Models,IWebApiUserStore,AuthenticateAsync,0,1,2
WeText.Web.Models,MyFriendViewModel,MyFriendViewModel,4,1,0
WeText.Web.Models,ServiceProxy,ServiceProxy,5,1,1
WeText.Web.Models,ServiceProxy,Dispose,3,1,1
WeText.Web.Models,WebApiUserStore,WebApiUserStore,3,1,1
